Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
301,147.457,350.045,1054.57,0.421251,21.1101,42.3652,3.86831,42.3338,3.30436,23.6183,6.26454,73.9414,0,5.4581,2.93121,42.3893,82.4604,46.4406,293.605,21.0171,48.1234,0.951321,55.1478,3.28659,209.515,0,23.6944,1.03761,291.379,264.346,11.5244,0.00449789,0.347642,8.78769,3.0321,14.0959,5.57338,27.6995,0,1.29563,2.63453,0.0246292,31.3795,
302,147.449,487.287,1363.77,0.302591,20.5004,108.037,4.08674,33.3406,3.38127,26.2599,6.10146,66.9866,0,7.2369,3.01239,108.303,100.042,41.4699,443.476,17.6067,10.5457,1.3089,58.1088,2.5294,115.325,0,29.6644,1.4375,436.348,281.175,11.5244,0.00449789,0.347095,8.17857,2.32704,14.0959,2.9889,41.8194,0,1.29715,2.2776,0.0246292,31.3816,
303,147.449,452.049,1314.46,0.326178,23.8105,78.2739,5.91024,34.6686,3.52582,27.4745,6.28765,87.4453,0,7.72289,3.15499,78.7192,95.0558,47.0768,432.244,25.0711,8.91543,1.67307,62.7823,3.5531,220.091,0,29.3885,1.78293,434.981,275.156,11.5244,0.00449789,0.347095,0.861271,3.05543,14.0983,1.22516,41.8194,0,1.29715,2.65816,0.0246292,31.3816,
304,147.449,251.415,729.737,0.586475,12.9672,30.8544,1.44824,34.2788,3.25492,15.7705,5.67799,61.9257,0,1.48485,2.86619,30.8795,50.0066,13.3909,229.35,10.2279,3.15121,1.0811,16.8712,1.43238,195.664,0,1.36708,1.17245,228.947,150.285,11.5244,0.00449789,0.347642,8.79139,3.05543,14.0961,3.14289,41.8194,0,1.29715,2.65816,0.0246292,31.3816,
305,147.449,424.367,1419.82,0.347455,15.1228,76.0505,5.78684,33.7045,3.57886,18.4819,6.18324,90.5939,0,4.45212,3.21141,76.4221,90.7793,19.8701,419.975,34.3952,5.01187,2.86334,24.2165,3.15672,253.461,0,20.9323,3.00602,422.934,296.84,11.5244,0.00449789,0.346707,6.87342,3.05543,14.0944,5.5731,41.8194,0,1.29858,2.65816,0.024758,31.3833,
306,147.391,424.543,1243.58,0.347175,18.7818,69.8329,10.1069,35.7007,3.50024,26.9542,6.07092,83.5734,0,9.72559,3.11396,70.2493,86.9331,30.5812,397.005,41.3461,19.1899,1.71146,63.4576,2.58231,181.492,0,41.5317,1.76812,399.56,253.761,11.4872,0.00435245,0.345396,3.46335,3.05543,14.0961,2.72712,41.9289,0,1.30112,2.65816,0.024758,31.385,
307,147.391,269.279,883.305,0.547352,13.812,36.5544,2.01862,34.1999,3.32239,17.5087,5.66757,64.7248,0,2.94953,2.94219,36.6337,48.9455,15.5448,259.673,14.49,3.9218,1.44124,26.871,1.53564,196.725,0,15.9567,1.55273,259.341,146.636,11.5244,0.00435245,0.345396,8.49314,3.05543,14.0961,0.901984,41.9289,0,1.30073,2.65816,0.024758,31.385,
308,147.391,434.698,1379.9,0.339064,20.1234,86.092,6.40084,44.2742,3.63864,21.0425,5.87743,86.5077,0,5.01856,3.29283,86.7459,65.6838,39.407,494.772,25.7062,83.4008,2.08274,38.26,1.56399,230.174,0,19.9307,2.24563,498.743,152.578,11.4921,0.00435245,0.345396,10.9003,3.05344,14.0983,4.28075,41.9289,0,1.30073,2.65626,0.0247882,31.3853,
309,147.391,272.059,919.178,0.54176,13.532,44.7222,2.10022,34.3329,3.29111,16.8138,5.56532,57.6796,0,3.14278,2.91091,45.0349,42.933,13.5932,342.678,12.994,10.2629,1.29604,24.3053,0.4134,115.978,0,15.5734,1.41675,345.172,82.285,11.4921,0.00434876,0.345396,12.6361,3.06439,14.0983,3.24945,41.9289,0,1.30073,2.6673,0.0245961,31.3853,
310,147.37,359.771,1215.67,0.409623,18.1944,61.6874,2.6966,33.919,3.23428,17.3089,6.03288,73.1695,0,2.12165,2.85309,61.7349,76.8182,38.5083,351.17,16.2484,4.56003,1.10491,22.2811,2.65408,209.55,0,5.67319,1.20758,351.308,256.693,11.4921,0.00434876,0.345396,7.29595,3.05722,14.1008,5.57346,41.9289,0,1.30073,2.65993,0.0245961,31.3854,
