Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Heave.front.toe_angle_l.avg,Heave.front.half_track_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.half_track_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Heave.front.toe_angle_l.best,Heave.front.half_track_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
687,75.9572,87.2107,33.3399,0.870962,1.12832,0.138194,46.8802,0.342792,1.46249,1.28806,0.408357,0.786348,0.770745,31.6903,1.05192,1.26292,8.00459,1.13756,17.841,0.209949,0.639761,7.69076,0.0312347,0.413219,2.78858,3.16713,0.431272,0.941585,0.135241,0.0124665,44.305,0.318572,1.37017,0.18568,0.144411,0.731198,0.419707,6.12101,0.931125,1.14039,
688,75.9572,89.2993,39.6824,0.850591,1.72402,0.149689,47.1687,0.339284,1.47316,2.01099,0.408797,0.768262,0.932103,31.9264,1.06168,1.33625,9.16506,0.984771,19.1234,0.200805,0.675633,10.4204,0.0351102,0.243555,3.48284,5.14944,0.426634,1.2411,0.135241,0.0124665,44.305,0.0582689,1.37017,0.18568,0.0458927,0.697949,0.419707,2.40897,0.698084,1.14039,
689,75.9572,88.1961,36.4152,0.86123,1.65367,0.103361,47.0584,0.334323,1.46805,1.62859,0.408867,0.756487,0.836067,31.5743,1.0464,1.32754,9.1117,0.646935,19.1107,0.176527,0.673795,8.64832,0.0357171,0.19216,3.13002,3.65694,0.366832,1.2521,0.135241,0.0124665,37.7217,0.0582689,1.20815,0.18568,0.0458927,0.697949,0.419707,2.40897,0.539792,1.14039,
690,75.9572,88.5948,35.8602,0.857355,1.29597,0.257035,47.0065,0.385205,1.46392,1.59315,0.407757,0.804175,0.774133,32.2024,1.04027,1.36426,7.68149,1.43084,17.2151,0.399564,0.600714,9.09885,0.0582799,0.529408,2.38807,6.82795,0.41833,1.41044,0.135241,0.0124665,44.305,0.318572,1.37017,0.18568,0.019355,0.731198,0.419707,5.45942,0.315246,1.14039,
691,75.9572,95.6465,62.3937,0.794145,3.11214,0.502531,49.9551,0.408443,1.57406,2.13242,0.409235,0.830136,0.968509,33.0773,1.09885,1.57776,12.813,2.2494,27.3012,0.456252,0.949886,8.77926,0.0780832,0.476459,3.20386,36.3947,0.549644,1.9422,0.135241,0.0124665,25.6565,0.0776622,0.623414,0.18568,0.0262729,0.696293,0.107207,1.00371,0.345017,1.14039,
692,75.9572,87.8628,32.077,0.864497,1.33601,0.268434,47.1902,0.344611,1.47358,1.49783,0.403978,0.762881,0.926418,31.3595,1.02613,1.27323,7.38639,1.58111,18.3368,0.240673,0.64868,8.11119,0.0493696,0.254973,3.44089,4.7219,0.199714,0.994677,0.135241,0.0124665,44.305,0.0961187,1.37017,0.18568,0.0241573,0.686093,0.376125,0.869208,0.516959,1.14039,
693,75.9572,87.9227,33.9095,0.863908,1.16317,0.271619,46.6842,0.359414,1.45971,1.71083,0.407483,0.803943,0.860005,31.8628,1.06452,1.27501,7.19752,1.56882,17.727,0.337273,0.62446,9.90685,0.0441147,0.508711,2.91678,4.55119,0.38824,1.03332,0.135241,0.0124665,32.6754,0.137607,1.37017,0.18568,0.0629285,0.731198,0.038566,5.22649,1.00416,1.14039,
694,75.9572,88.0305,34.4615,0.86285,1.31272,0.25318,47.0224,0.357525,1.47182,1.56496,0.405329,0.803214,0.888345,31.6093,1.07114,1.27062,7.8729,1.53291,18.7145,0.337145,0.658139,9.12376,0.0437755,0.50806,2.99098,3.59783,0.40889,1.01623,0.135241,0.0124665,32.6754,0.0408929,1.37017,0.18568,0.0629285,0.731198,0.038566,5.22649,1.00416,1.14039,
695,75.9572,87.1345,30.9253,0.871723,1.04399,0.208322,46.6054,0.35779,1.45717,1.43506,0.406209,0.795859,0.825327,31.6853,1.05815,1.25587,6.42496,1.32939,17.3267,0.337078,0.611702,8.85667,0.0411915,0.492857,2.80114,3.35687,0.344087,0.985355,0.135241,0.0124665,32.6754,0.0408929,1.37017,0.18568,0.0629285,0.731198,0.038566,5.22649,1.00416,1.14039,
696,75.9572,90.6922,44.8841,0.837527,1.64705,0.35896,48.2772,0.374863,1.50928,1.97934,0.403866,0.781769,0.950844,31.9229,1.06415,1.42193,8.66662,1.9413,22.5044,0.446277,0.789551,9.93608,0.0511556,0.485895,3.24073,9.64571,0.392638,1.70343,0.135241,0.0124665,44.305,0.0191731,1.37017,0.18568,0.00971451,0.675032,0.365721,2.03488,0.530404,1.14039,
