Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
58,45.9528,195.979,937.965,0.234478,0.864564,16.266,137.567,0.513974,5.9881,0.713661,1.02304,3.88235,0.403859,27.1159,0.349161,1.29089,0.448566,51.7101,835.819,0.721705,20.5125,1.63516,0.793745,8.65496,0.0571965,18.5684,0.214948,0.139117,0.207403,0.129848,7.33338,0.0305215,0.0916775,0.326345,0.237454,0.0258293,0.238075,15.0958,0.0948717,0.721211,
59,45.9528,76.5504,103.807,0.600294,1.06911,12.6775,24.6176,0.48592,3.91291,0.540109,0.916,6.10958,0.409027,24.1152,0.37136,1.32605,0.618373,23.1043,110.021,0.370795,6.68739,0.389589,0.592293,21.6548,0.052561,5.12733,0.235545,0.282717,0.207403,0.129848,7.33338,0.0305215,0.0916775,0.326345,0.215131,0.0258293,0.348451,16.7939,0.0948717,0.846688,
60,45.9528,113.19,197.695,0.40598,0.918874,21.8513,45.4223,0.571805,8.82161,0.65696,1.03609,7.08144,0.434084,24.4998,0.4464,1.44901,0.494242,55.2074,116.878,0.7805,22.0617,0.706257,1.32357,24.0424,0.136213,5.85514,0.61255,0.640641,0.203394,0.129848,7.28116,0.0305215,0.0916775,0.326345,0.237454,0.0258293,0.3245,13.3091,0.0864498,0.988069,
61,45.9528,103.306,183.529,0.44482,0.845681,25.9027,32.7171,0.650599,6.65753,0.54925,0.979744,8.18032,0.415753,24.5337,0.398947,1.47513,0.447134,64.3652,84.4837,0.861778,19.8377,0.337664,1.09807,28.9129,0.0802549,6.37653,0.467745,0.999495,0.207151,1.47153,7.33338,0.123589,0.285692,0.326345,0.0945792,0.0258293,0.207125,14.231,0.0864498,0.923129,
62,45.9528,96.0054,141.285,0.478648,1.15027,17.3914,31.3971,0.735659,8.81021,0.571949,0.914342,7.82617,0.404366,24.8499,0.410969,1.54318,0.948791,42.2727,81.2585,1.07589,22.3812,0.372626,0.739963,24.591,0.100625,9.95505,0.454734,1.03735,0.208729,1.47153,7.33338,0.152834,0.542501,0.326345,0.201984,0.0571502,0.15391,11.9871,0.0864498,0.917898,
63,45.9528,98.5977,163.986,0.466064,0.92092,20.0554,32.7098,0.65035,7.25714,0.538466,1.2531,8.01692,0.427075,24.9891,0.356059,1.42337,0.666005,49.4206,86.8534,0.886607,16.777,0.37,2.18557,22.8834,0.101369,5.50928,0.27912,0.524195,0.208729,1.47153,7.33338,0.152834,1.47071,0.31659,0.258893,0.0571502,0.120296,11.9389,0.0864498,1.02485,
64,45.9528,82.0186,110.144,0.560272,0.80872,11.2332,30.7659,0.694747,6.5077,0.628157,1.02025,5.54474,0.399638,22.5862,0.39829,1.4311,0.618838,26.4032,71.523,0.955127,13.8373,0.555878,1.98409,12.8317,0.0708412,5.36399,0.4319,0.838504,0.0780655,0.406117,8.17978,0.152834,0.801705,0.321295,0.2578,0.0571502,0.0253858,7.74131,0.0864498,0.372374,
65,45.9528,82.4573,121.556,0.557292,0.682933,16.0541,26.0293,0.6012,6.52392,0.551907,0.987755,3.75626,0.412508,25.0873,0.343651,1.42652,0.413451,41.8972,57.0568,0.96337,18.3505,0.420261,1.37353,8.71124,0.0508547,7.19827,0.35522,0.951147,0.133915,1.47153,8.17978,0.150526,0.347368,0.319266,0.228747,0.0571502,0.242444,12.6497,0.0864498,0.977775,
66,45.9528,89.1167,143.992,0.515647,0.61967,22.5222,18.1895,0.559787,6.93246,0.551344,0.932359,5.49144,0.417217,31.138,0.359315,1.40339,0.386574,57.0883,23.4684,0.654056,19.1554,0.433036,0.736727,23.1206,0.0594301,36.9162,0.48573,0.727983,0.0289206,1.47153,8.17978,0.157554,0.264241,0.287207,0.23188,0.0496441,0.218916,16.2125,0.0864498,1.02485,
67,45.9528,78.5524,121.216,0.584995,0.572474,13.142,27.1029,0.637277,4.64744,0.563361,1.05311,5.2586,0.428691,23.4654,0.366181,1.31503,0.275139,38.7427,74.3558,0.925238,7.31978,0.470626,1.80113,14.6056,0.0831102,8.43449,0.456699,0.177779,0.133915,1.47153,8.17978,0.164398,1.65616,0.30347,0.2578,0.0496441,0.0918876,10.2157,0.0864498,0.431347,
