Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,54.0012,455.387,176.838,0.118583,1.43881,19.5446,351.833,2.04548,31.2342,1.29667,6.86924,26.0185,0.42915,10.9686,1.09052,2.61828,1.24012,26.5321,148.763,1.38315,42.3116,0.874867,6.86307,29.9531,0.465463,11.3679,1.26362,3.15575,0.0753775,0.129848,23.5943,0.0305215,0.0916775,0.154589,0.602251,0.770154,0.122993,6.76269,0.188898,0.509296,
1,54.0012,366.343,118.536,0.147406,1.50057,47.495,241.929,2.03895,25.0717,1.09223,3.39213,29.9458,0.326609,10.1966,0.772663,2.58169,0.967762,65.332,116.76,1.08559,25.3379,0.663245,3.43902,21.6064,0.168155,3.56295,0.675473,1.56863,0.210128,0.129848,23.5943,0.0305215,0.0916775,0.128985,0.083064,0.770154,0.0461218,4.49383,0.149923,0.396489,
2,54.0012,299.733,62.3525,0.180164,1.59075,36.3993,193.38,1.83623,20.2885,0.963136,2.14698,29.387,0.267534,10.3549,0.698005,2.42021,1.09859,37.0117,76.1032,1.16799,18.9804,0.438644,2.27216,19.8588,0.124819,3.40905,0.542792,1.57954,0.136052,0.129848,23.5943,0.0305215,0.0916775,0.241011,0.083064,1.51277,0.0461218,1.74043,0.149923,0.535397,
3,54.0012,267.802,49.7975,0.201646,1.7963,43.4483,160.795,1.96871,12.2121,1.03118,1.88209,30.8471,0.211248,10.7139,0.52481,2.37163,1.38357,34.7535,47.4787,1.19081,13.617,0.49672,1.59066,19.6294,0.115703,3.18915,0.458172,1.35638,0.0242767,0.129848,23.5943,0.0305215,0.0916775,0.346383,0.083064,0.35832,0.0112927,6.97413,0.0696657,0.657733,
4,54.0012,244.809,54.9783,0.220585,1.76612,53.8205,132.804,1.89282,12.571,0.853068,1.86548,25.7246,0.20026,10.8994,0.47181,1.93997,1.31296,46.9702,50.6339,1.18691,9.79787,0.44652,1.46504,20.5048,0.117873,5.35994,0.340084,1.23226,0.0481615,0.129848,5.39212,0.0305215,0.0916775,0.0505365,0.0348209,0.35832,0.0112927,2.22157,0.0696657,0.514498,
5,54.0012,227.851,45.4468,0.237002,1.9119,48.4574,125.179,1.70164,9.71846,0.816785,2.07463,25.0525,0.183641,10.5443,0.476346,1.73422,1.53152,41.2744,46.4078,1.19466,7.39264,0.407556,1.34253,19.4035,0.11419,4.15307,0.325463,0.915807,0.0481615,0.129848,5.39212,0.0305215,0.0916775,0.201956,0.0348209,0.35832,0.0112927,0.087159,0.033644,0.262337,
6,54.0012,212.496,43.5259,0.254128,1.85379,50.1357,109.72,1.88439,10.4634,0.878911,1.67798,22.621,0.159632,10.801,0.583038,1.7171,1.62827,36.5729,44.4449,1.37345,7.76749,0.42707,1.27861,16.8418,0.132415,4.20884,0.365514,1.01557,0.0228786,0.129848,5.39212,0.0305215,0.0916775,0.201956,0.0348209,0.13529,0.00557696,0.087159,0.033644,0.321829,
7,54.0012,194.178,38.8103,0.278102,1.50501,47.2955,94.1841,1.92262,11.1304,0.823802,1.81555,20.1371,0.175252,12.7036,0.563781,1.92089,1.25355,33.6382,39.5629,1.38763,8.16749,0.438535,1.3943,17.2021,0.139386,7.56258,0.289552,1.1678,0.0207858,0.129848,8.08854,0.0305215,0.0916775,0.201956,0.0348209,0.13529,0.00109128,0.978626,0.0495573,0.64055,
8,54.0012,182.1,38.8274,0.296546,1.9292,46.0966,83.0756,1.84536,11.6918,0.820201,1.89345,16.7625,0.216916,15.2097,0.506993,2.05195,1.1526,33.3031,44.8831,1.34872,8.49682,0.408198,1.29148,15.6119,0.159178,12.1437,0.300568,1.19292,0.0207858,0.129848,8.08854,0.0305215,0.0916775,0.142115,0.0348209,0.464661,0.00557696,4.83166,0.0495573,0.49215,
9,54.0012,173.84,69.3808,0.310637,2.29993,38.4068,73.6539,1.61058,11.2376,0.915585,2.02403,16.7263,0.248033,24.1689,0.48887,2.05939,1.36018,26.2301,41.6575,1.22798,8.36225,0.466138,1.44627,15.4826,0.157442,61.8125,0.339359,1.09635,0.0207858,0.129848,8.08854,0.0305215,0.0916775,0.142115,0.190305,0.464661,0.0212406,6.59874,0.0495573,0.346373,
10,54.0012,153.828,36.1727,0.351049,2.57426,43.7973,53.594,1.41382,13.4305,0.795292,2.22474,15.4412,0.305649,17.5006,0.393331,2.35713,1.51907,35.2319,32.9229,1.2107,9.8747,0.385003,1.53565,11.9625,0.164233,11.8109,0.243953,1.33252,0.33002,0.129848,8.08854,0.0305215,0.0916775,0.142115,0.260273,0.958643,0.0237878,6.59874,0.0386924,0.234946,
11,54.0012,170.346,126.962,0.317008,2.37662,48.8796,60.7588,1.55699,12.9798,0.900512,2.53264,19.5022,0.326689,17.8198,0.424811,2.28792,1.35135,49.9462,60.2199,1.4196,9.7153,0.518222,2.76998,29.3482,0.144032,8.83915,0.260472,1.0442,0.384391,0.129848,8.35715,0.0305215,0.0916775,0.228912,0.29612,0.958643,0.0163899,7.43432,0.0386924,0.362552,
12,54.0012,178.486,208.031,0.302551,2.87008,41.502,77.5013,1.20677,12.9749,1.04952,2.63501,18.361,0.344601,17.4569,0.461235,2.1228,1.99429,44.2881,137.949,1.2522,16.7448,1.36219,3.33152,21.2365,0.197212,7.84669,0.529188,1.60513,0.809327,0.129848,9.14557,0.0305215,0.0916775,0.231161,0.291335,0.958643,0.010922,6.46257,0.0239208,0.313419,
13,54.0012,166.213,170.635,0.324891,2.74479,41.4594,66.3382,1.15829,11.5525,0.754324,2.2766,17.019,0.341124,20.0675,0.468449,2.03296,1.55676,56.0957,97.0965,1.3793,19.3982,0.526704,2.26617,17.9493,0.175985,12.9825,0.390331,1.414,0.788868,0.129848,8.55833,0.0305215,0.0916775,0.0693496,0.329436,0.117217,0.0591605,2.9853,0.0239208,0.347252,
14,54.0012,140.366,101.811,0.384717,2.6608,33.4653,49.1859,0.878867,7.73789,0.879387,2.25789,16.3019,0.35408,24.3901,0.485785,1.76813,1.27094,42.7155,51.2137,0.986321,8.57159,0.600267,1.55402,18.9794,0.137369,18.6659,0.433548,0.729869,0.273555,0.129848,4.43138,0.0305215,0.0916775,0.0329118,0.329436,0.117217,0.0533389,0.380247,0.0239208,0.182087,
15,54.0012,120.896,57.0599,0.446674,2.75321,26.5941,38.6855,0.815274,8.15797,0.753845,2.0629,15.0532,0.373188,23.4982,0.46663,1.68202,1.25946,27.9419,27.2439,0.65509,15.5457,0.492452,1.33159,14.7219,0.123878,17.6671,0.302928,0.794169,0.273555,0.129848,4.43138,0.0305215,0.0916775,0.101948,0.329436,0.117217,0.0537996,0.380247,0.0239208,0.182087,
16,54.0012,117.306,113.918,0.460346,2.47102,23.9523,42.6076,0.722955,6.607,0.815603,1.85207,15.5364,0.382057,20.4059,0.393937,1.55882,1.17114,39.3559,54.4415,0.665698,5.07244,0.602777,1.46519,22.8444,0.11469,8.27426,0.381542,0.535025,0.271428,0.129848,9.37177,0.0305215,0.0916775,0.0476477,0.326506,0.24934,0.1409,2.60269,0.0239208,0.182087,
17,54.0012,128.455,130.555,0.420388,2.13149,24.623,52.4958,0.766451,7.98305,0.934202,2.47011,12.5545,0.405534,22.0435,0.454122,1.59373,0.883897,21.665,99.4961,0.684852,9.58199,0.742957,2.07687,12.1782,0.112116,10.2905,0.380165,0.640379,0.271428,0.129848,7.70599,0.0305215,0.0916775,0.0881018,0.329436,0.24934,0.175341,6.24907,0.0239208,0.182087,
18,54.0012,111.764,83.78,0.483171,2.29312,24.3354,35.7149,0.741228,5.58029,0.786282,1.88275,14.5401,0.408286,23.3862,0.418394,1.67716,0.952446,33.7722,38.2168,0.893594,6.78333,0.547309,1.36023,14.5361,0.0975468,12.8318,0.392685,0.504725,0.271428,0.129848,8.93015,0.0305215,0.0916775,0.0881018,0.29369,0.24934,0.175341,5.77287,0.0239208,0.182087,
19,54.0012,118.344,139.705,0.456307,2.21631,19.4305,45.0415,0.841058,8.91283,0.591065,1.88035,12.5137,0.406517,24.2592,0.391904,1.85915,1.23867,21.9269,86.5083,0.907494,20.2114,0.379067,1.45023,16.3617,0.0938699,9.34182,0.441964,1.59365,0.218658,0.129848,8.93015,0.0305215,0.0916775,0.0881018,0.247984,0.112811,0.175341,10.3053,0.0149882,0.182087,
20,54.0012,129.54,155.618,0.41687,2.08358,22.9495,34.847,0.895036,6.74085,0.596069,2.35971,13.4154,0.422516,43.185,0.402492,1.64236,1.40561,36.9796,53.298,0.90046,9.73725,0.490591,1.86071,15.4274,0.104707,117.631,0.342339,0.45274,0.187592,0.129848,7.70481,0.0305215,0.0916775,0.101948,0.247984,0.112811,0.15529,8.31624,0.0149882,0.621405,
21,54.0012,101.517,93.0943,0.531942,2.2946,20.6415,30.964,0.784224,6.48102,0.498268,2.27603,12.6866,0.40507,22.4042,0.39348,1.68797,1.50321,46.4615,24.9761,0.617045,9.84381,0.231137,1.57057,18.1804,0.0910721,22.0855,0.268728,0.917586,0.0568061,0.129848,8.93015,0.0305215,0.0916775,0.101948,0.247984,0.112811,0.201189,0.731445,0.0149882,0.621405,
22,54.0012,110.634,118.863,0.488107,2.39951,20.9844,39.1698,0.846313,8.37906,0.53595,2.35493,9.98262,0.416786,23.393,0.496299,1.67521,1.50047,31.3109,79.4832,0.656708,16.6193,0.511658,1.89983,10.0854,0.0992549,6.91444,0.441536,0.639878,0.278014,0.129848,8.93015,0.0305215,0.0916775,0.0390441,0.247984,0.112811,0.179428,13.8993,0.0149882,0.621405,
23,54.0012,117.622,131.225,0.459109,2.3635,22.9436,40.4451,0.917951,6.22301,0.488686,2.44439,14.8944,0.415584,24.4632,0.416868,1.60537,1.49582,36.491,71.7648,0.949332,9.1977,0.27849,2.11455,21.7581,0.0867604,14.1325,0.403719,0.522096,0.42741,0.129848,8.1912,0.0305215,0.0916775,0.0390441,0.247984,0.112811,0.262575,6.78498,0.0149882,0.621405,
24,54.0012,132.862,186.717,0.406445,2.23006,32.963,44.0909,0.866874,7.40914,2.30006,2.34634,14.4062,0.410261,23.8829,0.506542,1.45,1.35074,73.1653,79.2795,0.900312,13.4559,11.9925,1.8406,18.7679,0.0970831,9.33676,0.45435,0.406331,0.248168,0.129848,7.6215,0.0305215,0.0916775,0.0390441,0.247984,0.112811,0.132136,0.139068,0.0149882,0.456019,
25,54.0012,97.2063,76.6732,0.555532,2.59847,15.5449,25.7288,0.871209,7.46294,0.446732,2.11088,13.5376,0.408111,26.2635,0.528352,1.70479,1.63009,22.5725,22.9278,0.547397,19.4819,0.813775,1.37524,20.8568,0.0816569,20.5524,0.405438,1.66212,0.500413,0.129848,7.48734,0.0305215,0.0916775,0.195522,0.247984,0.112811,0.2235,13.0211,0.0149882,0.621405,
