Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
307,1228.52,1890.92,1736.69,0.649697,48.4426,0,58.9597,1545.79,44.6414,3.64944,121.098,47.8568,20.4767,192.37,0,167.569,966.505,181.014,2.10283,492.464,191.122,28.0346,0.126468,0,0.0730814,1208.38,0.166154,0.396415,1.19554,0.0257404,10.487,
308,1227.64,1919.36,1900.84,0.639609,92.661,0,54.4808,1490.17,106.777,3.49621,60.3749,93.1266,18.2748,289.549,0,150.622,785.15,503.022,2.02654,205.081,287.881,21.2608,0.126468,0,0.0730814,1208.38,0.104171,0.402353,1.11938,0.0257404,10.487,
309,1227.64,1743.76,1491.96,0.704016,84.7381,0,40.0716,1376.44,85.8983,3.2955,54.5076,83.5662,15.2516,264.103,0,120.368,622.64,275.985,1.41183,168.424,259.367,16.2932,0.126468,0,0.0730814,1208.38,0.166154,0.276304,1.11938,0.0257404,4.61732,
310,1227.64,1874.14,1937.91,0.655041,74.6993,0,46.1129,1472.4,82.1631,3.35168,106.158,71.2498,18.0096,257.065,0,143.347,889.269,291.602,1.76174,363.401,250.254,22.9755,0.126468,0,0.0730814,1208.03,0.166154,0.148726,1.11938,0.0257404,10.5314,
311,1227.64,1713.53,1733.89,0.716438,37.2145,0,37.1754,1464.88,27.7683,3.26503,88.7062,36.164,18.3543,165.876,0,132.691,915.815,170.775,1.5456,668.374,161.464,25.9381,0.126468,0,0.0730814,1208.03,0.146489,0.0314074,1.11938,0.0257404,10.5314,
312,1227.64,1855.64,1754.69,0.661571,85.8375,0,64.8823,1458.74,83.521,3.547,57.0067,84.0734,18.03,276.681,0,171.078,740.932,287.712,1.95313,182.852,271.94,21.067,0.126468,0,0.0730814,1208.03,0.146489,0.771529,1.18681,0.0257404,10.5314,
313,1227.64,1957.85,1867.39,0.627033,100.998,0,68.6962,1516.92,82.418,3.27696,65.7051,99.8517,19.9825,314.587,0,180.183,932.192,255.136,1.41279,197.594,311.6,26.7282,0.126468,0,0.0730814,1208.03,0.146489,0.0228857,1.18681,0.0257404,10.5314,
314,1227.64,3198.13,10861.3,0.383861,99.9069,0,65.4162,1439.29,80.4091,3.22493,1393.66,98.6774,17.5479,294.933,0,181.461,718.931,253.26,1.45882,10365.3,292.391,20.6038,0.126468,0,0.0730814,1208.03,0.146489,0.876153,1.18681,0.0257404,7.89843,
315,1227.64,2022,2342.32,0.607141,95.1615,0,53.7834,1411.54,98.5342,3.37985,246.607,96.1999,16.7942,303.077,0,156.536,607.99,337.753,1.86126,1411.84,304.72,17.1238,0.126468,0,0.0730814,1208.03,0.146489,0.801021,1.02519,0.0257404,10.5314,
316,1227.64,2040.11,2258.58,0.601751,109.92,0,54.4754,1489.89,111.833,3.5016,144.389,107.951,18.1473,327.989,0,154.17,853.782,335.295,1.67508,799.905,321.966,23.0529,0.126468,0,0.0730814,1208.03,0.146489,1.3384,1.02519,0.0257404,6.30991,
