Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.roll_center.y.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.roll_center.y.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.roll_center.y.best,Roll.rear.side_view_swing_arm_angle_l.best,
81,229.152,661.213,614.686,0.346563,5.04034,54.6959,71.0071,86.1105,42.9764,186.397,29.6332,185.352,2.42528,45.2693,36.6805,33.7735,51.0324,274.114,54.3686,287.417,2.20773,24.6458,2.84887,31.0972,6.65006,1.11617,10.792,0.590684,
82,229.152,706.559,782.701,0.324321,4.68769,71.6464,75.6671,91.1115,44.5068,199.951,20.3877,198.6,1.81655,86.2406,37.8474,35.3081,68.6735,336.543,17.3345,339.711,2.34912,24.6458,2.84887,31.0972,3.49321,1.11617,10.8636,0.590684,
83,229.152,771.26,808.955,0.297114,4.87021,76.76,66.2003,81.5734,37.971,238.689,27.7174,237.478,1.74165,78.6934,38.4788,35.0426,45.444,356.284,48.2958,370.929,2.34912,24.6458,1.08173,31.0972,5.43731,1.11617,10.8553,0.590684,
84,229.152,730.302,754.357,0.313777,4.55165,66.7508,72.9377,88.2381,35.0994,209.418,46.4068,206.9,1.8737,77.7476,35.2127,32.3719,46.1848,315.223,120.562,318.348,2.05288,24.6458,2.84887,31.0972,6.80289,1.11617,10.8017,0.590684,
85,229.152,748.771,778.988,0.306038,4.60095,68.1976,75.0762,89.8103,46.0864,223.356,18.7195,222.924,1.5895,71.0527,37.4818,35.7771,70.0752,343.614,29.7469,344.222,2.12484,24.6458,2.84887,31.0972,6.80289,1.11617,10.9711,0.590684,
86,229.152,688.382,671.853,0.332885,4.63955,71.6861,71.7673,87.2066,40.7111,190.005,34.4774,187.889,2.23263,84.507,35.1106,32.7108,57.6295,289.697,68.4006,295.688,1.9343,24.6458,2.84887,31.0972,4.49939,1.11617,11.8621,0.769551,
87,229.152,623.754,526.616,0.367376,4.31427,46.8118,70.3213,83.9195,37.3054,178.9,23.5464,178.636,1.52237,38.2247,33.1831,31.1963,62.1218,254.622,47.8893,254.646,2.34912,24.6458,2.84887,31.0972,6.77769,1.11617,10.8121,0.769551,
88,229.152,603.907,674.055,0.379449,4.23184,50.8115,78.941,93.5326,43.5766,155.74,21.7953,155.278,1.52059,48.2723,35.3071,32.3645,67.7089,310.537,36.7015,307.503,2.17534,24.6458,2.84887,31.0972,6.80289,1.11617,10.966,0.641393,
89,229.152,563.616,614.2,0.406575,4.66995,64.505,70.7547,85.4924,36.8837,140.901,20.0751,140.334,1.82029,73.3397,37.478,35.0924,53.6851,283.988,13.9846,280.48,2.1694,24.6458,2.84887,31.0972,8.08896,1.11617,10.8059,0.483158,
90,229.152,625.906,630.485,0.366113,4.26248,69.1153,67.4908,82.5394,39.3433,167.453,29.1025,166.599,1.44036,62.0213,36.9046,34.7285,48.5285,278.228,43.2903,275.372,2.22986,24.6457,2.84887,31.0972,8.08896,1.11617,11.0822,0.641393,
