Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.coil_over_length_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
104,1353.82,2657.63,2961.07,0.509411,4.54673,148.128,1584.92,490.723,0,170.097,76.3427,166.755,16.1114,2.28054,424.622,1065.05,815.81,0,433.899,136.106,427.92,28.3475,0.688827,0.896863,1193.91,116.441,0,1.1113,14.4041,0.340434,4.97347,
105,1353.82,2339.07,2392.21,0.578787,4.33412,94.4449,1426.77,402.536,0,163.128,73.7182,161.483,12.6612,1.76119,274.503,636.149,687.052,0,406.553,146.407,403.635,20.1635,0.559692,0.896863,1160.09,116.441,0,1.10575,12.9824,0.340434,4.96748,
106,1353.82,2598.13,2571.71,0.521078,4.75697,99.6677,1475.42,613.059,0,133.034,126.984,131.389,13.8185,2.34206,245.143,734.009,989.02,0,347.326,245.303,344.094,21.7142,2.44138,0.938918,1193.93,117.788,0,1.10575,14.3647,0.340434,4.97259,
107,1353.82,2731.76,2823.81,0.495587,4.29949,94.17,1644.44,639.668,0,122.314,88.4819,120.228,18.1561,1.90561,259.651,1014.33,1072.38,0,266.928,165.842,262.835,29.2575,0.991871,0.900529,1193.93,117.927,0,1.10575,14.3647,0.328922,4.97259,
108,1353.82,2586.13,2739.63,0.523495,4.07431,103.78,1626.59,506.402,0,127.146,77.1971,123.92,17.0194,1.96624,371.92,1064.77,914.112,0,392.08,155.187,386.939,30.1609,0.199759,0.965369,1193.93,119.583,0,1.10575,11.6401,0.328922,4.96579,
109,1353.78,2154.36,2268.25,0.628387,4.37859,97.4837,1408.84,357.702,0,102.478,71.9184,100.613,10.9455,1.70248,342.793,793.526,657.962,0,306.488,164.064,300.578,20.6368,3.39315,0.860546,1194.35,119.29,0,1.01306,8.61554,0.328922,4.96579,
110,1353.78,2215.16,2210.85,0.611142,4.18134,66.4232,1446.77,399.728,0,118.262,49.978,116.224,13.5946,1.97495,235.957,678.112,777.715,0,341.671,101.832,341.146,22.9163,0.634406,0.860546,1194.35,120.643,0,1.01306,8.61554,0.328922,4.96579,
111,1353.25,2528.96,2519.82,0.5351,4.40873,164.768,1448.22,467.455,0,163.654,108.601,160.612,11.2453,1.73598,374.846,716.88,778.658,0,372.166,227.701,372.58,17.5789,1.74183,0.839467,1194.35,121.245,0,1.01306,8.61554,0.328922,4.96579,
112,1353.25,2187.01,1952.05,0.618765,3.92717,44.0689,1392.08,444.294,0,105.873,79.7793,104.763,12.2256,1.79573,190.21,580.721,769.393,0,291.704,190.48,286.901,19.8446,0.0998794,0.839467,1194.43,120.844,0,1.01306,8.61554,0.328922,4.94838,
113,1353.25,2450.51,2590.26,0.552231,4.09756,101.696,1555.63,383.32,0,154.877,80.9665,153.349,16.5732,1.65378,284.761,970.919,645.694,0,367.366,181.046,363.436,28.6422,0.55684,0.916672,1194.42,123.655,0,1.09993,8.61554,0.328922,4.94838,
