Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
10,54.4046,126.482,25.4545,0.430136,0.581477,2.21426,49.8225,0.628017,9.18437,15.5695,0.262195,1.33778,10.4544,21.1811,10.4237,1.66746,3.15556,0.158381,1.44366,24.9073,0.550161,6.15814,12.2073,0.103047,1.13707,8.58659,8.6874,8.84557,0.981496,1.53406,0.251944,0.166992,13.5129,0.0305215,0.0916775,1.10327,0.0466689,0.0138548,0.0519393,10.2664,0.0370833,0.174443,0.310749,
11,54.4046,159.877,186.821,0.340289,0.696323,2.48339,51.6743,0.630931,9.40698,14.8525,0.30736,1.30152,9.96591,53.7323,9.93746,1.69589,3.19258,0.427553,2.06523,62.5354,0.856801,8.52042,13.5805,0.127964,1.13772,11.4252,157.776,11.3584,0.960565,1.73174,0.230025,0.166992,13.5129,0.0305215,0.0916775,1.55097,0.0663947,0.0138548,0.0519393,10.8481,0.0370833,0.174443,0.058442,
12,54.4046,100.977,16.1409,0.538781,0.659321,1.68663,35.5093,0.596765,6.1175,11.4703,0.313981,1.01872,7.61564,24.4852,7.58044,1.60721,2.31614,0.184396,1.35054,19.1598,0.445413,5.0637,8.38088,0.0666292,1.03787,6.72932,29.8646,6.62056,0.68242,1.76926,0.27211,0.166992,13.5129,0.0305215,0.0916775,0.42054,0.152,0.0138548,0.0519393,14.757,0.0370833,0.174443,0.058442,
13,54.4046,115.597,115.405,0.47064,0.7481,1.78893,45.9525,0.809515,7.20574,10.7821,0.335121,1.17417,8.9354,25.4026,8.88665,1.5118,2.06419,0.546531,2.67248,90.1853,0.922583,9.54925,9.44745,0.0896997,1.06365,8.60152,10.1546,8.50922,0.663714,1.67741,0.27211,0.166992,11.2878,0.0305215,0.0916775,0.42054,0.108033,0.0210838,0.0519393,11.8644,0.0370833,0.174443,0.058442,
14,54.4046,106.963,95.1219,0.508631,0.625768,1.90558,38.1126,0.729132,6.71521,10.8384,0.354791,0.950897,7.99024,26.9082,7.93367,1.37034,2.52795,0.189851,2.31065,74.8107,0.834789,4.26846,9.89191,0.0840723,1.00314,7.96923,9.95591,7.84746,0.734721,1.70702,0.31231,0.166992,8.91017,0.0305215,0.0916775,0.42054,0.260351,0.0227714,0.0519393,15.326,0.0370833,0.129708,0.103748,
15,54.4046,95.4171,57.6098,0.570176,0.638865,1.73784,27.4809,0.701424,6.14305,12.7879,0.359802,0.954137,6.8248,27.2235,6.76817,1.4749,2.32179,0.224578,1.29762,17.5761,0.683469,7.70987,17.0937,0.0773383,0.775184,7.64537,11.2622,7.65036,0.547329,1.75508,0.209396,0.166992,8.91017,0.0305215,0.0916775,0.618365,0.260351,0.0425133,0.0519393,15.326,0.0370833,0.156835,0.134915,
16,54.4046,121.471,138.3,0.44788,0.782668,1.74955,45.0434,0.845422,8.2918,13.8169,0.377834,0.969114,9.39869,27.2747,9.14103,1.50142,2.2788,0.617113,1.6513,97.3042,0.893321,8.96007,14.4285,0.124827,0.715349,15.9729,12.5375,15.813,0.601698,2.04009,0.270926,0.166992,7.82217,0.0305215,0.0916775,0.863072,0.199082,0.0917517,0.0486522,8.312,0.0370833,0.174443,0.0809731,
17,54.4046,119.179,191.188,0.456495,1.34641,1.38521,49.2096,0.728711,9.00758,14.7527,0.375447,0.823009,6.93369,24.309,6.85821,1.43528,2.01408,4.63177,1.41663,133.961,0.926623,16.3574,23.9774,0.227514,0.76671,15.5274,6.87627,15.4988,0.792651,1.63194,0.303051,0.166992,7.82217,0.0305215,0.0916775,0.0292194,0.199082,0.109401,0.0486522,13.2485,0.0370833,0.174443,0.134915,
18,54.4046,90.3711,50.5923,0.602012,0.624892,0.997671,24.0733,0.649593,8.36181,11.4173,0.355702,0.697519,6.54014,27.1101,6.38244,1.57495,1.58577,0.431458,0.610002,11.0873,0.508131,11.7122,12.0481,0.0573493,0.614984,10.4007,11.1627,9.82661,0.962145,1.35577,0.0841464,0.166992,8.91017,0.0305215,0.0916775,0.0292194,0.199082,0.040695,0.0486522,15.0162,0.0370833,0.316661,0.134915,
19,54.4046,115.169,145.657,0.472389,0.697827,1.65316,46.6596,0.849783,7.06343,9.90444,0.357841,0.917482,9.30558,24.9913,9.21843,1.41019,2.14013,0.439053,2.20661,103.38,1.05948,5.53873,11.2308,0.0953615,0.823687,18.4079,8.70815,18.3649,0.588517,1.92647,0.323244,0.0581417,6.78611,0.0305215,0.0916775,0.0292194,0.152528,0.0336426,0.0486522,9.25197,0.0370833,0.316661,0.134915,
