Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.half_track_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.half_track_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.half_track_l.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,
83,16.7223,32.9506,34.0157,0.507496,2.85204,1.34623,3.34777,0.458316,21.781,3.16527,1.54822,1.76966,0.967836,0.921261,25.1362,7.02392,2.08412,0.123754,0.996204,0.0339602,10.505,0.169051,
84,16.7223,39.5161,39.9433,0.423176,3.74886,1.44096,3.27811,0.673322,26.609,3.76586,2.78236,2.08134,1.18955,1.44096,28.5706,7.3781,2.39168,0.0416286,0.955564,0.0339602,10.505,0.0766759,
85,16.7223,40.8429,45.3944,0.409429,3.22898,1.965,3.36656,0.527529,28.2547,3.50011,2.23721,2.68285,1.26467,1.028,33.8456,7.20527,2.08182,0.610609,0.964595,0.0339602,10.505,0.168325,
86,16.608,32.1562,36.0861,0.516478,2.8978,0.937455,3.28389,0.53,22.3235,2.18354,1.78657,1.51126,1.12136,1.3695,30.0349,6.37848,2.23559,0.0196665,1.22059,0.0332514,10.4833,0.0215889,
87,16.608,41.0265,42.6244,0.404811,3.3244,1.73218,3.303,0.868489,28.3282,3.47018,1.69601,2.31702,1.27932,1.69206,33.5572,6.91116,2.23559,0.0368026,0.960921,0.0332514,10.4833,0.112338,
88,16.608,42.9084,49.7985,0.387057,3.24236,1.32522,3.36121,0.632314,29.8291,4.51813,2.12528,2.02413,1.21273,1.25339,38.8774,8.65045,2.23559,0.0326043,0.906976,0.0332514,10.4415,0.0440174,
89,16.608,28.3064,32.3709,0.586722,2.95717,0.883611,3.14057,0.313967,19.7073,1.30375,2.04196,1.55874,0.982557,0.94252,27.1527,4.17651,2.23559,0.0518634,0.945868,0.0332514,10.4809,0.143729,
90,16.608,35.5832,39.0568,0.466737,3.44984,1.17325,3.1674,0.698434,25.0276,2.06666,2.26678,1.67664,1.22309,1.49047,32.3006,5.87249,2.23559,0.0594405,0.934369,0.0332514,10.4716,0.147722,
91,16.608,35.6153,38.3384,0.466316,2.87,1.40364,3.39673,0.636837,23.4969,3.81119,1.4031,1.88155,1.02704,1.24577,28.0129,7.32045,2.23559,0.0742722,1.32314,0.0332514,10.4716,0.133229,
92,16.608,29.4236,27.6186,0.564444,3.1883,1.29998,3.07221,0.686322,18.1508,3.02603,1.85774,1.59163,0.845984,1.4331,21.4915,6.55374,2.23559,0.0490633,0.975227,0.0332514,10.4716,0.14715,
93,16.608,31.8617,36.8725,0.521251,3.11594,1.30125,3.19194,0.455936,21.0178,2.77884,2.07286,2.00093,0.94736,1.17061,26.959,6.2086,2.23559,0.0842572,0.979007,0.0329747,10.4716,0.144513,
94,16.5669,33.6984,35.9358,0.491621,2.89414,1.42361,3.25712,0.600653,21.9026,3.62028,1.70033,1.88705,1.03617,1.4192,26.8591,7.29426,2.22159,0.153699,1.02445,0.0329747,10.4716,0.16572,
95,16.5501,31.4617,34.6866,0.526037,3.21501,1.54118,3.08185,0.411749,20.0252,3.18677,2.11486,2.23291,0.824953,1.06426,22.6258,8.47397,2.19406,0.547581,0.872816,0.0329747,10.4716,0.16572,
96,16.5366,29.5134,34.5451,0.560308,3.04616,1.01596,3.17025,0.243602,20.286,1.75153,2.10668,1.58315,0.974645,0.711889,26.8766,5.02792,2.1435,0.115693,0.892622,0.0328263,10.471,0.149669,
97,16.5268,32.6713,36.6246,0.50585,2.9281,0.909253,3.35143,0.360661,23.2562,1.86566,1.84291,1.21186,1.1712,0.902448,30.6667,5.57973,2.1435,0.0413958,1.01493,0.033324,10.471,0.0382112,
98,16.492,29.4531,29.0239,0.559942,2.87815,1.36239,3.23338,0.445615,18.6075,2.92605,1.87102,1.98193,0.797118,1.11091,19.4576,6.77439,2.1183,0.147467,0.953757,0.033324,10.471,0.1666,
99,16.492,33.5227,40.7838,0.491966,3.16481,1.03351,3.26042,0.463194,24.1681,1.43272,2.33076,1.76609,1.19227,1.25026,33.4273,4.30511,2.1183,0.0182749,0.868273,0.033324,10.471,0.0457831,
100,16.4902,32.7793,40.3573,0.503068,3.13975,0.917482,3.35012,0.49244,23.1366,1.74286,2.49196,1.21047,1.17702,1.26715,32.2115,3.99852,2.08463,0.0172371,1.21929,0.034113,10.4707,0.0545775,
101,16.4886,33.6826,39.1414,0.489528,2.81156,1.68772,3.39374,0.395187,22.4674,2.92704,1.62084,2.78441,1.14167,0.881968,30.1854,7.12819,1.89571,0.107242,1.4472,0.0342652,10.4707,0.16889,
102,16.4886,31.0949,31.4177,0.530266,2.87794,1.04069,3.15474,0.555302,21.3882,2.07807,2.00879,1.58023,1.03417,1.2618,25.2903,4.67677,2.08463,0.03339,0.932668,0.0342652,10.4707,0.15539,
103,16.4567,39.2181,47.6205,0.419621,3.06834,1.36719,3.2504,0.469842,28.3074,2.75492,2.35053,2.16874,1.31502,1.15121,38.2213,6.49147,2.0512,0.0124277,0.976604,0.0333771,10.4707,0.140653,
104,16.4567,30.5871,32.9486,0.538029,3.07989,0.970838,3.33466,0.266653,19.7181,3.21693,2.28293,1.60106,0.83108,0.578834,22.4197,6.81976,2.0512,0.0601982,2.97272,0.0342652,10.4707,0.193977,
105,16.4567,33.3158,34.8865,0.493962,3.08155,1.10147,3.10319,0.708291,22.5446,2.77672,2.20349,1.34454,1.10305,1.62599,27.5465,5.99682,2.0512,0.101909,0.933245,0.0342652,10.4707,0.150122,
106,16.4567,34.4787,41.2376,0.477301,3.11449,1.37987,3.21563,0.492362,22.6791,3.59722,2.3567,2.23916,1.03799,1.28147,30.3647,7.64547,2.0512,0.0402477,1.0807,0.0342652,10.4707,0.166755,
107,16.4567,34.0165,35.6897,0.483786,2.72497,1.20545,3.29748,0.490219,23.5481,2.75028,1.80251,1.84503,1.12241,1.19346,28.4738,6.06366,2.03341,0.0286022,0.957337,0.0323666,10.4799,0.0821453,
