Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
157,54.0801,91.0542,150.976,0.593933,0.240989,8.72919,50.0045,1.66002,0.274333,0.253214,0.394356,4.34673,0.363191,23.0923,0.233577,1.46174,0.920578,47.2848,101.395,7.56163,1.1056,1.08827,1.32565,21.6512,0.201755,8.61373,0.810937,0.274044,0.0149737,0.00081541,29.9333,0.0260645,0.00349655,0.0268336,0.0848823,0.0212755,0.20448,14.0739,0.0286229,0.211548,
158,54.0801,91.5329,158.152,0.590827,0.213162,10.3747,47.8925,1.48724,0.238774,0.141509,0.541767,6.90831,0.337949,21.6648,0.208302,1.52386,0.746704,45.033,85.5416,5.48103,0.800568,0.464499,2.66808,24.2285,0.0764628,2.7399,0.630841,0.281295,0.0149821,0.00081541,29.9333,0.0262567,0.00352135,0.0268336,0.085055,0.0212774,0.15542,9.34749,0.0286182,0.903364,
159,54.0795,103.709,168.759,0.521454,0.10075,13.5812,56.9033,2.88443,0.319182,0.212138,0.384569,5.60743,0.347624,21.6032,0.267477,1.49774,0.538013,52.6185,99.4655,10.7623,1.08825,0.700696,1.43017,21.3154,0.116086,2.82482,0.809208,0.250855,0.0149821,0.00081541,29.9333,0.0262589,0.00347298,0.0268336,0.085055,0.0212774,0.0258175,10.1123,0.0286018,0.619885,
160,54.0795,87.1838,144.907,0.620293,0.0435625,6.27274,51.1953,1.6306,0.209622,0.245538,0.569514,2.55249,0.3516,22.5235,0.129033,1.4603,0.170925,36.1743,104.605,6.52987,0.865102,0.966008,2.46852,10.5489,0.117494,6.35439,0.445027,0.136689,0.0148889,0.00081541,29.9344,0.0262589,0.00339362,0.0268336,0.0848799,0.0211676,0.326775,10.8635,0.0286012,0.695654,
161,54.0793,90.9051,147.799,0.594898,0.0883872,14.6346,46.3508,1.6719,0.261184,0.148575,0.641421,3.65496,0.325909,21.522,0.119822,1.48545,0.296185,59.5007,69.3809,6.58783,1.06979,0.548726,3.18209,15.9819,0.0660803,2.59815,0.392516,0.177543,0.0148751,0.000886148,29.9344,0.0262901,0.00339362,0.0268473,0.0848799,0.0211676,0.12741,11.5969,0.0286012,1.03315,
162,54.0786,84.3785,123.05,0.640905,0.170437,15.3927,38.727,1.78296,0.261936,0.161759,0.394728,3.53825,0.317516,21.9775,0.135028,1.51868,0.723893,61.3857,43.0637,7.06839,1.0225,0.536436,1.42527,15.0683,0.0385571,2.72268,0.463116,0.196859,0.0149448,0.000886148,29.9347,0.0262901,0.0034809,0.0268473,0.0848799,0.0213808,0.127632,7.08734,0.0286012,1.47623,
163,54.0786,92.2319,145.047,0.586333,0.134062,10.7145,44.5805,2.19375,0.366319,0.160485,0.616909,7.23324,0.347928,24.2016,0.154587,1.52807,0.469493,48.4643,70.3411,8.16433,1.23742,0.528192,2.39304,24.7946,0.0813209,14.9623,0.436925,0.369987,0.0149539,0.000886148,23.7804,0.0263425,0.0034809,0.0268473,0.0848799,0.0213808,0.326775,10.4083,0.028593,0.64847,
164,54.0786,114.567,178.192,0.472028,0.253473,18.7805,52.8989,3.69105,0.361784,0.287001,1.10493,8.22539,0.335597,26.7067,0.209959,1.71128,0.766954,60.981,91.6971,11.7424,0.98785,0.810639,3.45687,24.015,0.0970159,28.8536,0.515322,0.827247,0.0149539,0.000886148,29.9357,0.0264078,0.00349354,0.0268473,0.0848608,0.0213866,0.0713831,10.8285,0.028582,1.47643,
165,54.0786,93.1365,175.661,0.580638,0.170963,8.65636,38.6608,1.60395,0.235452,0.140742,0.427677,5.00723,0.334276,36.2049,0.175486,1.51859,0.767516,46.2371,50.9572,7.45077,0.96686,0.483411,1.44892,21.501,0.0399068,99.6837,0.585918,0.338187,0.00760938,0.000886148,29.9379,0.0263711,0.00348164,0.0268759,0.0849824,0.0213866,0.29713,14.2245,0.028582,1.0705,
166,54.0786,98.1136,156.292,0.551184,0.136928,20.4703,42.4655,3.21651,0.322667,0.174717,0.219884,6.72885,0.322595,22.3099,0.202438,1.5433,0.7191,72.4923,54.3374,11.3377,1.14876,0.565195,0.607184,24.6531,0.0508037,14.5131,0.662972,0.369771,0.0150048,0.000886148,23.186,0.0264078,0.00350195,0.0268547,0.0850122,0.0213866,0.0731736,6.08942,0.028582,1.07705,
