Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,
123,8.96184,29.3874,51.5162,0.304955,5.67787,3.43112,12.4673,7.00753,0.803589,3.26928,0.7629,31.8941,25.3065,1.37089,0.0868114,2.37328,0.228805,0.10338,0.298651,
124,8.96184,36.7696,64.5946,0.243729,6.19355,3.79119,15.5149,10.5845,0.685416,4.71386,1.28892,36.0888,33.5006,1.16533,0.136252,2.92606,0.228805,0.104832,0.298651,
125,8.96184,44.1106,81.492,0.203167,7.67373,4.00685,15.3395,16.2537,0.836779,6.24749,1.6726,36.4878,37.7721,1.47612,4.90793,3.37948,0.228375,0.104832,0.298651,
126,8.96114,32.6525,57.1259,0.274439,6.04825,3.9372,9.33132,12.6697,0.666017,4.16035,1.34913,26.9162,33.9358,1.04247,0.13307,3.40387,0.228375,0.105205,0.298651,
127,8.9584,41.835,71.6339,0.214137,7.68627,4.22028,11.5855,17.6752,0.667724,8.1253,2.20852,28.4808,40.4696,0.922953,0.259674,3.15247,0.226632,0.105205,0.298651,
128,8.9584,38.0847,64.9933,0.235223,7.01221,3.84436,13.4339,13.1394,0.654831,6.09682,1.26562,31.4466,32.662,1.09888,0.222539,3.30437,0.226632,0.107176,0.299135,
129,8.9584,28.3724,48.3138,0.315744,5.57879,3.78191,8.77145,9.62787,0.612377,4.41321,1.15488,26.2573,28.0328,1.08104,0.120194,2.95297,0.226632,0.106613,0.297846,
130,8.95701,31.166,55.7623,0.287397,6.00942,3.83394,10.363,10.3249,0.634653,6.22017,1.5058,23.332,29.6761,1.00281,0.213797,2.70439,0.226632,0.104874,0.299135,
131,8.95685,50.3526,83.865,0.177883,7.58335,4.09081,16.1792,21.58,0.919172,7.14777,1.82307,35.4893,42.9678,1.38818,2.17219,2.52606,0.226632,0.104874,0.298856,
132,8.95623,34.4957,63.8862,0.259633,6.68853,3.6911,11.1183,12.4112,0.586554,5.16038,1.27355,29.7279,35.3336,0.98234,4.90692,2.29474,0.226059,0.104874,0.298856,
133,8.9561,39.7994,65.9083,0.225031,5.2516,3.99507,18.2089,11.5077,0.836108,4.40676,1.76448,36.0452,34.7575,1.55342,0.070014,2.29316,0.225753,0.104874,0.23831,
134,8.95583,39.5327,68.3031,0.226542,7.16179,4.06134,15.0468,12.2454,1.01738,7.27228,1.87922,33.2872,34.2879,1.58651,0.08165,2.76794,0.225753,0.104874,0.298856,
135,8.95541,34.1905,57.994,0.261927,6.60543,3.81417,13.842,9.32401,0.604873,5.02814,1.22203,32.3587,27.0294,0.960363,0.104893,3.22272,0.225753,0.104874,0.298856,
136,8.95463,30.5239,56.8844,0.293365,6.4991,4.20322,11.0106,8.09618,0.714773,5.96676,2.1463,29.4452,29.1424,1.18098,0.167334,3.36752,0.225366,0.105094,0.298856,
137,8.95463,37.6861,64.3611,0.237611,7.00694,3.91597,15.0752,10.7834,0.90455,5.84877,1.58279,32.9551,30.5166,1.4328,0.120677,3.38218,0.225366,0.105094,0.298856,
138,8.95463,36.5807,61.2207,0.244791,6.34883,4.04058,12.2865,13.0455,0.859285,5.15657,1.87261,28.3237,31.8072,1.5547,0.167224,2.16302,0.225366,0.105094,0.299193,
139,8.95437,25.7909,52.2209,0.347191,6.26009,3.74041,6.21783,8.92261,0.649996,4.00326,1.03571,22.4993,28.7124,1.25217,4.91148,3.4055,0.225366,0.105094,0.299193,
140,8.95417,40.5202,68.1798,0.22098,5.88534,4.04697,14.7901,14.9377,0.860108,5.3084,2.02739,32.6452,34.503,1.24184,0.203832,2.04318,0.225366,0.105825,0.238369,
141,8.95334,35.6085,61.0437,0.251438,6.48276,4.00649,9.24679,15.2377,0.634746,4.49099,1.73102,25.0506,37.8545,0.843147,0.440096,3.4055,0.225366,0.105328,0.299193,
142,8.95334,28.3051,53.7381,0.316315,6.16813,3.60139,5.44226,12.4478,0.645543,3.85044,1.0908,19.3896,35.8976,1.16744,4.9105,2.27335,0.225342,0.105328,0.299193,
143,8.95334,36.8237,61.2081,0.243141,5.94832,3.99276,13.7755,12.3668,0.740347,4.52921,2.01433,31.8697,31.6237,1.16625,0.16296,2.85678,0.225342,0.105615,0.238373,
144,8.95334,32.9004,62.8902,0.272135,6.55907,3.74289,11.34,10.503,0.75538,5.28085,1.33853,29.7206,32.4407,1.28687,0.146058,1.98393,0.225342,0.105615,0.299151,
145,8.95334,34.9021,58.1423,0.256527,5.60128,3.88776,10.5626,13.9576,0.892848,3.75121,1.6261,24.1505,32.3592,1.66675,0.287633,2.21374,0.225342,0.105615,0.299151,
146,8.95284,21.0565,38.243,0.425181,5.65969,3.69219,2.66628,8.54628,0.492091,2.52542,1.36472,12.8273,29.0432,0.931288,4.91039,3.107,0.225342,0.105615,0.299151,
147,8.95284,42.7011,69.6978,0.209663,6.14495,3.9163,16.9181,15.0329,0.688791,5.58317,1.59995,31.3865,38.7437,1.09054,0.117319,2.1827,0.225342,0.105986,0.299118,
148,8.95284,27.8001,48.8905,0.322044,5.51404,3.43429,9.85585,8.49406,0.501856,3.91074,0.520901,28.3319,26.093,0.71809,0.0890141,2.1457,0.225342,0.105986,0.299006,
149,8.95284,32.3378,60.7464,0.276854,6.67856,4.17323,9.40671,11.3696,0.709641,5.61626,2.23598,23.722,33.9447,1.44226,0.343113,3.40616,0.225233,0.105986,0.299006,
150,8.95284,42.9626,64.1941,0.208387,6.60002,4.05757,14.0287,17.4564,0.81991,4.30182,1.66334,28.4046,37.1747,1.22761,0.0547447,3.02962,0.225233,0.107011,0.282255,
151,8.95284,38.7281,64.0101,0.231172,5.94906,4.00888,14.5506,13.4781,0.741506,4.28545,1.77342,32.6683,32.2824,1.10559,0.147606,2.56908,0.225175,0.107011,0.298921,
152,8.95282,35.8085,63.9604,0.250019,5.77328,3.94135,8.20828,17.186,0.699679,3.0637,1.82977,21.6998,41.9022,1.02961,0.392418,2.31491,0.225175,0.107011,0.298921,
153,8.95282,42.8749,64.8982,0.208813,5.52838,3.95412,14.7865,17.9435,0.662369,3.68963,1.54654,31.8382,35.3608,0.783214,0.306761,2.56093,0.225231,0.107011,0.298921,
154,8.95277,46.9022,70.7265,0.190882,7.38565,4.36061,15.6537,18.7782,0.72407,6.17772,2.13727,31.3226,35.4196,1.05499,0.318579,2.75394,0.225231,0.107011,0.298921,
155,8.95277,36.3035,69.7237,0.246609,6.70606,3.89643,9.64052,15.4562,0.604343,5.75924,1.60648,27.2348,41.0522,0.943116,0.0844546,3.02909,0.225137,0.107741,0.298921,
156,8.95255,40.5442,66.9769,0.220809,6.53264,4.27873,12.5766,16.2162,0.940111,5.66096,1.90567,29.9257,38.4174,1.59525,0.244711,2.76431,0.225137,0.106759,0.238275,
