Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
58,1350.06,2366.16,2215.91,0.570568,110.772,0,306.592,7.81543,104.052,17.5368,1628.75,81.9641,108.681,264.366,0,605.239,2.29777,292.064,27.051,1048.98,96.4776,262.515,0.405326,0,59.3516,0.830201,0.901537,5.59628,1204.74,27.3096,0.52929,
59,1341.94,2209.51,2047.28,0.607345,99.6132,0,315.248,8.04911,75.0613,14.9551,1527.7,70.9124,97.9734,268.004,0,613.16,2.08367,234.854,22.9789,843.473,85.4968,266.623,0.405326,0,59.3516,0.450306,0.901537,5.59628,1204.24,27.092,0.310355,
60,1341.94,2622.44,2433.97,0.511714,115.765,0,383.171,7.26783,165.678,17.8577,1731.79,88.4926,112.412,330.383,0,635.7,2.70672,387.933,30.3818,1216.93,86.5852,330.406,0.858637,0,61.8265,0.609227,0.901537,4.2606,1204.24,33.0972,0.310355,
61,1341.94,2791.05,2945.65,0.480799,182.25,0,446.58,7.46708,171.559,17.7649,1691.6,95.0672,178.767,399.228,0,788.991,2.69862,407.012,26.5992,1129.94,118.042,386.773,0.858637,0,42.9212,0.290349,0.901537,5.77898,1204.24,26.9938,0.310355,
62,1341.94,2777.98,2694.95,0.483062,119.127,0,427.428,6.76042,135.917,22.2372,1855.57,93.441,117.501,261.752,0,702.526,2.80143,338.494,34.5982,1330.79,122.69,260.65,0.858637,0,53.1179,0.687724,1.0451,5.77898,1204.24,33.0972,0.310355,
63,1341.94,2687.96,2658.37,0.499241,167.077,0,424.491,7.22361,142.836,16.8259,1698.34,70.0838,161.076,389.553,0,767.007,3.06431,384.384,25.1094,1116.26,85.4373,390.348,0.858637,0,55.8521,0.0273629,1.0451,3.45924,1204.24,27.1766,0.310355,
64,1340.06,2535.51,2244.96,0.528519,135.629,0,386.623,7.43361,127.582,18.8165,1653.28,73.8617,132.287,315.519,0,602.614,2.35442,275.812,28.0105,1059.52,78.1856,303.883,0.858637,0,66.1026,0.529735,1.0451,5.77898,1204.24,18.1238,0.310355,
65,1340.06,2840.23,3227.63,0.471815,180.967,0,359.623,7.63517,176.919,19.9528,1816.32,103.529,175.285,454.566,0,644.377,1.66322,412.934,33.7151,1396.78,136.104,439.096,0.858637,0,66.1026,1.75028,0.898611,5.77898,1204.24,33.0972,0.310355,
66,1340.06,2948.54,2875.59,0.454484,165.832,0,511.14,7.52177,129.509,23.0972,1843.47,104.287,163.683,353.556,0,746.992,2.17866,315.359,33.6703,1301.8,134.3,350.737,0.858637,0,70.1695,0.166577,0.898611,5.847,1204.24,31.6377,0.310355,
67,1340.06,2885.4,2783.52,0.464429,184.863,0,486.495,6.98999,125.705,21.2925,1786.85,91.5984,181.602,370.65,0,764.344,2.43371,317.548,30.9209,1266.91,105.356,365.531,0.858637,0,70.1695,0.831757,0.898611,5.847,1204.24,27.4019,0.310355,
68,1337.03,2181.97,2159.29,0.61276,77.972,0,353.663,7.54914,43.2568,14.7731,1527.31,80.4109,77.0352,253.235,0,745.057,2.04999,182.854,24.9112,965.698,127.499,251.393,0.79715,0,68.9622,1.26307,0.707308,5.847,1204.24,31.6377,0.233705,
69,1337.03,2521.33,2436.75,0.530286,152.089,0,355.683,7.36426,78.1316,18.8599,1692.04,66.6278,150.538,379.522,0,657.722,2.38059,239.353,29.7265,1080.8,82.2015,377.627,0.690941,0,68.9622,0.0532568,0.707308,5.83685,1204.24,31.6377,0.233705,
70,1337.03,2674.73,2664.7,0.499873,138.015,0,470.659,7.38969,161.85,16.8973,1675.26,72.6741,131.991,359.95,0,818.142,2.19723,368.321,25.7356,1012.07,87.704,354.071,0.690941,0,68.9622,1.64946,0.707308,3.91948,1204.24,31.6377,0.233705,
71,1337.03,2486.39,2389.87,0.537739,76.5069,0,403.044,7.20602,52.5831,21.3861,1775,75.1504,75.5066,248.317,0,705.05,2.3388,192.086,34.9447,1323.93,102.426,239.07,0.690941,0,75.9543,0.533737,0.707308,5.847,1204.51,29.454,0.233705,
72,1337.03,2841.6,2819.13,0.47052,196.063,0,512.591,6.92755,177.432,16.4851,1644.38,94.4532,193.261,465.048,0,831.28,2.78807,381.877,24.9499,985.563,121.518,438.609,0.690941,0,71.2114,0.54624,0.662586,4.08268,1204.51,29.454,0.233705,
73,1337.03,2243.76,2039.96,0.595887,88.4645,0,305.415,6.87712,90.5945,15.9754,1580.36,69.066,87.0111,260.645,0,565.646,2.29279,278.726,25.7197,987.288,93.6172,278.793,0.690941,0,71.2114,0.113207,0.662586,5.86664,1204.51,19.5635,0.233705,
74,1337.03,2359.96,2472.13,0.566548,109.952,0,352.349,7.0171,132.985,14.9387,1575.41,59.6467,107.654,298.787,0,672.212,2.04457,360.673,25.4493,1021.44,77.8124,294.635,0.690941,0,75.1395,0.37815,0.550829,5.86664,1204.69,17.7713,0.205407,
75,1336.45,2795.86,2923.86,0.478009,189.075,0,519.54,6.8751,123.132,18.6741,1674.55,77.3121,186.705,418.25,0,869.459,2.18519,290.269,30.1214,1165.17,103.806,411.565,0.753317,0,71.0567,0.852244,0.515547,5.90229,1204.72,29.2648,0.205407,
76,1336.45,2503.15,2558.47,0.533906,141.101,0,363.447,7.06011,83.1704,19.1617,1688.79,61.2891,139.136,302.368,0,728.748,2.472,257.799,29.5526,1113.8,73.3189,299.59,0.79715,0,65.0252,0.992121,0.515547,5.90229,1204.57,29.2648,0.233705,
77,1336.45,2777.74,2819.72,0.481127,157.017,0,417.67,6.21237,96.1009,22.3762,1842.48,80.1816,155.709,321.483,0,714.345,2.2672,290.882,34.262,1323.89,108.472,320.578,0.79715,0,71.0567,0.868893,0.515547,5.90229,1204.57,22.936,0.233705,
78,1336.45,2702.31,2625.17,0.494557,183.011,0,402.178,6.30104,152.86,17.8613,1679.57,80.3622,180.172,415.013,0,614.316,2.19662,353.237,27.455,1049.25,97.5154,413.528,0.79715,0,71.8832,0.469427,0.672363,5.90229,1204.57,25.3571,0.233705,
