Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.half_track_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.toe_angle_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.camber_angle_gain_roll_r.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.half_track_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.camber_angle_gain_roll_r.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.half_track_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.toe_angle_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.camber_angle_gain_roll_r.best,Steering.front.tie_rod_angle_front_view_l.best,
80,51.059,67.8534,34.7038,0.75249,0.998116,38.3779,0.655287,0.452639,3.25284,0.777117,22.4533,0.188652,0.697584,0.432532,29.9849,1.50449,0.670443,10.3705,1.63486,403.787,0.362951,0.853765,0.369238,22.4944,0.00115716,0.135297,0.00358713,0.042563,8.49675,0.0532551,0.293132,
81,51.059,73.6548,55.7007,0.69322,1.05376,41.5116,0.959765,0.382462,2.63315,0.545471,25.6384,0.214306,0.715885,0.462072,30.5599,1.94368,0.629961,7.72687,1.2772,40.7494,0.338618,0.850008,0.242405,27.5926,0.00339072,0.0903596,0.00358713,0.042563,8.10203,0.0532551,0.293132,
82,51.059,76.7501,44.8332,0.665263,1.03382,42.2194,1.11805,0.644874,5.45786,0.964978,24.1083,0.237329,0.965509,0.46172,29.0582,1.73366,0.965046,10.7767,1.66859,24.6248,0.320347,1.22422,0.229433,14.6614,0.00339072,0.105195,0.00371522,0.042563,8.02113,0.052613,0.210663,
83,51.0511,94.47,113.907,0.540395,0.902383,34.5637,1.12646,0.50161,4.94914,1.16808,50.2021,0.161159,0.895382,0.379471,18.2445,1.96972,0.943109,12.2418,2.31681,105.846,0.217484,1.05804,0.23568,20.9353,0.00339072,0.12683,0.00371522,0.0392956,9.31715,0.0532551,0.293132,
84,51.0511,69.3571,50.1727,0.736062,0.917314,31.7591,0.810167,0.383643,5.80404,0.579267,28.172,0.134282,0.797242,0.273425,15.8356,1.74443,0.596715,13.5595,1.40341,43.9181,0.189972,1.10608,0.22909,14.951,0.00339072,0.0712896,0.00371522,0.0392956,8.26545,0.0522292,0.293831,
85,51.0511,95.7791,109.996,0.533008,0.969579,40.4698,1.18362,0.486827,3.54575,1.00936,47.0215,0.215489,0.877249,0.47038,30.6357,1.90767,0.689501,10.5409,1.97842,99.7336,0.325174,1.05396,0.229369,22.7812,0.00206417,0.084305,0.00354992,0.0399594,8.15872,0.0522292,0.293831,
86,51.0511,74.0205,71.8468,0.689688,0.932575,33.9819,0.701991,0.412736,3.71401,0.770347,32.7408,0.146545,0.619636,0.354574,22.4863,1.57907,0.713716,11.2248,1.7857,62.3349,0.251436,0.74205,0.240457,14.6942,0.00134006,0.084305,0.00354992,0.0399594,6.9991,0.0522292,0.293312,
87,51.0511,73.7157,46.2339,0.69254,1.01664,38.4185,1.24295,0.715562,5.20766,0.993566,24.96,0.19991,0.960925,0.456133,26.7763,1.73881,1.12294,11.2221,1.63247,30.606,0.292964,1.10931,0.22654,24.186,0.00134006,0.115596,0.00354992,0.0399594,7.56721,0.0534404,0.292598,
88,51.0484,88.5675,166.106,0.576379,0.898158,31.9022,0.379093,0.247264,2.50549,0.522617,51.4562,0.119068,0.537393,0.270466,14.8545,1.39666,0.263345,9.42404,1.41735,159.192,0.203095,0.810594,0.237404,24.8129,0.00134006,0.115596,0.00354992,0.0399594,8.15699,0.0534404,0.293312,
89,51.0484,98.2463,172.889,0.519596,1.01796,43.512,1.00965,0.494454,2.40084,0.77213,47.9408,0.238521,0.859993,0.502557,33.7467,1.98801,0.774073,7.00525,1.69539,164.233,0.371037,1.1385,0.230155,27.6011,0.00134006,0.135297,0.00354992,0.041348,8.15429,0.0543029,0.293312,
90,51.0467,70.8111,36.1597,0.720886,1.02999,40.2919,1.04058,0.425554,5.11741,1.01743,20.8098,0.21665,0.861812,0.433633,30.132,1.76109,0.649506,11.0314,1.87465,24.1663,0.32188,1.0269,0.376929,14.7421,0.00127946,0.0960607,0.00371522,0.0418801,2.11773,0.0541002,0.293312,
91,51.0467,74.5964,38.6016,0.684305,1.05871,43.8281,0.978912,0.573945,3.83394,1.01683,22.1967,0.244911,0.864331,0.510079,32.2284,1.74641,0.869416,9.01665,1.84666,12.2692,0.349508,1.00319,0.331773,15.9312,0.00134006,0.0507306,0.00371522,0.0418801,2.30192,0.0303591,0.293312,
92,51.0411,68.471,33.7224,0.745441,1.0612,39.4961,0.872704,0.543823,4.78502,0.670713,19.9626,0.201648,0.877283,0.436208,28.3084,1.64514,0.8991,10.624,1.67271,6.36874,0.31186,1.0939,0.489542,23.8297,0.00134006,0.135297,0.00371522,0.0377127,8.08603,0.0541002,0.293312,
93,51.032,126.413,309.573,0.403693,0.885677,33.8737,0.933919,0.577312,2.25755,0.621354,86.189,0.146827,0.927739,0.340911,16.7008,1.78478,0.803375,7.61864,1.37358,308.427,0.213336,1.17503,0.226192,27.4955,0.00134006,0.135996,0.00339222,0.0418801,10.3028,0.0434682,0.293312,
94,51.032,75.0611,45.5596,0.679873,1.0233,39.5437,1.19139,0.715397,5.33334,1.26851,24.696,0.212126,1.07726,0.481479,28.5641,1.91965,1.09342,12.0699,2.26764,66.1998,0.312276,1.27532,0.226765,21.8355,0.00206417,0.0390421,0.00339222,0.0430607,8.07644,0.0440489,0.293312,
95,51.032,80.5103,54.5642,0.633857,0.975458,39.914,1.1196,0.457974,6.07119,1.18744,29.6295,0.219203,0.935942,0.439004,27.5464,1.84175,0.703757,12.8969,1.98998,37.7615,0.300672,1.13332,0.226866,13.7294,0.0027536,0.0702919,0.00339222,0.0430607,8.09252,0.0541538,0.293312,
96,51.032,70.8712,35.6066,0.720067,1.04774,40.2441,1.12245,0.583741,4.36874,0.724982,21.6947,0.210494,0.874286,0.471945,28.6358,1.87314,0.930778,10.0532,1.53717,14.4956,0.312023,1.08282,0.346791,25.7296,0.0027536,0.0205597,0.00339222,0.0430607,4.56185,0.0522686,0.293195,
97,51.032,72.8442,43.8527,0.700564,1.04759,41.7387,0.976697,0.514985,3.06991,0.706643,23.7394,0.219613,0.830582,0.478808,31.9041,1.87852,0.809809,9.57128,1.61556,20.2427,0.344366,1.08459,0.233601,27.6011,0.0022876,0.141683,0.00339222,0.0430607,7.86584,0.0543029,0.293312,
98,51.0289,77.654,59.2129,0.657131,1.05566,42.0135,0.922574,0.463623,4.89297,0.862195,26.3802,0.229543,0.833669,0.46146,29.4993,1.62901,0.767865,10.4932,1.56192,44.2599,0.325404,1.03583,0.25852,12.8851,0.0022876,0.139472,0.00339222,0.0553433,8.19407,0.0543042,0.293312,
99,51.0079,70.8373,35.9119,0.720072,1.06623,40.3802,0.915765,0.521859,5.98888,0.90326,19.9853,0.218273,0.857533,0.445963,29.4097,1.70168,0.877152,12.4713,1.65033,9.73072,0.320834,1.0654,0.39294,18.4313,0.00122204,0.141683,0.00339222,0.0529478,5.11335,0.0543042,0.293327,
100,51.0079,74.5698,56.5402,0.68403,0.943759,37.2986,0.964401,0.533428,2.98934,0.600777,30.248,0.177642,0.813843,0.432715,27.6487,1.78301,0.803177,9.77204,1.1986,42.8112,0.289737,1.03384,0.228799,18.7167,0.00122204,0.141683,0.00324489,0.0470928,4.06605,0.0546166,0.293327,
101,51.0079,96.7973,104.283,0.526956,0.97726,41.8391,1.0293,0.636986,4.13319,1.12246,45.8406,0.23122,0.98716,0.473239,28.0261,1.65316,1.02031,10.5284,1.97815,91.7359,0.318453,1.0803,0.242307,16.8128,0.00122204,0.141683,0.00324489,0.0470928,1.9344,0.0546166,0.293383,
102,50.998,74.1963,36.7558,0.687338,1.07247,42.3005,1.18135,0.699633,5.59096,0.848634,21.2129,0.236395,1.05343,0.464148,28.5192,1.88753,1.00533,10.9143,1.59945,27.1967,0.318219,1.17942,0.400891,21.9151,0.00122204,0.086969,0.00175759,0.0395783,6.98256,0.0546166,0.293383,
103,50.998,85.205,89.403,0.598532,0.976835,39.4822,1.00094,0.568132,3.60086,0.983031,37.5685,0.200192,0.824402,0.435979,25.6007,1.75066,0.981758,9.60957,1.7271,79.8948,0.285398,1.10702,0.243936,23.7,0.00122204,0.142993,0.00175759,0.0470928,3.51879,0.0467447,0.271385,
104,50.998,73.2304,47.0864,0.696405,1.0131,38.4105,1.13839,0.484428,5.30834,0.82482,25.0976,0.200234,0.753047,0.42775,27.4886,1.97591,0.735749,12.6618,1.64421,34.0584,0.296332,0.874508,0.255263,16.0654,0.00122204,0.142993,0.00175759,0.0470928,0.0853753,0.0549061,0.293325,
105,50.998,65.6025,28.8166,0.777379,0.954455,34.4008,0.822656,0.524927,5.0545,0.522696,22.3199,0.157867,0.844638,0.343746,20.7305,1.72968,0.73915,12.0853,1.00648,10.7099,0.232001,1.08917,0.365458,13.5049,0.00122204,0.142993,0.00175759,0.0470928,8.29973,0.0549061,0.206566,
106,50.998,78.3747,55.5559,0.650694,0.967637,39.8932,1.128,0.544638,2.98983,1.30619,30.5186,0.201182,0.825478,0.45037,28.4055,1.90562,0.83349,8.23918,2.487,39.7537,0.309675,0.980186,0.259712,14.6981,0.0012622,0.137938,0.00159948,0.0611861,8.34332,0.0485502,0.29331,
107,50.9835,69.4981,33.0646,0.733596,0.983668,36.9364,1.17582,0.603239,6.16072,0.762732,21.6355,0.191075,1.04894,0.408417,27.488,1.97076,0.859575,13.0858,1.56813,10.4016,0.292497,1.3462,0.39651,14.8695,0.0012622,0.0561323,0.00159948,0.0611861,3.79111,0.0549942,0.293325,
108,50.9829,81.5196,88.8184,0.625406,1.02786,40.785,1.02073,0.490216,4.15729,0.722257,32.2497,0.216321,0.850202,0.4555,29.0592,1.93572,0.694018,10.2927,1.49598,78.1572,0.31848,1.11748,0.235156,14.2654,0.00124847,0.138173,0.00157509,0.0611861,7.86634,0.0549942,0.293325,
109,50.9829,68.5571,49.7792,0.743655,0.911047,34.9388,0.603674,0.365362,2.17351,0.634574,28.1429,0.147776,0.63947,0.379048,21.3849,1.39238,0.624277,7.58541,1.39773,38.3273,0.249911,0.896779,0.257826,17.9085,0.00124847,0.138173,0.00157509,0.0600815,9.5797,0.0549942,0.293285,
110,50.9829,89.6668,103.122,0.568581,1.05941,43.822,1.02527,0.688636,3.21054,1.18561,37.4551,0.243905,0.976293,0.533043,32.0974,1.83149,1.18862,8.42609,2.19704,92.6699,0.35149,1.14384,0.246711,27.6066,0.00124847,0.0535944,0.00157509,0.0570298,8.0376,0.0549942,0.293238,
111,50.9829,103.545,164.421,0.492374,0.994361,42.7038,1.05377,0.415061,2.72504,0.856486,53.7804,0.235854,0.780362,0.51629,31.2571,1.80233,0.645223,8.15857,1.56221,156.083,0.340463,0.940391,0.226875,19.6788,0.0012703,0.0968544,0.00157509,0.0585249,8.20768,0.0549204,0.293238,
112,50.9797,63.7682,27.1483,0.799454,0.935531,33.5878,0.821896,0.438224,4.66614,0.781022,21.5816,0.143338,0.812604,0.329947,19.5801,1.65134,0.697108,11.3378,1.5635,32.5452,0.244753,1.04648,0.324381,17.449,0.00138526,0.131596,0.00146642,0.0576064,4.80432,0.054627,0.293238,
113,50.9797,73.2768,69.3163,0.695714,1.00965,38.9461,0.682021,0.533199,1.5683,0.721895,28.9377,0.183821,0.694205,0.436962,27.6936,1.52981,0.960632,5.80704,1.58222,57.6483,0.304122,0.941048,0.252283,27.6066,0.00167947,0.142249,0.000784789,0.0576064,8.44748,0.0549972,0.293238,
114,50.9797,80.1832,51.6756,0.635791,1.06624,42.9861,1.25295,0.783483,5.48609,1.32039,26.1008,0.24812,0.939096,0.537328,30.668,1.88323,1.08845,11.0562,2.10697,34.6502,0.339195,1.05731,0.247268,13.5308,0.00122719,0.142249,0.000784789,0.0576064,7.95823,0.0549633,0.293238,
115,50.9797,108.94,243.157,0.467963,0.974719,42.1848,0.906715,0.602067,0.612841,1.07688,61.6009,0.2239,0.756916,0.506976,31.8514,1.67588,0.950518,5.83264,2.12773,238.143,0.350976,1.03203,0.22801,27.6031,0.00115429,0.14342,0.000784789,0.0576064,8.38944,0.0271397,0.293176,
116,50.9759,74.8305,68.407,0.681219,0.970116,37.6469,0.869584,0.48004,2.23899,0.825346,30.9343,0.175862,0.689382,0.413611,26.4791,1.67883,0.865303,7.15748,1.73958,64.0969,0.282527,0.827652,0.237126,22.4032,0.00122719,0.138043,0.000784789,0.0655764,10.4974,0.0549633,0.293176,
117,50.9688,72.2498,49.5648,0.705453,0.932853,35.6183,0.921163,0.489748,4.27828,1.00334,28.0651,0.165257,0.775709,0.388923,22.4118,1.60449,0.84244,10.2681,1.83153,36.5337,0.246644,0.979228,0.263703,15.9853,0.00122719,0.0913135,0.000664714,0.0655764,4.39742,0.0549633,0.293176,
118,50.9688,110.895,281.178,0.459613,1.02475,40.292,1.03006,0.499816,4.7946,1.42274,60.8134,0.223223,0.794634,0.424348,25.4485,1.70988,0.733967,10.0544,2.50351,275.993,0.31207,0.898887,0.232187,21.5348,0.00122719,0.14342,0.000664714,0.0598353,4.02614,0.0549633,0.293176,
119,50.9688,102.652,210.308,0.496522,1.07081,43.9519,1.04722,0.626725,4.42352,1.26847,49.0928,0.251767,0.91848,0.515013,34.1671,1.67542,0.889697,10.0185,2.12631,204.247,0.370867,1.01815,0.230766,21.3387,0.00122719,0.14342,0.000664714,0.0452373,8.62317,0.0100557,0.228948,
120,50.9688,76.2218,44.9549,0.668691,0.934937,38.5842,0.997605,0.604894,3.55249,0.98928,29.4322,0.19496,0.931311,0.43935,24.9786,1.62881,0.860814,9.68313,1.6046,34.693,0.276536,1.11498,0.311919,23.1983,0.00122719,0.065901,0.000664714,0.0599311,7.85438,0.0549633,0.292953,
121,50.9688,69.5209,35.4641,0.733144,1.02191,38.9786,0.96196,0.471656,4.10041,0.772755,22.3226,0.198919,0.69206,0.449055,28.4831,1.88894,0.757297,10.8843,1.58085,14.3635,0.307244,0.893498,0.349415,22.1125,0.00122719,0.0536896,0.000356432,0.0589337,8.21162,0.0549633,0.293176,
122,50.9688,127.388,333.112,0.400108,0.874956,33.9591,0.856679,0.429034,2.64076,0.746801,86.9659,0.153376,0.761024,0.348404,15.6078,1.77629,0.778708,8.8103,1.75531,331.368,0.237862,1.03425,0.22593,25.8834,0.00122719,0.139526,0.000356432,0.0579468,3.77534,0.0549633,0.293176,
123,50.9688,83.2168,70.8775,0.612483,1.00944,43.2461,1.16167,0.549259,3.50417,1.05407,31.5297,0.242994,0.919299,0.514097,34.0784,1.88407,0.887751,10.306,1.87341,80.5906,0.368971,1.09583,0.237951,21.2013,0.00160655,0.115741,0.000356432,0.0579468,8.2707,0.0550174,0.293221,
124,50.9688,158.516,387.978,0.321537,0.946855,41.0442,1.42382,0.503133,3.89903,0.770557,108.689,0.23495,1.00482,0.470861,28.689,2.26793,0.856414,10.4559,1.56211,388.22,0.326465,1.2386,0.225439,14.542,0.00134822,0.0846145,0.000356432,0.0579468,7.80127,0.0550174,0.293221,
125,50.9688,77.2943,77.3959,0.659413,1.0146,37.8439,0.930504,0.616151,5.2967,0.762855,29.6431,0.191129,0.995334,0.425558,25.6575,1.77208,1.05689,11.5386,1.65435,102.546,0.280017,1.30265,0.252596,13.3229,0.00141039,0.0546599,0.000356432,0.0579468,8.03208,0.0550174,0.293221,
126,50.9662,64.9328,28.0446,0.784907,0.941562,32.2788,0.923125,0.690017,5.76154,0.86136,22.4165,0.142348,0.917614,0.360472,19.6107,1.75637,1.15689,13.0648,1.82532,12.5176,0.211809,1.19823,0.372006,11.7057,0.00127726,0.13854,0.000356432,0.0536247,10.7873,0.0549459,0.293221,
127,50.9662,65.5214,32.715,0.777856,1.01903,37.7405,0.821853,0.30999,4.25621,0.576108,20.002,0.182889,0.612794,0.415178,28.8936,1.73887,0.477459,11.484,1.3347,4.66291,0.312813,0.789886,0.69794,19.0961,0.00141039,0.139526,0.000117182,0.0579468,8.13177,0.0550174,0.293033,
128,50.9662,104.657,253.092,0.486984,0.832238,33.2318,0.660536,0.491951,1.71636,0.761263,66.1591,0.140971,0.662759,0.330428,16.8225,1.40831,0.853103,8.67923,1.68929,249.084,0.208981,0.83655,0.239549,22.6963,0.00122259,0.139526,0.000117182,0.0579468,12.2025,0.0550174,0.293033,
129,50.9628,9967.07,69293.3,0.00511312,0.980924,38.419,0.915683,0.410936,4.06659,0.929744,9920.34,0.259733,0.750729,0.423525,25.3957,1.78087,0.666975,9.76908,1.99526,70026.8,0.622928,0.978231,0.231191,16.581,0.00128263,0.130306,0.000117182,0.0526217,3.11692,0.0554197,0.293033,
130,50.9628,69.7955,52.4696,0.730174,0.895126,31.7897,0.713775,0.430502,6.01769,0.786099,28.188,0.135085,0.83943,0.297643,17.1213,1.37948,0.6555,13.0052,1.46719,9792.69,0.219032,1.0992,0.254215,17.0439,0.00128263,0.0430995,0.000117182,0.0526217,3.13193,0.0258947,0.292632,
131,50.9628,225.482,997.766,0.226017,0.862041,35.1515,0.619314,0.428386,1.09618,0.399342,186.066,0.193279,0.66608,0.332237,18.3305,1.49064,0.674227,6.93748,0.890343,1003.65,0.434474,0.902297,0.228972,27.6114,0.00135266,0.147597,0.000117182,0.0526217,7.33874,0.055413,0.293032,
132,50.9628,58.9877,23.1245,0.863957,0.930034,31.2393,0.489683,0.3133,3.15861,0.344861,21.9118,0.111513,0.48862,0.25988,14.2294,1.39325,0.605905,9.82622,1.01289,162.749,0.18797,0.622495,0.326041,27.6149,0.00122579,0.0415807,0.000117182,0.0526217,5.55238,0.0556408,0.293032,
133,50.9598,72.8062,52.4665,0.699938,0.996999,37.6367,0.886282,0.492091,4.54237,0.853556,26.5453,0.185135,0.667886,0.421375,26.3439,1.69294,0.923932,11.1367,1.7699,38.811,0.298457,0.789735,0.243772,18.8459,0.00122579,0.15409,0.000117182,0.0526217,8.18012,0.0542037,0.293032,
134,50.9598,75.8273,48.9398,0.672051,1.04635,40.1887,1.0658,0.530456,6.47092,0.927791,24.4983,0.2239,0.87513,0.453793,28.9478,1.76804,0.951702,13.4092,1.75346,32.4257,0.315578,0.990166,0.267668,21.8404,0.00122579,0.0519554,0.000117182,0.0526217,1.17082,0.0557256,0.293032,
135,50.9598,66.7796,29.4654,0.763105,0.980897,36.1791,1.08476,0.648921,4.62291,0.84999,21.3221,0.170728,0.920233,0.378019,22.5454,1.87325,1.02742,10.5009,1.63426,8.57488,0.250426,1.20125,0.379282,23.2754,0.00122579,0.154479,0.000276771,0.0520286,8.08973,0.0557256,0.292992,
136,50.9591,69.2423,36.9965,0.735953,1.04201,40.102,1.01082,0.433835,3.7079,0.785886,21.1297,0.209091,0.82109,0.494321,32.8628,1.85937,0.723133,10.8674,1.65949,11.0862,0.351674,1.10229,0.344999,14.8606,0.00138025,0.147635,0.000276771,0.0520286,9.51966,0.0555018,0.292992,
137,50.9565,68.5311,52.4424,0.743553,0.923152,32.7837,0.716119,0.292221,5.29812,0.825997,26.9612,0.141589,0.589053,0.324997,19.9386,1.47039,0.295837,12.5709,1.6827,42.5704,0.228948,0.79262,0.242319,15.6397,0.00117342,0.138934,0.000308446,0.0520286,6.15127,0.0551266,0.290545,
138,50.9565,85.8262,111.863,0.593717,0.988084,40.5407,0.935777,0.369255,4.1127,1.02982,36.8646,0.215518,0.769698,0.453237,29.3649,1.61786,0.482672,10.0489,1.82264,102.139,0.328971,0.883839,0.238239,12.2728,0.00117789,0.0445904,0.000308446,0.0520286,8.03271,0.050575,0.29037,
139,50.9554,86.0548,83.2557,0.592127,0.966054,40.6713,1.15506,0.623719,3.33865,1.01742,37.1069,0.21286,0.962898,0.451872,24.3384,1.83575,0.913498,7.84042,1.92363,72.3666,0.278056,1.10219,0.241026,27.6131,0.00117789,0.147635,0.000495801,0.0520286,6.46668,0.0555018,0.292992,
140,50.9544,79.5359,50.1645,0.640647,1.06283,43.9719,1.20199,0.566711,4.31953,1.10396,26.1634,0.250189,0.895347,0.53008,31.4491,1.95899,0.949918,9.94168,1.97522,32.9922,0.345395,1.14128,0.271587,22.3885,0.00117789,0.147635,0.000495801,0.051847,8.1575,0.0555018,0.292992,
141,50.9544,74.0163,49.091,0.688421,0.994919,38.2232,1.20004,0.605562,5.1585,0.86987,25.8083,0.195076,0.960871,0.408715,23.2187,2.03203,0.943462,10.652,1.65951,34.5926,0.26632,1.17476,0.229242,19.9581,0.00117789,0.147635,0.000495801,0.051847,7.75014,0.0104953,0.292992,
142,50.9544,83.3447,65.8089,0.61137,0.921236,38.2882,1.35546,0.479884,5.69361,0.770244,34.6298,0.198356,1.00787,0.412966,24.8234,1.9803,0.674925,11.463,1.32572,52.0009,0.275251,1.21791,0.225909,14.7214,0.00117789,0.0526482,0.000495801,0.051847,2.11788,0.0443586,0.292992,
143,50.9544,95.9796,140.219,0.530888,0.996771,42.349,1.00398,0.66477,2.69227,0.765363,46.2459,0.229801,1.0318,0.490269,30.1059,1.67951,1.03123,8.11954,1.47568,131.374,0.328262,1.36289,0.247032,21.8901,0.00117789,0.147635,0.000495801,0.051847,7.80618,0.0555018,0.292992,
144,50.9544,64.7231,29.8437,0.787267,0.974608,35.1517,0.839656,0.322158,4.74918,0.734416,21.2062,0.157247,0.588002,0.333353,21.2313,1.79601,0.654442,10.6074,1.87755,26.5694,0.245513,0.723526,0.324325,23.6037,0.00117789,0.0668001,0.000128909,0.0515401,5.51547,0.0555018,0.292992,
145,50.9544,79.4235,72.6199,0.641553,0.852784,34.1253,0.935343,0.456388,3.04426,0.604096,38.4714,0.149473,0.784478,0.334138,19.1675,1.82334,0.716384,10.3392,1.33723,62.7663,0.212522,1.00597,0.233402,13.1404,0.00117789,0.147635,0.000128909,0.0515401,8.10888,0.0555018,0.292992,
146,50.9544,73.2955,47.4682,0.695191,1.00994,37.5603,1.06479,0.569561,6.84895,0.914829,24.0215,0.20041,1.10515,0.46225,27.0124,1.7219,0.906984,13.0629,1.69048,33.9857,0.295447,1.31799,0.231268,13.5377,0.00127011,0.158189,0.000128909,0.0515401,0.0740249,0.0559461,0.292944,
147,50.9509,84.829,66.4864,0.600631,0.95459,41.8135,1.25393,0.59962,2.62345,1.08653,35.2935,0.222304,0.981527,0.48302,28.4654,1.9805,0.882159,8.83205,1.97001,49.9858,0.318279,1.1884,0.225942,27.3143,0.00127011,0.110997,0.000128909,0.0515401,8.25813,0.0256097,0.292944,
148,50.9509,72.9883,70.6617,0.69807,0.865808,32.8439,0.801331,0.429138,2.94729,0.63009,33.6608,0.131572,0.67837,0.297118,14.9272,1.82653,0.670532,9.15756,1.49363,61.359,0.195621,0.958959,0.237623,22.6077,0.00125913,0.157516,0.000128909,0.0515401,8.12494,0.0559461,0.292944,
149,50.9509,64.8849,30.7888,0.785251,0.972899,35.4712,0.68759,0.448282,4.49815,0.83447,21.0726,0.16466,0.735045,0.381514,25.11,1.39964,0.859832,11.3462,1.74094,14.049,0.272275,0.912253,0.396107,11.837,0.00125913,0.0389582,0.000128909,0.0515401,8.2132,0.055961,0.292944,
150,50.9509,65.7372,29.2192,0.77507,0.924003,34.614,0.851952,0.449124,4.55599,0.816217,22.6405,0.156984,0.728366,0.330708,21.3306,1.53375,0.611077,10.5561,1.65436,13.0945,0.234085,0.80268,0.357344,13.285,0.00127011,0.0871639,0.000128909,0.028096,0.190856,0.0342165,0.284632,
151,50.9502,92.0655,210.262,0.553412,0.939743,35.2699,0.718744,0.34309,2.47432,0.500557,50.9502,0.15694,0.712011,0.361018,24.2828,1.6549,0.450592,8.75538,1.26956,204.782,0.265942,0.935568,0.242818,17.7898,0.00127011,0.0548053,0.000128909,0.0515401,8.24228,0.0561251,0.292944,
152,50.9498,80.9775,65.2098,0.629185,0.979314,41.2222,0.989374,0.665926,2.54456,1.15348,32.3258,0.218248,0.878627,0.475453,29.6432,1.76626,1.01444,8.85044,2.27417,53.0306,0.326405,1.03515,0.233715,17.8911,0.00127011,0.162527,0.000128909,0.0515401,8.18894,0.0561402,0.29299,
153,50.9498,82.0504,98.6994,0.620957,0.971568,36.2112,1.08947,0.446352,6.67517,1.06676,34.4972,0.189084,0.903559,0.396446,27.1767,1.75681,0.571467,13.5951,1.92731,90.3028,0.277663,1.0278,0.244323,11.8365,0.00127245,0.125424,0.000128909,0.0515401,5.3272,0.0562109,0.29299,
154,50.9498,73.2967,37.4398,0.695117,1.02312,41.2154,1.11208,0.552354,4.34653,0.759563,23.2518,0.224256,0.811589,0.485495,29.0527,1.88461,0.704045,11.4766,1.53683,18.1661,0.326501,0.950168,0.328791,17.4955,0.00127245,0.16407,0.000128909,0.0515401,5.61685,0.0562109,0.292228,
155,50.9498,74.7384,74.7092,0.681709,0.990019,36.2732,0.897695,0.61664,4.04441,0.838935,30.2233,0.170762,0.683389,0.405545,22.6213,1.74008,1.05328,10.2463,1.68536,64.4577,0.258406,0.860732,0.234009,17.4737,0.00134978,0.165587,0.000128909,0.0465401,1.11344,0.0562786,0.292948,
156,50.9498,103.408,249.878,0.492705,1.0376,39.6096,0.90925,0.621127,3.52238,0.89873,55.7512,0.208986,0.849498,0.467163,28.2383,1.80849,1.04876,9.81539,1.90575,244.306,0.322893,1.11188,0.238939,24.5492,0.00134978,0.165587,0.000179523,0.0506161,8.81321,0.0562786,0.292948,
157,50.9498,70.8377,36.5125,0.719247,1.01224,41.0201,0.794126,0.507033,3.21578,1.19979,22.0347,0.213022,0.840816,0.47218,30.5524,1.49571,0.815051,8.0224,2.11675,34.3723,0.327759,1.02589,0.301679,22.6267,0.00137536,0.165587,0.000179523,0.0478438,9.50677,0.0562786,0.292948,
158,50.9498,69.5948,35.4111,0.732092,0.988797,39.2485,0.783312,0.584693,3.41012,0.771429,22.8624,0.194973,0.750617,0.417582,27.8587,1.46782,0.87721,9.01034,1.5954,12.0246,0.301897,0.882173,0.374247,13.6521,0.00137536,0.152227,0.000179523,0.0516742,7.90639,0.0381087,0.292948,
159,50.9498,81.9985,70.4239,0.62135,0.972636,40.9357,0.829936,0.418163,2.04722,0.898478,34.8845,0.210906,0.800943,0.466905,29.0779,1.54696,0.718379,7.05309,1.69411,56.6344,0.317417,0.987024,0.225357,25.1071,0.00131922,0.0106046,0.000179523,0.0516742,9.61336,0.0560273,0.292948,
160,50.9494,206.356,979.399,0.2469,0.920202,35.7053,0.987459,0.339011,4.27426,0.818126,162.308,0.208347,0.795079,0.36022,23.3355,1.8356,0.416759,11.0343,1.68969,981.682,0.428622,1.04161,0.240888,17.6962,0.00137108,0.0535838,0.000179523,0.0515105,8.03962,0.0424759,0.235013,
161,50.9494,281.308,1014.81,0.181116,0.858534,38.7224,1.31693,0.616265,3.85959,1.05671,233.646,0.261891,0.969254,0.416183,22.4708,2.04225,0.885482,11.0218,1.82182,1010.43,0.447007,1.20465,0.22523,15.2349,0.00137536,0.0778443,0.000179523,0.0516742,1.24748,0.0564711,0.29299,
162,50.9479,103.191,192.56,0.493726,0.900498,34.7111,0.93901,0.500381,3.26384,0.998198,60.9851,0.157195,0.735313,0.36374,21.3758,1.74327,0.951636,10.2897,1.82604,249.905,0.255414,0.948662,0.242905,13.9017,0.00137536,0.0449029,0.000179523,0.0516742,9.57275,0.048212,0.210589,
