Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
283,195.539,279.485,721.857,0.699641,6.79704,20.7476,2.69456,32.9054,19.2042,4.46636,0,59.0767,3.91643,1.95027,21.3073,106.419,28.9328,203.581,20.4136,22.4898,20.2399,1.86458,0,141.931,0.368481,8.93848,203.771,138.067,3.47093,0.38319,0.436723,9.15306,16.3282,4.20869,0,24.1783,3.00113,0.96039,0.91319,88.2916,
284,195.539,427.398,1157.99,0.457511,12.7237,62.6476,1.50198,30.1467,24.1975,4.85612,0,72.6851,3.97857,5.92606,63.2646,145.47,51.7708,349.372,6.17993,4.70616,44.9408,3.25118,0,166.136,0.697586,24.799,345.824,282.036,3.47093,0.38319,0.436723,9.26338,16.3282,4.20869,0,42.7209,3.16165,0.959889,0.91164,88.2683,
285,195.539,454.495,1295.14,0.430232,9.78467,89.1331,3.25355,30.196,20.3606,4.46087,0,82.4539,4.15216,2.8428,89.9938,117.864,37.0585,446.848,15.3397,3.82129,30.026,1.84744,0,203.071,1.45207,14.7729,444.991,182.88,3.49543,0.382639,0.436741,8.63178,16.3383,3.40984,0,45.3023,3.89063,0.959889,0.910654,88.2609,
286,195.539,620.895,1593.74,0.31493,23.1538,127.003,9.88705,32.9734,30.0765,4.99495,0,101.767,4.58537,7.02443,127.82,151.609,79.798,523.208,38.8393,26.6176,56.7294,3.29181,0,196.908,3.14314,26.3925,524.962,276.116,3.49764,0.382639,0.436741,6.91281,16.3394,1.32901,0,45.3134,3.46265,0.959889,0.910654,88.2609,
287,195.539,457.26,1260.79,0.427632,14.34,71.4505,7.47493,30.7403,24.5556,4.72133,0,91.3728,4.15406,7.40389,72.3506,128.696,58.9229,404.406,35.2225,7.42177,41.3363,2.65068,0,219.595,1.40732,30.9786,407.265,226.44,3.49764,0.382639,0.436741,7.31787,16.3426,4.20917,0,45.3134,3.51413,0.959889,0.910654,57.3299,
288,195.529,374.344,1055.58,0.522326,10.1261,56.8426,2.43829,34.0067,16.5942,4.43913,0,72.1702,4.00534,2.71471,57.6334,113.373,36.6865,373.06,14.1937,35.4725,8.23821,1.49999,0,167.283,0.79197,11.3984,375.467,135.596,3.49764,0.380826,0.436741,10.1957,12.2146,4.04038,0,31.2342,3.89112,0.959775,0.907609,88.2593,
289,195.529,536.515,1546.28,0.364443,15.0221,118.364,2.73162,30.1201,26.2103,4.53276,0,81.434,4.04753,4.19944,119.495,130.358,53.9287,550.933,15.6036,5.43552,53.5563,2.37844,0,181.936,1.05615,16.2114,554.437,214.696,3.49764,0.380826,0.436741,8.61501,16.3426,2.0637,0,45.3318,3.36347,0.959372,0.907609,88.2551,
290,195.529,384.488,977.996,0.508545,15.8833,38.0843,4.97568,30.17,20.9124,5.09271,0,63.0227,4.16857,5.89179,38.8819,157.404,63.8776,326.661,27.3316,3.90985,28.6864,4.87979,0,105.954,1.59908,25.3566,326.633,359.095,3.51692,0.380826,0.436773,9.6662,16.3426,4.20942,0,28.4458,3.14054,0.959372,0.907609,88.2551,
291,195.529,420.126,1055.24,0.465406,18.8853,49.2414,12.8335,32.065,28.0843,4.71256,0,89.1619,4.6297,6.96742,49.7633,123.782,66.6787,290.162,57.3622,10.4504,52.0371,2.5818,0,223.15,3.52767,27.6922,289.361,207.913,3.51702,0.380826,0.436829,6.39508,16.3426,2.83863,0,28.1766,3.89164,0.959372,0.907609,88.2551,
292,195.529,549.891,1252.11,0.355578,18.8657,72.8336,15.3658,38.3101,36.5884,5.29713,0,118.129,4.49171,13.4709,73.6824,152.856,54.0465,388.777,50.9152,58.5882,71.0758,3.69844,0,262.07,2.10976,47.8185,389.765,230.771,3.51702,0.380826,0.436829,7.84475,16.3853,4.21009,0,30.6225,3.77829,0.959157,0.907609,86.1784,
