Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
157,21.4267,55.4083,166.651,0.386706,0.424696,2.24518,0.346931,0.319663,26.4128,0.150536,1.63785,0.0763126,7.74272,7.69916,6.07753,0.848709,1.42624,0.0490462,11.127,0.874415,0.404978,68.4207,0.739991,8.34498,0.436008,37.7469,37.7143,1.59463,0.955567,0.451556,0.147619,0.00408105,0.185576,0.253811,12.4759,0.00155997,0.0550949,0.0115496,0.00771963,0.0031455,5.75504,0.650303,1.20539,
158,21.4236,101.599,282.793,0.210865,0.454585,8.85004,0.688403,0.481528,50.6993,0.252147,4.04235,0.148623,13.7513,13.6684,6.04032,1.03449,1.48734,0.15271,34.2446,1.91711,0.802611,134.374,0.984093,15.5401,0.563361,57.8895,57.4306,1.27862,1.57251,0.603616,0.174696,0.00408105,0.185544,0.252949,12.5562,0.00158638,0.0602504,0.0106577,0.00846114,0.0031455,3.10603,0.650303,0.93382,
159,21.4207,68.6891,208.804,0.31185,0.466523,3.57101,0.617961,2.58951,45.8053,0.218256,2.69567,0.111366,2.16455,2.1067,5.87482,0.961988,1.50541,0.234772,14.35,2.01387,15.9309,151.437,0.902209,14.461,0.650667,14.6833,14.378,1.04302,1.55816,0.712654,0.204378,0.00392949,0.185544,0.252949,12.5562,0.00153717,0.0602504,0.0115496,0.0102739,0.00369304,2.84562,0.650303,1.36579,
160,21.4198,71.8937,206.174,0.297936,0.433543,3.6843,0.679475,0.421615,35.8626,0.280019,2.91089,0.282164,9.43019,9.36791,6.12877,0.914552,1.4977,0.101777,14.9811,2.00064,2.25001,105.302,1.10002,11.3852,1.07961,40.9629,40.5854,1.26003,1.03959,0.656911,0.0374828,0.00392949,0.185544,0.253781,12.5488,0.00155759,0.0591879,0.0119461,0.00942509,0.00287175,5.7553,0.650021,1.35761,
161,21.4198,82.5056,201.758,0.259616,0.412278,4.82563,1.02488,0.443603,42.0569,0.421426,4.83455,0.251935,8.04158,7.70105,9.79226,1.23918,1.46029,0.0481194,16.3088,3.32004,0.628979,106.072,1.34465,17.2526,0.861078,33.8747,32.2011,22.5674,1.98803,0.446577,0.201663,0.00392949,0.185544,0.253647,12.4937,0.00155469,0.0568698,0.0119461,0.00942509,0.00287175,5.73378,0.650021,1.34083,
162,21.415,85.4001,260.258,0.250761,0.447952,6.43082,0.498851,0.369926,39.6307,0.282902,3.93977,0.0633569,12.7222,12.5717,6.01416,1.06552,1.36219,0.12303,30.7449,1.62469,0.503847,114.835,1.19319,16.557,0.318673,52.3418,52.1486,4.0024,1.68504,0.233313,0.426033,0.00392949,0.183704,0.250188,12.4937,0.00155469,0.0568698,0.0118553,0.0083082,0.00287175,2.59527,0.650021,0.626793,
163,21.4148,56.7798,177.251,0.377155,0.437439,4.11228,0.569562,0.302407,33.45,0.0749189,2.86751,0.108394,3.28944,3.20663,6.15905,0.751283,1.45091,0.0592452,21.6437,1.87738,0.236391,102.394,0.487404,17.6355,0.5092,18.3839,19.1708,1.5993,0.579005,0.518097,0.42601,0.00392949,0.185388,0.252684,12.4937,0.00154884,0.0568698,0.0122079,0.0083082,0.00287175,5.77539,0.649521,1.36593,
164,21.4148,95.4593,222.262,0.224334,0.414912,4.12703,0.591935,0.441992,36.7967,0.426951,6.41629,0.304283,18.6405,18.4938,6.24969,1.05084,1.5044,0.0795612,12.8134,1.5477,0.595699,85.4775,1.29146,21.3284,1.04138,58.0884,61.3278,2.17297,1.36637,1.15194,0.10586,0.00392949,0.184453,0.252649,12.5079,0.00155759,0.0566258,0.0122079,0.0083082,0.00287175,1.75868,0.649521,0.24595,
165,21.413,58.3549,182.973,0.366944,0.425441,3.13297,0.383974,0.360427,25.9313,0.132221,2.00713,0.0463601,8.85065,8.84159,6.03531,0.826185,1.38135,0.0244988,17.1615,1.19898,0.507879,69.1753,0.716929,10.5598,0.328349,44.7692,45.0361,0.908912,0.910462,0.260426,0.289778,0.00392949,0.183953,0.252649,12.5223,0.001544,0.0578138,0.0125093,0.00942509,0.00287175,5.77539,0.649117,0.611145,
166,21.413,38.4978,119.542,0.556212,0.4224,1.09331,0.4167,0.299575,15.7616,0.0576027,2.46547,0.130699,4.77515,4.77754,5.84895,0.766525,1.6823,0.029893,7.8546,1.61282,0.306681,23.4467,0.387795,16.7989,0.828258,33.7742,33.6353,0.198098,0.806997,2.22765,0.214281,0.00383302,0.183467,0.254164,12.5223,0.001544,0.0572831,0.0124628,0.00870309,0.00287175,5.3984,0.649065,1.36593,
