Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
133,16.0144,87.2021,248.026,0.183647,56.8191,3.40351,5.12874,0.359223,0.317667,0.882881,0.538755,5.00122,0.163255,12.6097,0.704041,1.27405,164.229,3.51077,19.2148,1.22934,1.10584,3.34941,0.205342,18.6827,0.647155,46.1411,0.433486,0.867106,10.9474,2.48121,0.129956,0.00578297,0.0651992,0.133586,0.363761,0.0144829,0.0226282,0.000512327,0.603853,0.486704,
134,16.0128,35.7926,104.648,0.447379,20.1873,2.95556,0.820652,0.13425,0.129253,0.410207,0.485061,2.6301,0.072923,6.18314,0.630877,1.15321,62.9159,3.24701,3.67819,0.672239,0.372652,1.42569,0.0652214,13.7094,0.352974,36.4198,0.146738,0.31434,10.9477,2.48121,0.129974,0.00578421,0.0651992,0.133531,0.275274,0.0144829,0.022692,0.000512327,0.603387,1.09986,
135,16.0128,62.8602,198.044,0.254737,29.7096,3.20774,5.97914,0.198342,0.234764,0.386943,0.502618,5.15024,0.122114,15.357,0.674886,1.33688,97.4011,4.09724,23.4415,0.781462,0.745509,1.01582,0.127369,21.9847,0.491288,60.5278,0.307842,1.30213,10.9477,2.48031,0.129974,0.00577804,0.0653661,0.133015,0.012541,0.0144829,0.022692,0.000512327,0.603487,1.09986,
136,16.0128,61.2448,189.469,0.261457,31.3385,4.50196,3.83192,0.161287,0.155875,0.370437,0.491296,9.06155,0.157377,9.28264,0.665446,1.22651,86.2016,8.07452,15.9814,0.615025,0.414033,1.07393,0.0237875,36.9407,0.660723,46.5378,0.32246,0.519794,10.9477,2.4804,0.130177,0.00578823,0.0653661,0.133265,0.353281,0.0142069,0.02265,0.000512327,0.603487,1.09986,
137,16.0127,43.9669,137.222,0.364199,20.1802,3.2593,2.38085,0.128788,0.146129,0.324146,0.47738,3.56941,0.0769552,11.6701,0.639584,1.11399,47.8186,3.86727,12.909,0.626839,0.410665,1.27219,0.0770897,17.9805,0.293072,57.7071,0.172795,0.131272,10.9477,2.48079,0.130152,0.00578615,0.0654123,0.133265,0.052098,0.0144829,0.0226885,0.000512327,0.603487,1.09986,
138,16.0119,68.4674,218.312,0.233862,32.2186,3.88157,4.79121,0.249734,0.200108,0.960833,0.490455,8.31126,0.135355,15.1462,0.673472,1.4086,94.2509,6.31238,19.7196,0.979347,0.539226,4.27947,0.0360266,36.5581,0.695642,60.6579,0.351466,1.41854,10.9463,2.48079,0.129549,0.00578706,0.0654432,0.133736,0.310036,0.0146156,0.022902,0.000512327,0.603223,1.09986,
139,16.0114,28.4503,87.0556,0.562784,16.2297,2.48271,0.96468,0.0895156,0.117242,0.414667,0.486871,0.790187,0.0413609,5.13945,0.605493,1.08846,36.9635,0.790493,5.83873,0.601755,0.361295,2.03058,0.0409985,8.40758,0.131223,36.5646,0.067441,0.328505,10.9463,2.40014,0.129549,0.00578706,0.065634,0.133528,0.201031,0.015777,0.0227144,0.000487504,0.603223,0.489045,
140,16.0114,51.7926,145.071,0.309144,27.5887,3.53111,4.18225,0.257086,0.217875,0.383564,0.493659,5.14135,0.131493,7.78924,0.699256,1.37697,79.5107,5.1715,18.5407,1.10484,0.648543,1.67513,0.100205,21.7667,0.438047,35.2988,0.380877,1.56009,10.9463,1.96556,0.129549,0.00578492,0.0656234,0.133915,0.0319362,0.0162884,0.0227144,0.000544187,0.603164,1.09918,
141,16.0114,88.2253,246.01,0.181483,45.713,3.51211,7.0784,0.337756,0.250491,0.755312,0.504269,7.48953,0.343097,20.0111,0.778411,1.45191,125.24,6.01453,26.4869,1.17972,0.651928,2.11376,0.1225,34.1934,1.47949,72.0107,0.600268,1.44622,10.9463,2.19208,0.129549,0.00578492,0.0655042,0.133907,0.21509,0.017058,0.0224101,0.00050194,0.603223,1.0992,
142,16.0102,29.0297,91.1183,0.551511,18.801,3.10336,1.61926,0.0617488,0.119309,0.341876,0.487427,2.32577,0.0645504,0.346341,0.623063,1.13592,58.2118,4.32894,10.4206,0.472396,0.391516,1.4693,0.0409741,16.9561,0.393369,5.46389,0.199526,0.375998,10.945,2.4815,0.129549,0.00578492,0.065658,0.133369,0.225766,0.017058,0.0227668,0.00050194,0.603223,1.09919,
