Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
94,14.1384,77.3633,212.59,0.182753,0.32033,11.2713,47.0919,0.53279,6.15111,1.15591,1.12145,8.96571,0.436606,0.316238,0.314973,42.2679,139.83,0.989721,16.6562,0.678887,2.78063,31.7826,0.158958,0.481232,0.010353,0.14109,9.17283,0.094976,1.20931,0.463832,0.0386562,0.0116162,0.208394,0.0388803,
95,14.1384,31.5246,83.3955,0.448486,0.310324,8.41144,11.4126,0.41043,5.87039,1.06048,0.596249,2.78601,0.417561,0.249109,0.454965,44.1238,8.19711,0.756238,21.0671,0.267255,1.32947,13.8449,0.0250684,0.365935,0.010353,0.14109,9.17283,0.0905245,1.0785,0.463832,0.0386562,0.0116162,0.388317,0.0388803,
96,14.1384,47.2446,165.005,0.299258,0.397974,9.48539,26.8385,0.399076,4.19418,1.9018,0.918848,2.43766,0.430407,0.240807,1.05044,43.9493,91.5551,0.876897,12.999,5.66084,2.85643,11.148,0.119982,0.340981,0.0103487,0.14109,9.17283,0.094976,1.12613,0.463832,0.0346536,0.0116162,0.388184,0.0388803,
97,14.1384,46.1635,143.133,0.306267,0.293009,13.6575,21.1951,0.281602,4.75216,1.09054,0.365813,3.8621,0.409524,0.256139,0.26722,55.1231,54.4448,0.535477,15.4945,0.661054,0.639883,18.8872,0.0644682,0.461908,0.010353,0.14109,9.09057,0.094976,0.892973,0.453827,0.0346536,0.0116162,0.0128972,0.0388803,
98,14.1384,28.2058,86.3572,0.501258,0.28692,7.00375,13.9714,0.255478,2.84369,1.08364,0.468849,1.65343,0.409477,0.229127,0.300915,39.2271,27.981,0.437913,8.27958,0.246534,0.801268,10.2493,0.0485997,0.343668,0.010353,0.14109,9.17283,0.0868895,1.2798,0.463832,0.0346536,0.0116162,0.0791057,0.0388803,
99,14.0297,71.0407,200.764,0.197488,0.358118,20.2711,32.7031,0.577943,7.97431,1.16677,0.665784,6.60976,0.41122,0.302676,0.698761,64.3007,96.2966,1.12378,23.9094,0.46615,1.99125,27.0224,0.0547522,0.528557,0.010353,0.14109,9.07714,0.0868895,1.11231,0.463832,0.0386562,0.0116162,0.172444,0.0388803,
100,14.0297,48.0174,122.711,0.29218,0.273013,5.79904,26.2863,0.524482,6.54631,1.16096,0.802408,5.93178,0.408656,0.284411,0.292132,22.303,74.9024,1.13679,18.926,0.424344,2.1517,21.9208,0.0668398,0.442616,0.010353,0.14109,9.17283,0.0936075,0.833343,0.463832,0.0366745,0.0116162,0.0425719,0.0388803,
101,14.0297,60.0481,184.473,0.233641,0.348332,9.90516,30.3023,0.469824,9.0369,1.59214,0.420617,7.29324,0.429714,0.249834,0.535331,44.8957,99.9279,1.05482,29.3608,3.15146,0.772422,29.5857,0.150446,0.353702,0.010353,0.14109,9.17283,0.094976,1.19513,0.463832,0.0386562,0.0116162,0.0757062,0.0388803,
102,14.0297,62.5758,173.952,0.224203,0.330879,13.0614,35.0264,0.536124,5.55338,1.15539,0.582634,5.53791,0.436137,0.355585,0.576042,55.6956,103.492,1.11029,19.8553,0.813215,1.62078,18.9793,0.151383,0.664713,0.010353,0.14109,9.17283,0.0776752,0.696762,0.463832,0.0192648,0.0116162,0.228875,0.0388803,
103,14.0297,54.8995,156.235,0.255553,0.448931,14.9652,25.4758,0.462069,7.5597,1.10365,0.669481,3.51779,0.411289,0.285556,1.12645,55.0641,62.5902,1.02483,23.6844,0.343416,1.63422,15.7229,0.0453398,0.568754,0.010353,0.14109,9.17283,0.094976,1.25283,0.463832,0.0386562,0.0116162,0.188001,0.0388803,
104,14.0297,111.647,291.127,0.125661,0.337647,22.1511,64.7235,0.583194,10.3683,1.33495,0.788951,10.5102,0.473203,0.375792,0.656244,69.0457,173.533,1.23541,26.8753,1.2409,1.92169,35.182,0.237815,0.719108,0.010353,0.14109,9.16875,0.094976,1.12529,0.463832,0.0169015,0.0116162,0.365931,0.0388803,
105,14.0297,46.8381,155.451,0.299537,0.284681,12.5024,20.3526,0.2963,5.54184,1.90539,0.558897,4.79612,0.4133,0.186539,0.213956,55.0702,54.5394,0.64338,21.0321,5.92391,1.46588,26.4277,0.0621439,0.267929,0.010353,0.14109,9.16875,0.094976,0.935205,0.457818,0.0386562,0.0116162,0.300648,0.0388803,
