Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
28,54.4847,195.047,180.3,0.279342,101.002,1.26418,6.80892,0.978744,2.86509,0.116895,9.95709,15.5165,2.71591,51.835,0.465245,1.5213,107.956,1.01409,13.9704,0.550215,2.61642,0.173759,14.467,4.11097,1.54912,75.329,0.546013,0.654319,23.5943,0.0305215,0.0916775,0.425136,0.156768,0.0105614,0.390508,0.188112,0.081033,0.613422,0.0385834,0.471424,
29,54.4847,196.535,286.395,0.277226,87.2332,1.36674,8.46092,0.948107,2.54965,0.121069,11.3188,18.2865,2.51525,61.6959,0.442971,1.59625,66.9781,1.10601,23.9276,0.534975,2.13527,0.195514,26.6492,16.4886,1.39492,180.73,0.444415,1.30605,23.5943,0.0305215,0.0916775,0.425136,0.156768,0.0105614,0.390508,11.6456,0.081033,0.613422,0.0453022,0.46322,
30,54.4847,180.712,222.067,0.301501,82.3974,1.47766,6.20914,0.918009,2.17778,0.125217,8.68368,16.8867,2.04658,57.9023,0.389716,1.49741,61.6834,1.12056,15.5744,0.474125,1.63525,0.14286,10.8218,4.96902,1.49325,143.727,0.270778,0.81382,10.729,0.0305215,0.0916775,0.425136,0.156768,0.0105614,0.150757,11.6456,0.0263832,0.613422,0.0453022,0.471424,
31,54.4847,152.331,178.092,0.357672,82.5226,1.30126,4.78206,0.922643,2.213,0.0899428,6.65179,15.9986,2.09791,33.9108,0.416172,1.42458,35.3866,0.890496,8.77951,0.188099,1.1838,0.0741576,10.3579,3.13141,1.39195,129.62,0.404372,0.482757,23.5943,0.0305215,0.0916775,0.511366,0.156768,0.00910806,0.348042,11.6456,0.0351291,0.613422,0.0380481,0.286939,
32,54.4847,167.631,151.696,0.325027,76.6206,1.29921,5.22379,0.939411,2.31634,0.109588,6.9431,17.9901,2.28349,52.231,0.301824,1.37285,16.1521,0.80239,9.75392,0.221092,1.12575,0.0944659,7.08888,10.9112,1.42535,133.352,0.236459,0.553547,23.5943,0.020959,0.0916775,0.511366,0.297814,0.0103155,0.0623198,12.7561,0.0351291,0.613422,0.0380481,0.471424,
33,54.4847,134.731,33.1835,0.404396,75.4341,1.21169,3.69247,0.916907,2.30172,0.10341,6.22739,16.7343,2.24969,24.0789,0.310275,1.47049,14.4835,0.91426,3.02932,0.226364,1.13996,0.0717028,6.86165,3.35564,1.41195,40.0152,0.21781,0.437805,23.5943,0.0305215,0.0916775,0.30673,0.237873,0.0105614,0.348042,12.7561,0.0351291,0.613422,0.0380481,0.471424,
34,54.4847,151.944,66.3248,0.358584,71.6865,1.21947,4.5374,0.848487,2.46171,0.117745,8.97249,17.17,1.90641,41.2408,0.334644,1.44847,17.4524,1.00422,3.31503,0.260303,1.13087,0.0890418,9.23893,4.30579,1.33362,67.8644,0.258078,0.478652,22.704,0.0305215,0.0916775,0.252405,0.332717,0.00331583,0.348042,11.3956,0.0351291,0.613422,0.0380481,0.363878,
35,54.4847,127.768,22.0182,0.426434,76.4031,1.16338,4.46161,0.904748,2.44762,0.0939969,6.0666,16.1321,2.14832,16.1094,0.249242,1.58822,9.73836,0.805719,2.77112,0.207932,0.837489,0.0545079,6.68811,2.16762,1.43367,30.3225,0.189616,0.524354,23.5943,0.0305215,0.0916775,0.30673,0.627068,0.0229149,0.348042,11.3956,0.0351291,0.613422,0.0302365,0.471424,
36,54.4847,126.078,21.3472,0.432151,76.6976,1.21283,3.61523,0.852667,2.35318,0.0959414,4.2032,16.0902,1.81265,17.5549,0.23126,1.35832,10.3005,0.804235,2.52654,0.239329,0.808595,0.0491203,3.42862,1.97844,1.41806,20.4464,0.181198,0.503762,23.5943,0.0305215,0.0916775,0.30673,0.55688,0.0242543,0.11048,11.3956,0.0351291,0.613422,0.0311139,0.441971,
37,54.4847,154.036,152.374,0.353714,93.9866,1.2317,5.57946,0.9281,2.79361,0.120263,6.21163,16.3488,1.96249,23.0321,0.311416,1.52984,93.7317,0.985899,13.6031,0.60639,1.19879,0.171295,14.8423,2.02848,1.74154,44.5895,0.48666,0.692394,23.5943,0.0305215,0.0916775,0.30673,0.627068,0.0242543,0.390508,10.5779,0.0304801,0.613422,0.016559,0.441971,
