Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,
283,731.517,1036.56,1289.9,0.705716,10.4961,0,30.6149,45.183,34.3061,46.9003,106.631,4.89255,757.535,17.9621,0,214.049,192.802,163.029,196.495,258.649,3.85057,489.211,4.54375,0,0.68414,0.635364,0.205378,0.954359,38.5524,2.94596,656.387,
284,731.517,1115.8,2541.8,0.655596,9.88996,0,141.277,37.2648,32.3773,38.7027,116.526,5.04939,734.716,17.9544,0,1665.42,180.8,183.695,187.47,312.6,4.10307,438.273,4.54375,0,0.68414,0.635364,0.205378,0.954359,41.4821,2.32046,656.387,
285,731.517,1127.09,2222.74,0.649029,9.44059,0,145.414,42.5929,40.1988,44.3703,96.1574,4.89454,744.024,13.7581,0,1540.53,197.586,203.223,201.127,211.117,4.1127,427.398,4.54375,0,0.68414,0.635364,0.205378,0.954359,41.4821,2.45267,656.387,
286,731.517,1305.42,2911.77,0.560371,9.55019,0,271.345,49.5882,43.7285,52.3859,118.275,5.14895,755.393,15.2799,0,1816.28,226.125,234.582,237.543,307.33,4.43668,503.544,4.54375,0,0.68414,0.635364,0.205378,0.954359,41.4821,2.94596,656.387,
287,731.517,1256.55,4323.64,0.582161,9.61447,0,286.941,44.2476,32.352,46.4093,95.6543,5.11805,736.216,15.4914,0,3619.12,216.007,177.32,225.767,245.822,4.31945,398.98,4.54375,0,0.68414,0.496468,0.205378,0.576959,41.4821,2.94596,656.387,
288,731.517,1034.68,1527.43,0.706999,9.29902,0,96.5242,25.7372,34.9547,27.8802,94.7894,4.89221,740.602,13.9166,0,913.884,121.799,203.063,130.928,237.988,3.78544,416.379,4.54375,0,0.68414,0.635364,0.205378,0.954359,40.0881,2.94596,656.387,
289,731.517,1377.09,4888.5,0.531203,9.72257,0,416.808,30.878,25.8191,32.1936,111.913,4.76333,744.997,14.9345,0,4324.19,169.262,134.471,173.896,287.97,3.39188,411.425,4.54375,0,0.68414,0.635364,0.205378,0.954359,41.4821,2.66327,656.387,
290,731.517,1530.24,5930.35,0.478039,11.2129,0,498.176,37.2819,31.2717,38.1783,132.864,5.08272,776.176,20.0518,0,5278.53,176.81,170.361,177.123,334.032,4.4059,536.401,4.54375,0,0.68414,0.635364,0.205378,0.954359,41.5016,2.50534,656.387,
291,731.517,1440.85,7016.98,0.507697,9.98375,0,499.437,32.1508,20.1001,32.8882,96.5683,4.58065,745.145,17.8217,0,6706.08,167.256,109.378,167.741,253.29,2.8653,472.896,4.54375,0,0.68414,0.635364,0.205378,0.954359,40.7305,2.94596,656.387,
292,730.514,1171.57,2973.01,0.623532,9.27645,0,189.912,38.1628,48.3518,36.8608,100.869,5.38775,742.753,13.4185,0,2227.76,186.855,319.753,174.874,249.647,5.19224,476.631,4.54375,0,0.68414,0.635364,0.205378,0.954359,40.6191,2.94596,656.387,
293,730.514,1000.85,1304.48,0.729891,8.75945,0,55.4662,46.3868,25.9572,47.6332,99.9621,4.80212,711.886,11.3686,0,474.259,220.404,137.474,223.298,260.088,3.62165,296.773,4.54375,0,0.68414,0.635364,0.205378,0.954359,40.7305,2.47668,656.387,
294,730.338,1349.11,2705.83,0.541349,10.4421,0,266.889,55.9311,44.6996,58.4899,129.308,5.11915,778.227,16.7387,0,1823.37,259.899,230.369,268.608,321.666,4.2206,529.85,4.54375,0,0.68414,0.398981,0.205378,0.954359,40.7305,3.03449,656.387,
295,730.338,1059.63,1270.44,0.68924,10.7158,0,41.4276,43.5711,32.3831,45.1676,107.764,5.09787,773.501,17.3287,0,173.021,193.26,175.63,196.82,248.368,4.37389,474.732,4.54375,0,0.68414,0.398981,0.205378,0.954359,40.7305,2.8508,656.387,
296,730.338,1034.2,1435.05,0.706188,10.7899,0,67.0024,32.2813,26.1551,34.4228,84.9004,4.96189,773.683,19.3345,0,594.613,154.708,165.802,164.407,175.015,4.06946,545.085,4.54375,0,0.68414,0.398981,0.205378,0.954359,40.7305,2.60475,656.387,
297,730.338,1089.38,1699.82,0.670415,10.1181,0,115.731,39.2336,29.9302,40.6171,104.816,5.2648,743.671,14.9287,0,1144.15,174.307,131.185,174.997,262.444,4.54035,378.806,4.54375,0,0.68414,0.398981,0.205378,0.954359,40.7305,3.03449,656.24,
298,730.338,1117.32,1766.86,0.653652,10.4733,0,92.1724,40.8867,40.6678,42.2833,120.649,4.76424,765.422,17.4439,0,936.855,190.552,198.48,193.461,301.313,3.26649,498.661,4.54375,0,0.68414,0.398981,0.205378,0.954359,42.2365,3.01334,656.24,
299,730.338,1173.58,3134.57,0.622316,9.56167,0,200.836,40.9689,24.3882,41.8249,115.717,4.5152,735.769,14.5999,0,2419.63,183.421,120.115,184.013,295.092,2.42776,380.653,4.54375,0,0.68414,0.398981,0.205378,0.986579,42.2365,2.70489,656.112,
300,730.338,1477.78,5985.1,0.494213,9.23437,0,508.517,24.7579,53.1263,22.8314,108.219,4.55389,746.539,14.4162,0,5587.09,133.915,440.057,122.406,289.755,2.50924,483.922,4.54375,0,0.68414,0.398981,0.205378,0.986579,42.2365,3.03449,656.24,
301,725.917,3565.68,36521.2,0.203585,8.80763,0,2587.09,52.337,40.3313,54.1108,101.051,4.73574,717.217,11.4181,0,35960.6,231.222,204.573,230.896,260.779,3.51525,331.51,4.54375,0,0.68414,0.398981,0.205378,0.986579,42.2365,2.81752,656.24,
302,725.917,1091.3,1628.57,0.665185,10.1094,0,115.909,36.2792,24.6856,37.2447,105.158,5.03001,756.885,15.8564,0,2548.57,155.42,122.542,155.477,259.491,4.51281,423.122,4.54375,0,0.68414,0.398981,0.205378,0.986579,42.2365,2.51615,656.24,
303,725.917,1157.97,2280.5,0.626885,9.96573,0,149.709,47.3825,36.8891,50.1962,99.8486,4.88214,759.102,16.4605,0,1376.29,232.833,196.939,245.679,253.708,3.90969,509.947,4.54375,0,0.68414,0.398981,0.205378,0.986579,42.2365,3.03449,656.24,
304,725.917,992.811,1144.51,0.731174,9.63759,0,52.7998,28.9934,29.2481,29.9996,93.5443,4.97293,743.616,15.6476,0,294.698,123.125,130.754,123.341,231.502,4.37351,433.37,4.57101,0,0.68414,0.398981,0.205378,0.956743,42.2365,3.03449,656.24,
305,725.917,907.325,904.497,0.800064,8.0058,0,22.1577,34.1958,28.7038,35.1841,74.4352,4.61906,700.023,9.91244,0,118.786,165.906,168.146,167.504,160.376,2.70174,287.872,4.57101,0,0.68414,0.398981,0.205378,0.956743,41.8483,3.03449,656.24,
306,725.917,1156.71,2312.7,0.627569,10.5625,0,131.202,42.2248,31.6909,44.428,120.075,4.66232,771.867,17.3605,0,1247.5,204.743,168.992,209.4,306.155,2.61989,488.2,4.57101,0,0.68414,0.398981,0.205378,0.956743,39.0064,2.67792,656.24,
307,725.917,1241.35,3016.89,0.58478,9.16153,0,223.645,48.1943,45.8402,49.7012,115.577,4.99315,744.239,13.6565,0,2266.5,210.612,255.135,217.039,310.765,4.33541,484.233,4.57101,0,0.68414,0.398981,0.205378,0.956743,42.2365,3.03449,656.24,
308,725.917,1447.93,4324.96,0.50135,11.2397,0,339.001,59.1972,49.9931,61.2996,126.773,5.1127,795.31,19.6369,0,3630.07,229.39,236.497,235.431,312.28,4.37066,557.246,4.57101,0,0.68414,0.398981,0.205378,0.956743,40.1871,2.43397,656.24,
309,725.917,1112.69,1657.52,0.6524,11.0563,0,80.4113,45.4952,42.6787,47.0619,97.8423,5.00842,783.133,20.0026,0,828.33,192.993,200.702,198.872,230.455,4.20556,569.18,3.60389,0,0.68414,0.398981,0.205378,0.956743,42.2365,3.03449,656.24,
310,725.917,1296.5,4986.21,0.559904,8.29646,0,424.194,20.9242,26.1062,21.9362,77.8538,5.0005,712.192,11.275,0,4575.54,107.87,139.921,110.102,175.052,4.53566,313.986,4.57101,0,0.68414,0.385829,0.205378,0.914388,41.778,3.03449,656.24,
311,725.917,1002.01,1120.69,0.724461,9.96126,0,30.0233,32.5524,31.5105,33.709,104.371,4.93345,754.95,16.2193,0,412.292,147.502,155.052,150.055,254.759,4.26369,472.284,4.57101,0,0.68414,0.398981,0.205378,0.956743,42.0222,2.57327,656.24,
312,725.917,1384.86,4354.79,0.524181,9.14761,0,403.098,43.2385,35.0937,44.2807,110.311,5.02285,734.667,13.2613,0,3845.89,191.759,172.586,192.488,275.421,4.13551,385.788,4.57101,0,0.68414,0.398981,0.205378,0.956743,42.0222,3.03449,656.24,
313,725.917,1145.03,1958.21,0.633974,9.51188,0,121.335,53.8714,45.6942,55.4524,108.108,4.74851,746.305,14.3337,0,1089.06,227.053,205.431,234.483,261.399,3.48877,435.219,3.40047,0,0.68414,0.398981,0.205378,0.956743,42.0222,2.59927,656.24,
314,725.917,944.526,895.846,0.768552,9.08858,0,38.1926,24.0944,19.4459,24.7924,100.322,4.93844,723.652,12.4055,0,187.552,118.42,100.809,117.345,259.955,4.11548,321.132,4.57101,0,0.68414,0.398981,0.205378,0.956743,39.9427,2.89762,656.24,
315,725.917,1252.01,3394.66,0.579803,8.84127,0,290.279,39.4198,38.4455,42.3665,93.2567,4.77896,734.62,11.9283,0,2803.31,170.217,226.583,180.856,228.601,3.24171,379.838,4.57101,0,0.68414,0.398981,0.205378,0.956743,42.0222,3.03449,656.24,
316,725.917,1576.15,9170.08,0.460564,7.847,0,735.386,14.9497,18.8591,15.7619,82.5874,4.47902,696.279,9.54375,0,8938.28,87.2783,99.1554,86.3628,209.982,2.39002,268.774,4.57101,0,0.68414,0.398981,0.205378,0.956743,42.0222,3.03449,656.24,
317,725.917,983.713,1102.87,0.737936,9.66933,0,34.9345,25.2911,36.3585,27.34,93.2513,4.6628,752.205,15.7496,0,710.321,113.31,184.354,119.555,224.546,2.76764,452.935,4.57101,0,0.68414,0.398981,0.205378,0.956743,42.0222,3.03449,656.24,
318,725.917,1036.51,1306.03,0.700346,9.20401,0,25.8491,45.6714,39.0445,49.3797,105.771,5.13401,756.458,12.4116,0,86.6553,190.788,207.006,204.228,257.755,4.61288,526.908,4.57101,0,0.68414,0.398981,0.205378,0.956743,42.0222,2.41501,656.24,
319,725.917,1136.45,2310.04,0.638761,9.23619,0,156.045,39.793,47.8709,42.6839,85.4577,5.03868,750.32,14.2041,0,1470.45,204.446,242.037,217.086,217.83,4.65045,487.795,4.57101,0,0.68414,0.398981,0.205378,0.956743,41.8214,3.03449,656.24,
