Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center_gnd.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center_gnd.z.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
166,31.033,90.5064,286.469,0.342882,1.40876,1.08154,4.28404,0.598122,23.1032,0.391264,56.1782,0.99361,1.10794,1.35973,0.442883,0.0654534,6.10674,2.06197,29.9587,1.34808,278.369,0.00965017,5.47195,1.97047,1.27924,1.07155,2.76436,0.0095138,5.28777,0.0160744,0.0131677,0.985139,7.98782e-05,0.780631,
167,31.033,101.024,334.723,0.307186,1.37049,1.0916,3.08957,0.467443,25.0992,0.158078,66.5357,0.995692,1.30054,0.915411,0.362254,0.191642,2.40825,1.90553,7.37663,0.613665,325.471,0.0195385,6.36928,0.762704,1.27925,0.878647,1.99682,0.00951087,23.5074,0.0160646,0.0131677,0.991759,8.06321e-05,0.780619,
168,31.033,101.025,272.538,0.307181,1.38555,1.22415,4.13252,0.535407,46.1426,0.320998,44.2528,0.993042,0.881441,1.15682,0.38909,0.570123,5.01298,1.83958,158.903,1.17042,197.282,0.0136918,3.95655,1.39902,1.27925,1.07156,2.76437,0.00950643,9.5433,0.0160589,0.0131314,0.967987,8.13841e-05,0.780615,
169,31.033,46.7073,97.2593,0.664416,1.31089,1.09592,3.34749,0.289161,34.3802,0.239148,4.02582,0.996835,0.080431,0.941355,0.188691,0.202737,2.92246,1.41086,69.2672,1.11067,43.5965,0.0256974,0.929363,0.904256,1.27925,1.07155,2.76437,0.0095138,24.1062,0.0160078,0.0131457,0.991759,8.13841e-05,0.780615,
170,31.033,49.556,108.984,0.626221,1.34894,1.15383,3.71823,0.483085,24.5016,0.182603,15.8084,0.99449,0.315169,1.04968,0.319103,0.420924,4.32935,1.93084,11.4077,0.766669,104.22,0.0195477,2.0989,1.21788,1.27925,1.02923,2.76437,0.00950729,13.054,0.0160592,0.0131307,0.967454,8.15904e-05,0.78062,
171,31.033,42.1381,36.6931,0.736459,1.47009,1.20016,5.90084,0.898077,24.1304,0.475676,5.52153,0.997934,0.110322,1.4331,0.511143,0.521806,8.58341,2.49532,8.49025,1.61489,28.6899,0.0214845,0.569799,2.01985,1.27924,0.895046,2.76437,0.00950789,12.3041,0.0160592,0.013103,0.991759,8.18431e-05,0.78062,
172,31.033,129.974,324.8,0.238763,1.43556,1.16103,4.70014,0.775814,23.3626,0.297136,94.0552,0.995437,1.86361,1.32777,0.495498,0.336313,5.95304,2.13071,4.58174,0.841522,306.097,0.0231572,6.46289,1.82752,1.01319,0.975104,2.76438,0.00950789,10.0208,0.0160592,0.013103,0.972257,8.23376e-05,0.780625,
173,31.033,73.2178,190.546,0.423845,1.37427,1.16046,3.6057,0.533375,28.3467,0.189874,35.2276,0.993758,0.701413,1.08462,0.382736,0.374848,3.5267,2.17586,34.3455,0.845946,190.913,0.0148795,3.74025,1.34622,1.27924,1.07157,2.76437,0.00950789,6.22938,0.0160592,0.013103,0.983344,8.23617e-05,0.780625,
174,31.033,65.2518,216.511,0.475588,1.36776,1.10853,3.63659,0.599655,24.6894,0.259348,30.8679,0.995576,0.607533,1.11956,0.351231,0.28224,4.42459,2.35838,7.13316,1.14079,210.083,0.0199998,4.12724,1.41546,1.27924,0.877024,2.75492,0.00950789,13.3442,0.0161027,0.013103,0.991759,8.25326e-05,0.780644,
175,31.033,48.0741,84.8082,0.645523,1.31002,1.07467,3.0052,0.379259,26.7536,0.255291,13.0967,0.994152,0.262071,0.94313,0.197564,0.0612058,1.8389,1.8128,18.6741,1.17893,71.7183,0.0160675,1.44454,0.91949,1.27924,0.904227,1.73204,0.00950789,23.9307,0.0161027,0.013103,0.991759,8.25326e-05,0.780644,
