Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.camber_angle_gain_roll_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.camber_angle_gain_roll_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.camber_angle_gain_roll_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
103,12.4523,55.3408,211.916,0.225011,4.79347,4.57733,1.65741,7.12161,6.0484,1.83582,13.4627,13.4441,2.39988,15.5079,19.0761,2.4119,8.89933,36.0286,9.86466,93.5039,93.4617,1.04647,0.854706,1.74414,0.822803,5.19193,0.315749,0.203327,0.0200057,0.00601829,1.51583,
104,12.4523,102.485,440.717,0.121503,3.92991,3.15302,1.4042,7.41717,0.917801,0.664982,41.254,41.1394,2.60475,14.6557,9.355,1.79804,10.8688,5.0814,2.60494,200.762,203.859,1.93004,0.854706,1.74844,0.798414,5.18831,0.254975,0.203327,0.0200057,0.00601829,2.19496,
105,12.4523,34.062,103.267,0.365577,4.32499,5.9994,1.50363,6.28603,0.98684,1.57596,5.45039,5.43564,2.49913,14.1392,19.8911,1.9407,5.30599,0.183106,6.11856,40.3154,49.3588,1.37811,0.830843,1.74587,0.822803,5.19131,0.944565,0.203327,0.0200057,0.00601829,2.19958,
106,12.4259,140.202,573.511,0.0886286,6.0173,5.59683,1.55783,7.48102,3.73745,2.73449,55.6176,54.894,2.5653,17.5375,12.9614,1.85624,8.86445,19.5993,8.57296,273.893,269.592,1.41317,0.854706,1.75843,0.822803,5.18833,0.261546,0.203327,0.0200057,0.00601829,2.19686,
107,12.4069,133.673,561.464,0.0928156,6.5259,4.85741,1.4364,7.5001,1.04308,1.34182,54.5246,53.7071,2.73671,19.2574,12.3669,1.4884,8.78042,2.7298,4.19536,269.653,265.121,1.95917,0.849383,1.74199,0.940126,5.19131,0.253391,0.205368,0.0393061,0.0124603,2.19757,
108,12.4069,85.8656,477.461,0.144493,3.36762,3.57026,1.28469,7.16231,0.923179,1.81714,33.0916,32.4414,2.2074,12.336,9.50491,1.26376,10.9893,0.162507,9.16533,228.388,224.404,0.568068,0.847186,1.76141,0.941808,5.19131,0.344586,0.220631,0.0306408,0.0097205,0.984996,
109,12.4069,122.153,507.897,0.101569,4.18584,8.16047,1.43347,7.41095,1.03414,1.61862,48.1558,47.4738,2.68021,13.5631,26.3354,1.80216,10.4126,0.803796,5.26123,246.804,242.663,1.69023,0.843649,1.76141,0.948242,5.19131,0.364885,0.229126,0.0306408,0.0097205,2.19958,
110,12.4047,135.352,479.67,0.0916482,4.92923,7.8152,1.38193,9.85265,0.894526,1.50748,53.2062,52.9963,2.76825,15.7988,29.8058,1.49898,16.5164,0.222071,4.08445,213.219,213.155,1.96316,0.839092,1.76819,0.937009,5.19131,0.263457,0.22987,0.0306408,0.0097205,2.20016,
111,12.3817,230.7,727.711,0.0536702,6.16313,5.84993,1.44252,9.85499,0.877091,2.46773,101.276,100.28,2.48891,17.9575,17.0689,1.70053,15.0106,0.209976,6.79994,345.56,343.203,1.23002,0.839092,1.77112,0.933451,5.19131,0.0351227,0.22987,0.0306408,0.0097205,1.60221,
112,12.3534,61.807,320.24,0.199871,4.08237,3.60738,1.13437,6.84455,0.951042,0.893205,20.9505,20.8811,2.46248,15.8422,9.60042,0.726792,9.02852,0.183556,2.98616,158.752,164.078,1.42781,0.835946,1.76198,0.948933,5.18823,0.253411,0.211182,0.0393061,0.0124603,2.19411,
