Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,
223,752.351,1227.75,1657.5,0.612787,16.5213,117.628,4.51718,27.1049,27.9997,4.11487,117.953,814.943,83.7592,0,2.97803,10.2338,46.5569,460.659,19.2968,9.64087,55.4908,4.37287,461.831,586.566,157.376,0,1.57379,36.3463,4.36104,0.00346105,0.248093,7.7046,14.0248,2.85583,0.0172484,654.08,32.7406,0,2.41877,1.06917,
224,752.351,1012.18,1173.69,0.743297,12.8764,73.4566,2.602,28.9828,19.816,3.34771,73.8246,717.081,72.1183,0,3.03279,5.04308,40.656,403.299,13.8484,19.5605,32.3571,3.04341,406.164,391.003,194.716,0,2.67358,20.9336,4.36104,0.00346105,0.24771,9.01045,14.0248,0.49356,0.0172484,654.078,23.7616,0,2.57859,1.06917,
225,752.351,1095.31,1379.5,0.686883,22.4735,69.6351,2.79289,28.4902,22.4449,3.83078,69.6848,772.018,94.376,0,2.93756,6.62868,67.2616,344.788,11.4788,14.6963,36.5258,3.83721,345.06,499.198,222.784,0,1.27483,22.8569,4.36104,0.00346105,0.24771,7.48386,14.0248,2.85583,0.0172484,654.005,23.0752,0,2.57859,1.06917,
226,752.351,983.745,1138.59,0.764782,17.961,47.0029,3.25741,34.231,26.4204,3.81218,47.0327,729.927,64.6961,0,3.00776,6.39667,56.2425,293.383,14.1955,34.173,56.4325,3.49591,293.52,385.102,118.446,0,1.77938,21.4772,4.36104,0.00346105,0.24771,8.85427,14.0248,2.85583,0.0172484,654.08,23.8865,0,2.57859,1.06917,
227,752.351,961.983,1107.92,0.782084,11.6149,51.7155,4.36734,26.9305,18.2059,3.23515,51.8349,713.888,71.7919,0,3.10302,5.29552,40.0297,285.312,22.6493,7.90302,25.5813,2.50932,285.367,339.518,163.668,0,2.99959,22.273,4.30595,0.00346105,0.24771,7.20143,14.0248,0.636605,0.0173271,654.08,33.788,0,2.57859,1.06917,
228,752.312,1024.25,1270.43,0.734502,15.8652,65.6182,2.34647,27.6782,16.7929,3.47148,66.17,729.606,88.2339,0,3.0302,5.43452,50.7985,439.486,13.7381,7.09244,17.3457,3.45119,443.35,450.114,222.723,0,2.62676,20.0861,4.36104,0.00346105,0.24771,12.4359,14.0417,2.8565,0.0173271,654.08,25.7831,0,2.57859,1.07721,
229,752.312,1035.66,1155.88,0.726408,13.799,49.664,4.24056,28.1241,23.6666,3.70694,49.6806,755.702,99.8084,0,3.30632,3.96066,40.7548,268.348,22.3103,15.1641,44.9166,4.35471,268.444,551.132,252.169,0,3.72414,13.6456,4.36104,0.00346105,0.24771,1.93564,14.0447,2.8565,0.0173271,405.115,32.6427,0,2.57859,1.07721,
230,752.276,899.038,924.414,0.836756,13.554,34.4519,2.80268,28.7744,24.9474,3.31158,34.7763,698.772,51.0407,0,2.78544,3.82187,46.9109,322.049,14.0564,11.611,57.7776,2.92402,325.218,355.951,83.129,0,1.02101,17.2603,4.26208,0.00346105,0.24771,11.503,14.0339,2.8559,0.0173271,654.052,13.0528,0,2.57859,1.07721,
231,752.276,1184.91,1660.08,0.634883,22.9257,108.074,5.65601,28.6703,22.3821,3.90891,108.666,769.663,105.561,0,3.47366,5.92458,66.0152,504.97,22.6664,14.9168,39.4186,4.01395,522.076,499.943,254.406,0,3.94517,19.2485,4.25922,0.0035989,0.24771,7.13021,14.0447,2.8565,0.0173271,631.366,24.1044,0,2.57859,1.07721,
232,752.276,1163.4,1511.34,0.646621,20.8128,119.369,2.65796,27.1861,25.1539,3.54227,119.791,752.945,81.2896,0,3.10982,7.53778,61.1151,474.138,10.4389,7.54089,44.0512,2.97493,476.526,405.646,179.211,0,2.04744,27.5194,4.25922,0.0035989,0.247514,10.0563,14.0447,1.87009,0.0173271,654.043,22.9168,0,2.56519,1.07721,
233,752.26,1269.13,3150.8,0.592736,14.4932,53.9054,3.55831,311.198,21.5567,3.52169,54.2963,720.414,78.4701,0,2.8696,4.84788,47.7608,381.307,20.3141,2791.95,34.8474,3.22523,384.341,362.076,176.475,0,1.63201,23.264,4.25922,0.0035989,0.24771,9.6734,14.0447,2.8565,0.0173271,654.084,24.9583,0,2.56519,1.07721,
234,752.26,1060.84,1169.4,0.709117,17.265,60.3393,6.16109,30.8179,27.603,3.78667,60.5023,735.822,107.947,0,3.51025,7.08522,51.4536,314.735,25.4258,261.3,58.6301,3.49114,315.705,370.862,234.712,0,4.07149,26.7958,4.25922,0.0035989,0.248093,0.36913,12.939,2.8565,0.0173271,654.062,44.6077,0,2.56377,1.07721,
235,752.26,988.945,918.555,0.760669,14.7074,26.3219,3.5292,38.9815,26.2304,3.93105,26.3707,737.08,99.4247,0,2.97297,9.39549,37.5833,201.752,12.4442,65.598,51.1882,3.66404,202.186,380.037,204.765,0,1.45332,31.1648,4.25922,0.0035989,0.248093,9.34001,14.0549,2.85679,0.0173271,654.09,32.2752,0,2.55869,1.08772,
236,752.26,1022.11,1240.88,0.735985,18.1609,58.7057,2.93623,29.9354,27.1723,3.55754,59.1694,724.357,88.147,0,2.99282,6.97834,56.1879,375.521,13.269,27.383,56.4074,3.51067,378.59,397.501,214.893,0,1.86939,32.9631,4.26822,0.0035989,0.248093,11.4733,14.0555,2.85711,0.0173271,596.133,32.7054,0,2.56377,1.08772,
237,752.26,1155.84,1471.64,0.650834,17.5699,89.2588,5.93001,32.2028,23.2731,3.91939,89.7379,783.931,99.1926,0,3.46308,7.36086,50.6741,434.638,25.8987,50.6727,42.7595,4.23249,437.437,523.454,224.58,0,3.74321,33.0745,4.17513,0.0035989,0.248093,6.33823,14.0555,2.85711,0.0173271,654.09,44.6845,0,2.56377,1.08772,
238,752.244,1067.44,1420.24,0.704716,18.0945,93.1092,2.13638,31.4746,21.3965,3.52465,93.5668,730.568,66.0711,0,2.85929,4.64177,58.6982,465.382,9.47109,36.4395,35.3555,2.90318,468.028,366.149,128.128,0,1.28419,19.4071,4.17513,0.0035989,0.248093,8.48637,14.0555,2.85711,0.0173271,654.09,22.8751,0,2.56377,1.08772,
239,752.244,987.779,1101.2,0.761551,16.9877,62.3868,2.71422,31.9478,22.0516,3.27544,62.748,691.999,83.8823,0,2.99148,6.79442,52.6746,373.349,11.6281,32.0921,43.1629,1.99257,376.111,176.866,154.52,0,1.81886,26.8379,4.17513,0.0035989,0.248093,10.7729,14.0406,2.03539,0.0179476,654.059,44.5667,0,2.56377,1.06986,
240,752.232,1119.93,1548.6,0.671679,16.6266,92.3206,5.13923,26.985,26.3332,3.6877,92.4401,764.888,82.2846,0,3.04587,6.17676,54.3527,409.26,21.7336,6.71763,60.3117,3.60106,409.853,502.285,205.277,0,1.98652,26.9196,4.10809,0.0035989,0.248093,7.72636,14.0555,2.85711,0.0179476,653.976,34.9477,0,2.56377,1.08772,
241,752.232,1103.26,1417.9,0.681829,15.8603,79.1635,3.91258,32.5155,26.8088,3.75522,79.2713,758.44,94.545,0,2.95094,6.03389,46.1378,378.112,20.5066,56.1392,57.8451,3.83993,378.579,507.222,200.801,0,1.77197,28.4246,4.10809,0.0035989,0.250731,7.72289,14.0555,2.85711,0.0179476,496.361,44.7113,0,2.56377,1.08772,
242,752.232,1019.71,1205.98,0.737689,20.388,45.9541,3.11523,43.3559,20.9452,3.78433,46.0007,749.156,80.4512,0,3.02125,3.54253,64.1123,272.15,12.9351,119.137,37.2704,3.71113,272.454,430.81,158.901,0,1.80287,13.7989,4.10809,0.0035989,0.250731,9.15743,13.1504,2.85711,0.0179476,654.031,23.685,0,2.56377,1.0923,
243,752.232,979.492,1157.53,0.767982,15.1051,53.8038,4.38376,34.5064,20.2594,3.44501,54.2883,715.146,70.5965,0,3.08652,4.87118,50.3913,376.992,22.2023,62.5022,38.9529,3.29079,380.518,386.756,122.83,0,2.94212,25.0251,4.10809,0.0035989,0.251076,2.25225,14.0558,0.771428,0.0179476,654.031,44.645,0,2.55598,1.09298,
244,752.232,1260.46,1780.62,0.596793,20.697,110.78,5.7462,27.0096,26.3152,4.46981,110.976,855.148,88.5729,0,3.31677,7.42526,60.0483,449.026,24.1367,10.0661,56.0264,5.6231,449.701,734.511,204.766,0,3.25786,32.2584,4.17513,0.0035989,0.251076,7.77768,14.0558,2.85711,0.0179476,654.031,24.6623,0,2.55598,1.09298,
245,752.232,1222.79,1599.03,0.615179,21.5048,138.739,4.73717,26.717,24.5933,3.68352,139.242,765.164,87.1825,0,3.18939,8.03293,59.8403,533.252,19.1189,5.74876,48.3225,3.73139,535.749,501.502,156.752,0,2.91312,31.3864,4.17513,0.0035989,0.251076,2.89792,14.0558,1.46343,0.0179476,572.796,23.9142,0,1.59237,1.09298,
