Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,
98,690.599,912.523,984.703,0.756802,1.37478,2.94927,39.9782,4.33974,34.5027,9.38605,5.0549,40.2882,666.598,18.0261,90.0248,0,2.03854,3.30267,214.065,16.0378,15.7659,1.0063,13.4099,214.168,361.13,22.3632,222.764,0,0.630227,1.87073,0.119958,0.262851,8.57135,7.44348,1.2544,0.285553,591.091,7.21938,32.5079,0,
99,690.599,971.204,1081.58,0.711075,1.497,3.0141,58.8099,4.08154,33.3561,9.22428,7.10828,59.1507,690.292,18.7631,85.9074,0,2.27548,3.64522,251.674,16.9933,20.455,0.737699,21.9856,251.654,427.381,25.9462,196.879,0,0.623076,1.87741,0.119958,0.262851,8.63809,6.93816,1.2544,0.285553,591.966,7.21938,34.2505,0,
100,690.599,945.988,987.919,0.730029,1.48512,3.04457,30.0627,6.28048,38.8864,9.31101,8.89717,30.238,676.631,20.6527,120.499,0,2.41158,3.39793,161.469,20.1662,39.7779,0.848263,28.3049,161.485,374.057,30.8798,290.14,0,0.617306,1.83202,0.119958,0.270673,7.90982,7.59345,1.2544,0.285553,591.589,7.21938,26.9986,0,
101,690.599,924.569,1024.77,0.746942,1.62502,3.08561,41.8927,2.84373,32.0091,9.40566,9.01764,42.065,699.818,20.0211,62.7854,0,3.23038,4.31403,190.735,10.4149,8.93271,1.05714,29.5299,190.885,512.13,32.3498,152.948,0,0.640355,2.03618,0.119958,0.232051,9.29138,7.59345,1.25673,0.285553,592.033,7.21938,22.988,0,
102,690.599,884.349,745.754,0.780913,1.24263,2.82842,41.7891,5.57335,35.5488,9.57659,6.29208,42.1326,647.028,18.7851,73.5524,0,1.40836,2.7483,209.341,20.5975,20.4845,2.49253,18.1322,210.631,261.068,26.9259,175.653,0,0.630978,1.23347,0.119958,0.270673,5.07035,7.59345,1.25673,0.285553,424.808,7.21938,23.9939,0,
103,690.599,994.497,1159.96,0.69442,1.36068,3.3767,32.3716,6.01382,80.5347,9.30636,7.85239,32.5691,723.81,18.501,78.8009,0,2.10225,5.14162,174.467,21.4333,372.86,1.16842,28.641,175.612,595.186,26.7266,183.702,0,0.663562,2.02845,0.119958,0.270673,8.1421,7.2843,1.23657,0.281753,592.033,7.21938,26.0656,0,
104,690.599,942.299,1015.25,0.732888,1.38012,3.3288,25.2451,5.24959,33.1392,9.214,6.70985,25.3933,722.06,15.784,94.7949,0,2.11126,5.13229,146.165,18.057,48.4008,0.976045,20.784,146.23,601.898,17.138,239.079,0,0.671795,1.8541,0.119958,0.267857,7.89204,5.60904,1.23336,0.281753,592.033,7.21938,34.9776,0,
105,690.599,931.119,1006.46,0.741688,1.44653,2.78013,47.1663,5.66754,34.144,9.36657,7.26352,47.5863,646.813,18.6821,110.203,0,2.08392,2.76027,246.156,22.3412,13.7195,2.54628,22.4262,244.594,290.011,25.8254,272.769,0,0.600806,1.94367,0.119958,0.265478,7.38073,3.351,1.23336,0.281753,591.85,7.21938,36.9985,0,
106,690.599,1007.89,1148.72,0.685192,1.40718,3.45849,52.4031,5.19002,31.5176,9.67801,8.45834,52.6274,743.398,15.5935,84.1597,0,2.09409,5.04055,210.31,21.5118,6.98265,3.31787,29.128,209.655,593.375,17.1195,220.807,0,0.617707,1.99471,0.119958,0.22813,6.67595,7.59345,1.23336,0.281753,591.597,7.21938,29.2165,0,
107,690.599,839.529,659.889,0.822604,1.2559,2.42345,38.2061,3.08998,37.4236,9.20503,6.69394,38.634,605.995,15.4295,81.1724,0,1.82261,1.77903,228.794,12.4393,34.8906,1.0933,23.9358,231.112,163.849,17.1716,214.614,0,0.598133,0.707748,0.119958,0.263194,9.81391,4.09136,1.23336,0.281753,387.142,7.92651,32.792,0,
108,690.599,978.263,1113.74,0.705945,1.35548,3.12498,57.6545,3.30852,34.2258,9.25919,5.36087,58.0153,700.537,18.359,87.0625,0,2.38599,4.00077,252.891,16.1478,23.1901,2.32848,16.3869,250.968,452.688,26.1268,222.754,0,0.669947,1.76692,0.119958,0.263194,7.18079,3.15553,1.26093,0.281753,592.167,7.92651,23.9045,0,
109,690.169,871.182,834.918,0.792222,1.43129,2.66486,37.6445,3.26567,33.4092,9.1855,6.86553,37.8644,644.627,15.3807,78.8433,0,2.39816,2.9676,189.598,13.1529,15.7842,0.57821,21.9103,191.402,341.091,17.766,186.366,0,0.659572,2.01083,0.119958,0.263194,7.59987,7.4436,1.2449,0.281753,347.691,7.92651,33.3854,0,
110,690.169,899.649,839.621,0.767154,1.38797,2.88623,41.6641,3.5569,34.8811,9.04011,6.49601,42.0386,662.281,16.0097,79.4071,0,2.1809,3.16184,216.617,12.8753,17.9834,1.30889,19.9942,217.452,338.929,21.0238,186.574,0,0.669947,2.02771,0.119958,0.213513,8.74938,1.04658,1.2449,0.281753,592.167,7.73624,33.7044,0,
111,690.169,974.986,1098.91,0.707876,1.03834,3.07578,34.5643,3.60883,72.4661,9.30856,4.03203,34.753,697.95,15.0234,99.1656,0,0.781175,4.11184,165.127,15.2364,408.749,0.953337,12.5286,165.168,474.414,16.723,236.769,0,0.669947,2.05432,0.119958,0.263194,8.64109,8.43255,1.2449,0.281753,591.626,7.73624,37.1715,0,
112,690.169,946.117,1071.64,0.729476,1.376,3.01129,45.7108,2.13233,37.696,9.1374,6.94789,46.0983,683.833,16.8005,93.3737,0,2.49727,3.75168,225.584,6.14155,58.2661,0.784533,27.3879,225.279,430.309,24.8842,229.383,0,0.669947,2.05432,0.119958,0.263194,9.74096,3.72987,1.10729,0.281753,592.352,7.73624,28.4216,0,
113,690.169,920.662,944.968,0.749645,1.3402,2.97027,31.1698,3.93574,35.5382,9.28656,6.30871,31.3331,681.353,17.5773,99.8489,0,2.471,3.72343,151.387,16.641,27.5165,0.972571,20.3202,151.253,417.434,27.4771,237.16,0,0.669947,0.829057,0.106105,0.263194,7.23978,7.25716,1.24262,0.245722,592.352,7.73624,37.3127,0,
