Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
60,48.2668,88.4532,155.827,0.545677,39.9327,0.803006,3.05667,0.480573,0.560872,1.18161,0.450604,2.78305,0.149205,7.81619,29.5308,0.35909,1.34878,106.204,0.717365,10.4784,1.04105,0.472751,1.78904,0.0250305,9.91603,0.207041,36.6062,4.75705,0.462873,0.246079,12.1246,0.426703,0.0395495,0.00404699,0.216058,0.422889,0.384537,0.0151015,0.0111278,0.0698606,8.67944,0.175412,0.136493,
61,48.2668,114.852,220.816,0.420251,49.7836,1.92413,7.42736,0.644168,0.604573,1.49774,0.473326,7.54961,0.386754,12.7132,29.6813,0.419041,1.74746,137.437,5.57245,22.132,1.3177,0.417363,2.53655,0.113494,23.6526,0.922672,45.1257,3.48437,0.504561,1.19914,12.1721,0.411033,0.0395495,0.0399526,0.216058,0.422889,0.355029,0.0151015,0.0126448,0.122792,14.6698,0.175412,1.36442,
62,48.2668,77.078,140.725,0.626207,23.3734,1.64319,2.79201,0.374902,0.502926,0.965878,0.454371,3.62095,0.151943,10.6897,30.677,0.320023,1.51174,60.8646,5.09362,11.8872,0.511838,0.212322,1.63911,0.0438046,16.7579,0.380193,51.504,4.77292,0.233797,0.512887,12.3369,0.449275,0.0395495,0.0399526,0.290242,0.336734,0.429995,0.0140274,0.0126448,0.122792,5.23527,0.175412,1.37416,
63,48.0292,81.1767,145.698,0.591662,24.7258,1.99912,4.69294,0.454838,0.61848,0.837195,0.443897,7.39761,0.193344,8.18197,29.6531,0.437281,1.54123,48.5711,6.86926,19.1911,1.03879,0.479154,1.13915,0.036328,36.1387,0.382501,39.8047,4.69013,0.584397,0.563395,11.5285,0.449275,0.0500249,0.0185359,0.292596,0.341639,0.249259,0.0140274,0.0126448,0.0610261,10.0663,0.175412,1.36668,
64,48.0292,96.1284,191.08,0.499636,40.8899,2.33913,4.7108,0.404604,0.589324,1.29518,0.457565,7.33629,0.132276,6.50243,29.5997,0.365664,1.50552,112.644,7.32511,19.0606,0.783567,0.360519,2.79313,0.0662869,34.1309,0.250018,31.2342,4.65595,0.306489,0.607425,11.8454,0.424774,0.0500249,0.00982511,0.260103,0.341639,0.260554,0.0140274,0.0153283,0.0610261,6.82186,0.180902,1.27574,
65,48.0292,84.364,147.953,0.569309,24.2864,1.7848,6.29356,0.387613,0.58327,0.896957,0.4487,5.81835,0.179664,11.5803,29.9874,0.357854,1.7591,56.2127,5.2248,23.1736,0.918809,0.42302,1.50831,0.0308677,22.8902,0.433383,48.4029,3.61991,0.285582,1.42153,11.8454,0.481734,0.0500249,0.00381328,0.260103,0.404419,0.281946,0.0140274,0.0118332,0.0610261,11.4189,0.180902,1.36668,
66,48.0292,81.003,119.995,0.592931,26.9744,1.87968,3.3425,0.429322,0.632912,0.861666,0.438961,5.64905,0.146044,8.13426,30.5376,0.43503,1.54158,58.8324,5.13687,11.8934,0.967194,0.497475,1.18554,0.0649989,24.0889,0.244211,41.1889,9.4852,0.46084,0.533818,12.152,0.514061,0.0308319,0.00381328,0.173125,0.404419,0.0688416,0.0140274,0.0118332,0.0417867,3.61076,0.180902,1.37221,
67,47.9883,76.3316,119.343,0.628682,24.0187,1.75172,5.18671,0.301261,0.550376,0.687909,0.470314,5.71839,0.16225,4.33311,31.1784,0.39208,1.58031,55.1233,4.96017,19.4855,0.557262,0.405626,0.732831,0.121575,23.0611,0.416132,22.8693,6.62474,0.302842,0.589966,12.3516,0.514061,0.0174206,0.00381328,0.173125,0.272679,0.443613,0.0140274,0.0118332,0.0417867,16.8964,0.186373,1.37847,
68,47.8181,108.782,237.025,0.439579,45.6233,1.90645,3.50511,0.465663,1.57117,0.918911,0.49271,5.53506,0.200783,17.0478,29.5597,0.4328,1.52206,130.192,5.47569,12.1742,1.11069,7.25692,1.6331,0.191876,23.3881,0.53654,66.6407,4.18732,0.399904,0.706314,12.499,0.447469,0.0174206,0.0181005,0.173125,0.369928,0.446609,0.0151015,0.0118332,0.0417867,11.8519,0.25887,0.262641,
69,47.8181,68.8109,108.159,0.69492,27.5694,1.19879,0.496896,0.342526,0.575664,0.912809,0.462624,1.99424,0.168519,3.58182,29.5683,0.413569,1.52577,87.1333,2.44479,1.1191,0.973035,1.01249,1.83219,0.117071,8.40771,0.301618,20.8921,3.958,0.368284,0.315294,12.5659,0.514722,0.0174206,0.0181005,0.285836,0.369928,0.279264,0.0151015,0.0118332,0.0417867,11.1623,0.25887,1.39845,
