Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
50,54.5555,94.8348,199.594,0.575269,8.81246,6.22234,0.570699,35.0488,2.73569,14.5158,2.56225,9.93133,14.4354,8.35448,22.7519,1.79641,5.69972,14.4946,73.0367,1.27706,18.9431,72.8443,6.95522,1.93772,0.00724635,11.2841,0.398084,0.0333455,0.961117,6.13797,0.0152067,
51,54.5555,123.28,367.174,0.442534,9.63116,4.80448,0.352804,34.9068,2.27074,29.9384,2.55737,9.09342,29.7246,11.2344,18.3391,0.696309,5.25308,8.35803,169.995,0.714565,15.3407,167.547,6.95522,1.92574,0.0201895,4.84987,0.395385,0.0333455,2.35493,6.14176,0.0152067,
52,54.5046,160.084,516.523,0.340475,10.1475,9.44914,0.633938,34.8478,2.79727,45.4562,2.58812,9.18363,44.9804,13.6787,36.0095,2.11264,5.26155,14.3168,223.949,0.986193,14.6076,219.853,6.92458,1.92574,0.0201895,7.19527,0.395385,0.0333455,2.35493,6.14176,0.0152067,
53,54.2749,153.123,487.94,0.354454,9.67879,7.56642,0.454764,34.9243,3.27587,43.3746,2.51091,8.26221,43.0748,12.1925,28.4963,1.35038,4.85319,17.8589,213.654,0.714635,10.0637,212.214,6.9519,1.93772,0.000559965,7.08312,0.395825,0.0333455,1.90881,6.14176,0.0152067,
54,54.2749,142.456,611.921,0.380993,8.08391,3.98381,0.330522,36.3968,1.0158,42.6619,2.63755,6.85844,40.4877,6.59131,13.9225,1.04724,3.83276,4.24357,296.373,1.49366,4.64573,281.569,6.95522,1.93772,0.000559965,35.6687,0.395825,0.0333455,2.38316,6.14176,0.0152067,
55,54.2749,127.9,386.603,0.424354,9.8697,10.0477,0.622948,34.8713,3.67041,28.388,2.52752,9.77382,28.1288,13.3864,39.6895,2.14366,5.03264,20.9259,160.938,0.858786,17.7921,159.803,6.95347,1.93772,0.000559965,7.93951,0.395825,0.0333455,1.57366,6.14176,0.0152067,
56,54.2737,141.193,358.384,0.384393,10.5244,10.229,0.835381,51.3369,3.99532,25.6516,2.52006,10.986,25.1148,14.2448,31.4963,2.45361,110.218,15.6618,132.524,0.747539,18.2657,131.793,6.91807,1.93772,0.000559965,10.2883,0.237608,0.0333455,0.76971,6.18121,0.0152067,
57,54.2737,120.316,335.034,0.451091,9.61634,2.91616,0.654709,39.2549,2.30882,27.3977,2.58426,8.32968,27.254,12.7106,8.67453,2.39355,31.2517,12.4529,147.058,0.859903,11.7164,146.563,6.90614,1.95093,0.000559965,4.94123,0.395825,0.0333455,2.3876,6.18121,0.0152067,
58,54.2395,164.559,513.187,0.329606,11.0015,6.58514,0.461405,35.1708,5.84167,47.5065,2.70818,8.29862,46.9848,15.6714,21.9983,1.29722,5.74575,25.0237,242.68,1.3306,9.20221,236.592,6.9082,1.99799,0.000559965,13.8296,0.42628,0.0100958,2.38169,6.18121,0.00821718,
59,54.2395,266.087,831.775,0.203841,10.5857,7.05678,0.931365,37.038,2.49557,99.7964,2.59883,9.22423,96.3603,13.5366,18.2263,2.87923,15.8194,10.4206,401.931,0.819917,11.5266,377.976,6.90728,1.99799,0.000559965,1.55441,0.43949,0.0174244,1.12638,6.19793,0.00882029,
60,54.2373,187.786,617.368,0.288824,11.1037,5.11259,0.749207,38.8642,4.47323,58.2262,2.6661,9.13064,57.4605,16.2982,12.933,2.42397,30.6204,19.6889,288.575,1.36381,14.0308,283.961,6.9082,1.99172,0.000559965,5.41166,0.436543,0.0174244,0.82141,6.19567,0.00882029,
61,54.1509,178.208,545.631,0.303863,10.751,9.08365,0.667292,49.3752,0.8564,48.9397,2.82475,8.03158,47.6787,14.9387,30.5187,2.26142,97.638,4.02887,251.939,1.73683,8.54712,245.653,6.83222,1.99172,0.000559965,12.8977,0.436543,0.0174244,2.39358,6.20352,0.00882029,
62,54.1509,291.211,1100.04,0.185951,12.6901,8.68795,0.778762,183.301,6.70139,33.9504,2.79284,8.62847,33.6797,19.071,29.5687,2.13672,967.89,22.882,151.985,1.87385,10.0482,151.569,6.83222,1.99172,0.000559965,11.4092,0.431352,0.0174244,0.702084,6.20352,0.0114226,
63,54.1369,127.714,389.407,0.423891,8.85583,2.53692,0.439919,34.6438,4.16769,32.7337,2.6177,9.20418,32.5144,9.97571,5.88546,1.42378,147.3,21.0528,180.782,1.03867,16.5856,179.596,6.83222,1.99172,0.00740132,2.0281,0.431352,0.0174244,2.38883,6.19454,0.0114226,
