Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
29,128.108,395.318,775.523,0.324064,5.42049,19.9809,48.2238,108.65,104.694,108.349,1.16747,67.2795,103.4,348.485,24.8649,334.444,3.5033,0.425303,2.69294,1.29367,3.82824,0.470511,
30,128.108,411.399,704.493,0.311397,5.86182,36.6769,40.1563,114.033,101.882,112.789,1.76893,94.4982,81.0229,290.457,28.4516,287.817,3.60782,0.425303,2.69294,1.29367,4.4659,0.504575,
31,128.108,490.524,878.662,0.261166,5.3821,44.8911,32.677,155.497,103.184,148.892,1.81654,109.474,56.3305,390.429,24.6644,376.632,2.32718,0.549296,2.58052,1.29367,18.4616,0.504575,
32,128.108,400.782,714.486,0.319646,5.22843,23.9897,41.9732,111.764,106.612,111.215,1.22233,75.8614,83.8763,314.109,20.4009,308.407,2.42776,0.841569,1.26136,1.29367,18.5313,0.504575,
33,126.928,419.797,546.707,0.302357,5.6524,42.6649,54.131,109.836,101.278,106.234,1.74948,108.89,116.414,237.634,26.749,235.203,3.65842,0.889728,1.71017,1.29367,17.9315,0.504575,
34,126.928,536.734,927.619,0.236483,5.55274,48.3995,67.1264,154.799,107.175,153.681,1.56267,116.288,221.791,380.219,22.001,386.556,2.78517,0.889728,1.71017,1.29367,11.9363,0.504575,
35,126.928,286.114,478.128,0.443629,5.22377,13.3162,22.8391,68.7364,107.517,68.4816,1.00027,51.8081,60.502,224.405,19.2248,236.45,2.58368,0.407412,1.08687,1.29367,19.2426,0.504575,
36,126.928,592.849,1029.8,0.214099,5.50106,44.4338,54.3412,193.919,102.606,192.048,1.88015,104.636,110.763,453.224,25.5835,423.865,2.02,0.889728,1.08687,1.29367,10.7695,0.504575,
37,126.928,471.92,840.514,0.268962,5.44998,33.686,40.2953,143.206,107.552,141.73,0.902919,90.5755,97.5561,359.148,18.1115,354.894,3.71228,0.889728,1.08687,1.29367,26.5155,0.504575,
38,126.928,445.147,839.427,0.285138,5.56388,49.9706,51.8274,118.701,102.294,116.79,1.31584,118.156,121.996,353.547,29.3697,348.185,4.19011,1.50767,1.08687,1.29367,17.9074,0.426762,
