Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
1328,716.776,1250.01,2799.13,0.573418,159.785,56.0779,2.8681,0,4.80254,824.251,56.4757,102,43.7455,1256.7,280.838,4.36805,0,4.72759,1052.43,283.135,248.905,319.894,1.45156,0.0189087,1.82929,0,3.35064,662.971,0.0957705,46.4039,0.0363977,
1329,716.776,1047.14,1371.15,0.684505,23.2318,46.0716,2.76597,0,4.69956,769.951,46.2135,114.238,39.9737,148.915,215.835,4.59484,0,4.69115,503.45,216.001,296.736,217.392,1.45156,0.0189087,1.82929,0,2.57418,662.971,0.0957705,46.4039,0.0363977,
1330,716.776,1145.91,2767.56,0.625509,194.968,39.2399,2.66646,0,4.55757,747.027,39.4601,97.2644,20.7254,1768.91,208.659,4.31159,0,4.07251,503.333,210.644,264.793,185.276,1.45156,0.0189087,1.82929,0,3.21055,662.971,0.0914697,46.4039,0.0363977,
1331,716.774,999.48,1219.65,0.717147,41.5251,38.1633,2.62842,0,4.46282,750.71,38.3203,93.4343,30.2354,355.693,188.717,4.21311,0,3.74273,425.099,189.509,223.87,181.727,1.45156,0.0191205,0.180467,0,3.77747,662.971,0.0965096,46.4039,0.0363977,
1332,716.774,1163.55,3449.91,0.616026,279.452,16.1748,2.41425,0,4.44924,721.036,16.5193,101.857,21.6425,2902.76,113.041,3.10474,0,3.65879,306.811,114.961,270.894,149.447,1.45156,0.0191205,1.82929,0,3.40033,662.971,0.0943696,46.4039,0.0363977,
1333,716.774,1052.38,1605.65,0.681095,78.3777,28.6092,2.75231,0,4.33482,758.228,29.869,114.735,35.4785,594.922,177.181,4.77806,0,3.67232,498.213,180.885,314.58,204.926,1.45156,0.0189831,1.82929,0,2.97477,615.941,0.0943696,46.4039,0.0363977,
1334,716.774,1122.65,1856.88,0.638466,108.571,51.2726,2.52941,0,4.53417,753.539,51.705,96.1998,54.2986,817.111,246.241,3.22894,0,4.0795,402.044,248.05,222.03,242.409,1.45156,0.0189831,1.82929,0,3.77747,662.971,0.0943696,46.4039,0.0363977,
1335,716.774,1073,1482.46,0.668007,26.6472,64.4225,2.83902,0,4.66944,766.354,64.6248,106.131,37.3162,154.98,279.944,4.37698,0,4.49043,467.845,280.492,253.214,224.223,1.45156,0.0189831,1.82929,0,3.77747,662.971,0.0943696,46.4039,0.0363977,
1336,716.774,1142.07,2194.27,0.627611,173.85,37.7923,2.63847,0,4.28655,743.199,37.8766,118.821,23.6032,1483.75,194.059,4.01607,0,3.20044,394.607,194.055,304.317,138.685,1.45156,0.0189831,1.82931,0,3.19176,662.971,0.0943696,46.4039,0.0363977,
1337,716.774,1054.92,1850.36,0.679459,104.538,46.6019,2.40416,0,4.63801,722.387,46.8085,92.5681,34.9722,1118.45,222.45,3.3328,0,4.43011,347.838,221.482,235.553,188.655,1.44658,0.0189831,1.70231,0,3.77747,662.971,0.0943696,46.4039,0.0363977,
