Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,
12,84.051,177.012,89.8788,0.474832,27.1494,22.6406,3.29916,22.3748,14.5757,30.4702,30.4221,3.68029,22.3999,12.9818,22.6931,2.3006,4.74742,7.41514,43.8694,43.2519,1.99837,10.3415,7.21368,2.20862,0.0458351,13.8634,0.72139,0.99577,0.318521,0.883873,3.48463,
13,84.051,299.873,550.78,0.280289,30.057,21.6304,3.81866,23.1316,15.4178,90.0567,89.251,3.89702,22.6127,16.9523,24.22,2.75511,9.48657,8.65455,271.984,267.704,1.96376,8.28096,6.07699,1.64735,0.0458351,10.5282,0.328456,0.99577,0.318521,0.883873,3.48463,
14,84.051,238.904,334.57,0.35182,27.7644,25.0258,3.56174,36.1043,17.1618,51.6302,51.4586,3.82641,22.3703,15.2096,30.143,2.34191,100.312,9.47595,143.547,147.919,2.30933,7.26966,3.17707,2.20862,0.0458351,10.9928,0.72139,0.99577,0.318521,0.883873,3.48463,
15,84.051,203.249,306.803,0.413537,29.2934,21.9975,3.14194,21.6061,14.588,42.9212,42.7326,3.99334,22.9748,14.5789,22.9147,2.36078,15.003,7.28042,141.897,140.141,1.94564,6.99775,6.07699,2.16153,0.0458351,10.5565,0.371738,0.99577,0.318521,0.971285,3.48463,
16,84.051,281.943,372.548,0.298114,27.2724,27.5025,3.5406,21.9821,15.3017,79.5503,79.4494,3.89521,23.4486,14.4113,37.9509,2.21302,5.01928,9.87948,161.498,167.094,2.31182,10.9575,6.07699,2.20862,0.0458351,11.5935,0.72139,0.99577,0.318521,0.635142,3.48463,
17,84.051,277.961,556.205,0.302384,23.4944,17.6314,3.01309,21.4247,14.3723,85.5466,84.7605,4.21076,23.5072,14.0356,18.1541,1.86162,4.56548,7.90835,268.753,265.47,2.01277,8.11779,6.07699,1.32045,0.0458351,9.04557,0.45869,0.99577,0.318521,0.971285,3.48463,
18,84.051,196.881,130.155,0.426913,21.5974,14.8214,2.99344,22.3118,13.2794,48.0342,48.0348,4.29277,21.5157,13.7135,10.0718,1.77143,4.51649,7.71172,67.6401,76.5376,1.80252,6.97568,1.71775,2.20862,0.0458351,16.4794,0.72139,0.99577,0.318521,0.971285,3.48463,
19,84.051,249.352,219.947,0.337077,22.4334,16.2365,2.58449,23.2519,16.5773,72.1474,72.1728,3.94088,20.0076,12.4247,11.3182,1.81272,5.16943,9.24573,103.815,111.468,1.74989,7.83876,3.51883,2.20862,0.0458351,16.4794,0.676724,0.99577,0.318521,0.818127,3.13055,
20,84.051,223.819,346.095,0.375531,25.2169,16.717,3.18323,21.8541,16.4964,57.4784,57.3132,4.06933,21.4902,13.9565,13.7211,1.85353,5.06038,9.40248,167.039,165.917,1.79573,7.1662,5.695,1.88072,0.0458351,5.62506,0.72139,0.99577,0.318521,0.971285,3.48463,
21,82.3883,198.354,364.717,0.415361,22.5845,15.3407,3.56594,22.6852,13.6288,46.1492,45.8785,4.59423,23.9267,13.7673,12.265,2.07339,13.7247,8.18637,181.965,179.332,1.92174,7.01522,3.80245,2.20862,0.0458351,6.70823,0.72139,0.99577,0.318521,0.916414,3.48463,
22,82.3883,182.503,136.16,0.451436,18.5885,13.2723,2.89073,21.9999,15.5761,41.9052,41.8982,4.23442,22.1373,10.1045,10.8481,1.80665,4.6628,9.51239,67.7408,67.9171,1.67444,6.92165,3.80245,2.20862,0.0458351,17.8381,0.72139,0.99577,0.318521,0.971285,3.48463,
