Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,
91,737.849,1456.31,4744.8,0.506656,15.0765,0,43.2205,23.517,3.27441,772.044,44.0544,114.529,440.595,17.1765,0,188.025,87.077,1.77451,459.69,192.295,303.049,4063.55,9.50084,0,0.23172,0.216939,0.425047,658.595,0.568681,39.2937,1.80069,
92,737.849,1234.32,1484.41,0.597775,15.5436,0,74.6364,59.0253,3.52972,801.787,77.3681,150.834,51.6005,18.1877,0,264.629,206.257,2.19028,524.18,273.044,350.602,354.896,5.97694,0,0.23172,1.41712,0.425047,658.595,0.568681,39.5078,1.80069,
93,737.248,8091.33,65319.9,0.0911159,15.3542,0,72.1446,63.5871,3.28798,784.159,71.4928,149.764,6931.54,17.3606,0,235.595,204.525,1.55091,471.125,233.286,363.331,64712.7,9.50084,0,0.23172,1.09362,0.425047,658.595,0.568681,41.0854,1.80069,
94,737.248,2631.72,12417.4,0.28014,17.6824,0,68.0235,40.0098,3.35463,842.188,68.559,144.45,1447.45,23.9274,0,236.634,138.964,1.75143,632.825,236.865,337.011,13210,9.50084,0,0.23172,1.41712,0.425047,658.595,0.568681,39.6777,1.80069,
95,737.248,1243.06,1441.32,0.59309,17.187,0,74.4312,38.4048,3.22564,834.024,74.9862,153.156,47.6484,21.6084,0,242.497,115.701,1.40344,573.524,241.397,345.936,1203.71,9.00877,0,0.247659,1.41712,0.203268,658.446,0.276856,39.6777,1.80069,
96,726.764,1341.86,1785.38,0.54161,17.8358,0,89.7564,64.2961,3.36795,838.987,92.0141,177.481,58.1191,26.2435,0,295.612,229.534,1.72117,593.843,303.083,413.692,181.027,4.47884,0,0.247659,1.41712,0.710025,658.446,0.276856,39.6777,1.80069,
97,726.764,1082.67,1920.11,0.67127,13.6197,0,22.8803,20.0822,3.17283,747.056,24.5764,90.8468,160.436,16.8511,0,135.693,86.3085,2.16052,469.281,141.401,245.238,1304.44,2.63834,0,0.247659,1.36694,1.07146,658.446,0.276856,39.5738,1.80069,
98,726.764,1499.72,2750.57,0.484601,19.0197,0,55.3248,36.8358,3.34928,895.57,55.8359,178.825,254.955,27.253,0,212.467,101.758,2.16664,746.038,212.191,420.205,1664.05,9.34225,0,0.247659,1.41712,1.07146,658.446,0.276856,39.5738,1.80069,
99,726.764,1257.04,2060.98,0.578154,14.3068,0,60.221,49.3339,3.25455,768.019,61.3153,127.099,173.494,16.4159,0,223.396,214.481,2.15335,482.507,224.932,325.948,1119.01,9.34225,0,0.247659,1.41712,0.716669,658.446,0.276856,39.5738,1.80069,
100,726.764,1747.66,4689.6,0.415851,15.9096,0,58.6292,40.0442,3.25625,808.416,59.1522,135.909,626.339,21.1249,0,204.9,142.745,2.04335,575.637,205.121,326.128,3776.16,9.34225,0,0.247659,1.41712,1.07146,658.446,0.276856,39.5738,1.80069,
101,726.764,1240.02,1543,0.586088,15.0237,0,68.247,44.9483,3.54067,794.726,69.5872,175.507,68.4448,16.833,0,254.235,153.969,2.69936,472.642,258.409,411.295,591.617,9.34225,0,0.247659,1.41712,1.07146,658.446,0.276856,39.5738,1.80069,
102,726.764,1691.64,3456.18,0.429621,17.0856,0,66.1175,52.0372,3.33752,850.747,67.2912,183.414,451.609,22.5451,0,215.697,166.917,2.66797,619.758,217.997,408.526,2421.73,3.80952,0,0.247659,1.41712,0.350585,658.446,0.276856,37.8271,1.80069,
103,726.764,138968,1.3684e+06,0.00522972,13.0016,0,50.2735,53.296,3.03138,742.523,52.0575,141.039,137913,13.5754,0,197.102,210.506,2.08774,399.418,198.82,371.681,1.3636e+06,9.34225,0,0.247659,1.41712,0.350585,658.446,0.276856,41.1814,1.80069,
104,726.764,1048.55,1120.57,0.69311,14.2708,0,44.4895,18.3044,2.94225,761.303,45.0126,99.2295,63.0025,16.5465,0,183.025,72.5284,2.02415,434.515,183.169,222.664,117016,9.48792,0,0.247659,0.962023,0.350585,658.595,0.276856,41.9944,1.80069,
105,726.764,1196.91,1535.56,0.6072,14.32,0,71.136,58.1999,3.26,803.993,75.7232,122.961,47.3189,16.896,0,248.822,253.806,2.47992,577.803,264.391,284.566,151.428,9.48792,0,0.247659,1.15264,0.615152,658.595,0.276856,41.7944,1.80069,
106,726.764,2083.11,6804.69,0.348884,18.3715,0,56.8857,54.9902,3.18602,890.654,58.3072,158.268,842.451,25.8941,0,175.644,163.525,2.00893,716.596,181.479,343.427,6161.86,9.28774,0,0.596711,1.15264,1.14488,658.337,1.1142,41.7944,1.80069,
107,726.764,1968.25,4916.32,0.369243,17.386,0,102.765,67.5279,3.29825,855.527,103.679,184.543,633.528,20.7727,0,292.583,210.836,2.49519,560.173,293.461,421.272,3927.36,9.2635,0,0.596711,1.15264,0.589726,658.337,1.1142,41.7944,1.80069,
108,726.764,1466.81,2739.87,0.495474,15.283,0,82.7401,72.2473,3.28387,818.754,83.7986,121.692,269.008,19.7816,0,243.177,225.863,2.48083,558.216,244.738,308.708,1864.68,6.03824,0,0.558178,1.15264,0.771323,658.337,0.52321,41.7944,2.02114,
109,726.764,1426.53,2573.62,0.509464,16.3423,0,53.95,60.6136,3.00004,845.551,55.8268,144.572,246.672,21.1275,0,193.066,210.343,1.92648,615.562,199.287,315.615,1566.93,9.2635,0,0.596711,1.15264,0.771323,658.337,1.24417,39.9721,2.02114,
110,726.764,2097.25,8588.37,0.346532,14.3799,0,51.7762,54.7231,2.84803,789.003,55.0527,114.043,1015.42,19.8123,0,222.477,254.666,1.44292,624.74,230.038,288.622,7736.82,9.2635,0,0.596711,1.15264,0.225026,658.337,1.24417,39.9721,2.02114,
111,726.764,2273.4,12748.2,0.319681,14.4148,0,50.3641,26.579,2.79026,767.535,51.0266,104.742,1255.95,18.6104,0,223.857,124.422,1.02381,499.032,224.509,263.25,12064.6,9.2635,0,0.596711,1.41712,0.771323,658.337,1.24417,39.9721,2.02114,
112,726.764,1321.73,2153.17,0.549859,14.9005,0,83.5227,66.6583,3.08808,835.098,86.7075,139.897,91.8548,19.1758,0,310.258,279.554,1.88085,670.679,323.089,370.148,1064.36,9.2635,0,0.596711,1.41712,0.771323,658.337,1.24417,27.6542,2.00249,
113,726.764,1524.04,2582.05,0.476867,16.8909,0,98.5607,64.3934,3.31649,852.864,100.437,169.997,217.579,20.0408,0,292.522,247.052,2.70635,552.906,295.912,376.89,1492.42,9.2635,0,0.596711,1.41712,0.771323,658.595,1.24417,41.7944,1.96654,
114,726.764,2285.81,11215.8,0.317946,16.1512,0,50.1455,50.2245,2.90648,831.487,51.0249,129.425,1154.45,22.465,0,206.134,167.807,1.05586,625.369,212.281,274.257,10848.1,9.2635,0,0.480615,1.4277,0.771323,658.595,1.18125,41.7944,1.96654,
115,726.764,1175.55,1475.29,0.618232,15.91,0,55.3112,45.502,2.93153,830.307,57.1415,129.584,38.8658,21.8251,0,199.913,174.496,1.73767,624.612,205.484,306.438,920.106,9.2635,0,0.480615,1.06493,0.617832,658.595,1.18125,41.7944,1.96654,
116,726.764,1358.39,1867,0.535018,16.8066,0,93.4779,68.4372,3.11009,858.406,94.999,159.3,63.8546,21.8071,0,319.707,263.494,1.9764,626.885,316.411,365.615,185.161,9.2635,0,0.480615,1.06493,0.771323,658.595,1.18125,41.7944,1.96654,
117,726.764,1489.46,3708.01,0.487939,16.2447,0,59.7258,40.3991,3.06572,840.771,61.2796,168.217,299.753,21.8875,0,222.144,207.666,1.79244,615.895,229.909,410.822,2759.25,9.2635,0,0.480615,1.01658,0.771323,658.595,1.18125,40.4409,1.96654,
118,726.764,1115.42,1424.15,0.651558,12.8769,0,55.8187,30.4459,3.02373,729.587,56.703,139.084,87.8846,12.0224,0,228.634,115.858,1.66127,299.783,229.359,341.803,517.394,9.2635,0,0.480615,1.06493,0.771323,658.595,1.18125,41.7944,1.96654,
119,726.764,1160.11,1318.29,0.626459,14.844,0,62.9704,32.483,3.03756,787.731,64.4765,109.543,85.0294,17.1886,0,228.132,121.525,2.27239,457.262,226.948,213.956,310.1,9.2635,0,0.480615,1.06493,0.614352,658.595,1.18125,41.7944,1.96654,
120,726.764,1860.97,5563.81,0.390529,17.4607,0,47.0392,32.739,2.96623,824.566,48.8815,146.922,740.399,30.9862,0,197.678,167.574,1.75966,638.882,204.598,364.867,5002.33,9.2635,0,0.236167,1.06493,0.762065,658.595,0.549118,41.7944,1.96654,
121,726.764,1493.6,2364.36,0.486586,16.7679,0,59.3611,60.4751,3.03652,851.299,60.1494,172.38,270.129,21.6,0,199.413,212.938,1.56877,596.025,196.61,371.225,1611.73,9.13588,0,0.480615,1.06493,0.762065,658.595,1.17614,26.6491,1.96654,
122,726.764,1314.75,2533.34,0.552776,14.531,0,60.2743,44.1819,3.29826,783.331,62.6899,108.983,237.464,16.2534,0,211.052,201.721,3.09629,459.528,215.93,257.382,1921.47,9.48747,0,0.480615,0.532006,0.762065,658.595,1.18125,41.7944,1.96654,
123,726.764,1167.94,1315.04,0.62226,15.4221,0,57.8565,40.5998,2.99506,807.856,59.0114,139.157,45.0444,19.8414,0,200.336,145.99,2.07192,547.531,200.432,309.849,228.066,5.68342,0,0.480615,0.532006,0.713288,657.702,1.18125,41.7944,1.96654,
124,726.764,1190.59,1647.16,0.610425,14.8685,0,60.5876,55.9896,3.05947,795.667,61.7154,137.28,61.4188,19.7527,0,256.717,213.497,2.17794,544.166,258.425,339.705,223.227,9.50084,0,0.480615,0.532006,0.762065,658.595,1.18125,41.7944,1.9322,
125,726.648,995.029,1082.14,0.730279,12.9351,0,37.8107,33.5391,2.76535,743.03,38.8182,90.7317,35.3985,14.5173,0,205.248,154.331,1.23913,401.904,207.839,190.3,163.269,9.42228,0,0.480615,0.532006,0.762065,658.595,1.18125,41.7944,1.9322,
126,726.359,1567.73,2959.94,0.463318,16.9547,0,89.0367,71.2624,2.9172,865.354,90.2142,161.009,270.986,20.9418,0,277.107,230.208,1.45746,564.429,269.854,355.021,1985.51,9.42228,0,0.480615,0.532006,0.688092,658.595,1.18125,30.7683,1.9322,
127,726.359,1114.83,1378.76,0.651542,14.3006,0,53.5484,29.0603,2.89515,777.127,54.6181,153.441,29.8406,17.038,0,228.529,120.832,1.73916,479.759,230.634,378.647,240.793,9.42228,0,0.480615,0.532006,0.388964,658.636,0.952853,41.7944,1.9322,
128,726.359,1493.38,2197.36,0.486386,17.0899,0,95.0323,140.263,3.30575,891.379,109.216,165.058,72.0365,21.5961,0,311.663,912.06,2.91831,682.16,340.487,326.129,196.99,5.97708,0,0.480615,0.532006,0.345454,658.247,1.18125,41.7944,1.9322,
129,726.187,1175.76,1517.37,0.617634,14.6336,0,70.6609,46.2435,2.88936,788.766,71.654,136.921,43.9868,18.4642,0,258.669,194.909,1.86234,536.779,263.061,343.214,159.023,9.4035,0,0.438164,0.532006,0.573261,658.709,1.07536,41.3364,1.9322,
