Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
175,1275.27,2223.29,2106.73,0.573596,129.097,0,240.429,7.56955,71.6676,1531.58,104.11,126.146,12.6846,309.235,0,566.41,2.24745,231.169,825.541,202.133,308.821,25.0708,1.63198,0,9.89513,1.57453,6.05589,1211.84,25.031,0.551881,2.85503,
176,1275.24,2701.06,2822.01,0.472126,168.556,0,502.264,7.46127,131.437,1603.16,106.412,166.953,14.819,360.606,0,952.311,1.86269,295.605,894.53,190.598,360.099,26.9111,1.63198,0,9.89513,0.963378,8.95019,1211.84,25.2237,0.551881,2.85597,
177,1275.24,2522.48,2856.73,0.50555,160.954,0,359.735,7.52387,137.307,1599.07,84.6974,158.723,14.4737,403.625,0,850.156,1.86989,312.271,937.44,158.529,400.753,27.19,1.63533,0,9.90658,0.680792,12.2791,1211.82,25.2237,0.552567,2.85597,
178,1275,2555.86,2571.05,0.498855,166.98,0,368.294,7.60219,155.927,1567.36,111.475,165.042,13.1774,402.385,0,775.917,1.78239,333.94,862.158,194.588,400.7,25.261,1.63533,0,9.85722,0.683039,8.22418,1211.84,25.2237,0.552567,2.85597,
179,1275,2147.3,2315.1,0.593771,96.9841,0,298.714,7.52067,80.9879,1489.17,69.0633,94.245,10.6101,300.233,0,790.074,1.72073,242.908,789.782,127.263,294.791,23.0067,1.63533,0,9.85722,0.434742,12.1058,1211.84,25.2434,0.552567,2.85597,
180,1274.98,1936.76,2031.69,0.658305,56.2454,0,212.05,7.76438,62.2362,1476.31,56.7486,55.0755,10.3288,217.103,0,711.051,1.32963,246.373,886.052,115.008,212.893,25.1197,1.64579,0,9.85722,2.38621,3.10472,1211.84,26.0349,0.528788,2.85649,
181,1274.84,2233.85,2476.64,0.570694,132.614,0,251.139,7.71791,107.308,1519.08,75.6348,128.724,11.6339,378.006,0,643.837,1.50893,286.097,796.226,172.431,369.664,22.1439,1.63524,0,9.85722,0.763351,12.2791,1211.81,25.9335,0.517057,2.8543,
182,1274.84,2603.44,2943.56,0.489677,130.548,0,372.279,7.50368,113.966,1732.85,100.1,128.693,17.499,306.588,0,880.591,1.96664,328.598,1152,197.615,305.216,34.3439,1.63524,0,9.85722,0.321912,4.08075,1211.84,26.1255,0.517057,2.85653,
183,1274.84,2927.08,3087.96,0.435534,145.075,0,568.601,7.16854,159.532,1794.37,91.96,141.254,19.1202,334.082,0,1121.77,2.2879,353.901,1210.71,153.968,328.386,33.5947,1.63524,0,9.85722,0.46769,5.64967,1211.86,26.2401,0.517057,2.85723,
184,1274.84,2926.34,2944.65,0.435645,234.053,0,591.309,7.33228,130.781,1580.75,135.928,231.444,14.7423,477.686,0,1138.73,2.16249,275.138,867.345,225.633,472.992,24.689,1.63035,0,9.85722,0.576748,3.30342,1211.86,26.4793,0.506487,2.85723,
