Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
139,190.504,501.532,1689.78,0.379845,53.9364,62.4843,10.7344,34.2625,3.74005,24.5149,6.14578,34.8218,37.5346,0,80.3321,3.30083,6.51914,62.8455,80.3595,39.3185,340.385,12.7288,4.33569,1.19163,60.7081,2.97397,196.305,243.563,0,279.465,1.21493,11.9962,331.606,275.211,36.663,0.624576,3.8361,9.51986,0.707325,13.1388,5.35208,0.341845,0.481128,0,29.3157,0.0103468,1.21859,1.25784,31.0818,
140,190.504,420.006,1395.76,0.453575,50.164,68.3176,10.0101,37.4565,3.79027,17.7412,5.69015,21.9118,30.8261,0,48.9281,3.35867,6.58774,69.1615,46.0621,27.6353,450.603,9.66109,29.6088,1.45386,33.5089,1.06786,92.4968,180.09,0,121.046,1.51037,15.5534,453.334,92.1282,36.663,0.624576,3.8361,9.39737,0.707325,13.1388,1.40813,0.341845,0.481128,0,29.4676,0.0103468,1.48774,1.25784,31.0435,
141,190.504,418.379,1162.95,0.455338,49.6617,56.8138,16.4824,34.552,4.13788,21.5385,6.16661,18.2306,14.8162,0,44.5046,3.71081,10.5992,57.6081,79.5571,31.2362,363.115,42.7214,5.53881,2.06432,39.0959,2.69579,64.5715,48.5538,0,69.6567,2.04501,35.0049,366.426,242.439,36.663,0.624576,3.8361,6.78949,0.707325,13.1388,5.35208,0.341845,0.481128,0,29.4676,0.0103468,1.48774,1.25784,31.0435,
142,183.639,284.243,594.582,0.646066,46.972,3.5021,12.4629,67.7602,3.96032,14.4062,5.95328,6.42192,7.4779,0,48.1094,3.54229,5.44007,3.89329,54.3407,21.5336,53.4083,34.1959,328.567,1.39304,7.60367,2.23564,14.3204,12.9458,0,113.215,1.50769,14.2339,53.7897,186.623,21.4642,0.597319,3.8361,13.6319,0.707325,13.1388,5.45166,0.341845,0.481128,0,29.4676,0.0103468,1.17886,1.25784,31.0435,
143,183.639,478.524,2489.97,0.383762,48.5202,32.2574,10.5615,34.7017,3.98925,14.8077,5.8961,69.3556,105.205,0,55.5355,3.57554,4.71084,32.8818,56.5267,31.8396,292.718,21.4487,33.2151,1.18714,4.93408,2.38722,627.251,972.12,0,200.327,1.29151,4.77539,292.277,204.39,36.663,0.597319,3.57702,11.5842,0.707325,13.1388,4.76317,0.693394,0.481128,0,29.4676,0.0103468,1.17886,1.25784,31.0435,
144,183.639,286.408,873.642,0.641181,44.1915,34.6851,9.23342,35.0069,3.82933,14.4572,5.68405,7.93715,8.58396,0,42.6898,3.40579,3.93416,35.4224,37.3473,6.21202,321.022,15.528,2.0764,1.09688,1.7646,0.139515,67.8742,98.3782,0,100.506,1.17173,2.15404,323.761,61.5791,36.663,0.483793,3.57702,14.7025,0.707325,13.1388,5.45166,0.693394,0.481128,0,30.7659,0.0103468,1.17886,1.1423,31.0861,
145,183.639,332.509,948.479,0.552284,47.4908,42.5674,9.09526,34.6578,3.87162,15.178,5.7528,16.0357,20.9101,0,40.3542,3.44839,5.07244,43.1163,44.9582,31.5869,281.914,13.3849,4.25762,1.10755,5.18525,1.01966,89.7429,117.374,0,54.3335,1.17025,13.6989,282.595,119.554,36.2709,0.483793,3.57702,0.281908,0.707325,13.185,1.98129,0.693394,0.481128,0,30.8059,0.0103468,1.14859,1.1423,31.0861,
146,183.639,425.845,1382.13,0.431235,47.4502,71.5217,10.0822,34.5215,4.00909,17.0756,5.90576,10.2492,15.634,0,67.7925,3.59697,4.6759,72.4649,60.8655,30.605,453.763,17.8379,4.26182,1.34707,26.0467,2.09116,33.4547,55.2239,0,221.528,1.45069,6.45503,453.339,195.53,36.2709,0.483793,3.57702,9.67647,0.707325,13.185,4.07913,0.693394,0.481128,0,31.133,0.0103468,1.14859,1.1423,31.0703,
147,183.639,260.68,550.659,0.704462,43.7222,9.92492,10.2426,35.1232,4.21809,14.4706,5.95061,11.1124,13.6487,0,41.3428,3.81166,4.98292,10.401,51.7286,11.1066,97.7613,24.2356,2.84198,2.77969,3.58519,2.2386,44.6545,63.1415,0,67.4251,2.89708,10.252,96.3907,188.142,36.0305,0.483793,3.57702,10.1077,1.41294,13.185,5.57771,0.693394,0.481128,0,31.2709,0.904127,1.14859,1.1423,31.0608,
148,183.639,305.294,810.014,0.601516,45.8978,23.1122,8.81239,34.7481,3.93163,16.7289,6.06428,17.0562,9.87011,0,42.3433,3.51193,4.41385,23.6017,65.2015,25.9705,203.839,11.401,3.55335,0.985067,22.2729,2.63926,89.9544,30.1456,0,71.0667,1.05929,6.7944,204.035,237.909,36.0305,0.496462,3.57702,8.03128,1.41294,13.185,5.53121,0.693394,0.481128,0,31.2709,0.904127,1.14859,1.15408,31.0861,
149,183.639,367.915,1245.48,0.499135,49.2389,4.59967,10.5579,37.996,4.2681,18.5631,6.23172,38.7369,53.6004,0,60.8135,3.87143,6.73285,5.07282,67.6315,42.5298,24.3442,27.4879,27.9202,2.76055,32.0185,3.39714,335.123,476.195,0,202.101,2.87506,19.4278,24.0065,246.985,35.3136,0.496462,3.80245,10.5122,1.41294,13.185,5.52986,0.693394,0.512431,0,31.2709,0.904127,1.14859,1.15408,31.0642,
150,183.534,588.513,1992.14,0.311861,127.668,64.3672,9.9248,35.3599,4.18626,21.669,6.1428,55.1134,42.3795,0,62.7381,3.77791,9.48062,65.0487,80.6574,804.464,371.031,19.9191,11.4612,1.52112,37.1544,2.707,277.552,221.02,0,147.562,1.6331,25.9516,363.939,251.868,36.0305,0.496462,4.55665,10.942,2.76524,13.185,1.00188,0.693394,0.46361,0,31.2709,2.33557,1.17886,1.15408,31.075,
