Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.motion_ratio_heave_l.best,
81,989.554,1454.73,1805.89,0.68023,23.173,0,68.1477,55.9722,3.00831,969.719,143.211,69.3934,122.109,12.6194,0,229.593,219.573,2.60053,587.607,246.549,239.114,501.928,5.316,0,0.610586,0.693994,0.00813906,823.974,25.2804,1.50814,5.9382,
82,989.554,1505.84,1939.01,0.657143,24.1783,0,66.6281,46.2744,3.03514,986.726,147.432,66.9847,164.583,12.9327,0,214.822,146.746,2.78728,483.467,260.952,216.244,1122.51,11.6239,0,0.610586,0.693994,0.00813906,865.007,25.2804,1.43293,5.9382,
83,989.554,1478.49,1844.2,0.669302,23.8554,0,57.206,44.0533,2.89509,987.472,134.934,58.2085,169.861,13.0949,0,193.128,154.504,2.40661,556.162,225.971,200.365,1044.63,11.6239,0,0.610586,0.693994,0.00813906,865.007,25.2804,1.50814,5.9382,
84,989.554,1582.13,2664.69,0.625457,23.8305,0,56.2894,62.8334,3.01121,1006.54,145.121,57.6725,226.831,14.8873,0,168.093,210.068,2.81525,587.068,250.031,176.183,2032.48,11.6239,0,0.610586,0.693994,0.00813906,865.007,25.2804,1.50814,3.564,
85,989.554,1614.26,2451.31,0.613007,24.7719,0,58.9314,59.9586,2.94378,1118.16,136.998,61.5452,150.951,16.6274,0,197.353,252.558,2.86549,1454.61,229.124,215.686,873.425,11.6239,0,0.610586,0.431993,0.00813906,865.007,25.2804,1.50814,3.564,
86,989.554,1353.7,1013.17,0.731001,23.6667,0,56.9312,38.1124,2.95141,960.936,131.836,57.8048,81.4578,12.4648,0,162.425,112.971,2.90729,447.216,221.129,165.347,160.046,3.85044,0,0.610586,0.431993,0.00813906,817.499,25.2804,1.50814,3.564,
87,989.554,1410.67,1448.42,0.701477,24.4497,0,41.1481,37.7457,3.09371,988.184,144.189,41.5128,130.348,16.5083,0,97.2726,86.9902,3.02904,582.399,269.352,99.7807,731.406,8.77089,0,0.610586,0.431993,0.00813906,812.921,25.2804,1.50814,3.564,
88,989.554,1396.95,1548.84,0.708369,24.413,0,44.5157,40.9559,2.94485,989.877,143.411,44.936,105.893,16.6581,0,143.898,145.888,2.6012,616.282,286.224,146.011,448.783,7.33515,0,0.610586,0.431993,0.00813906,853.735,20.8174,1.50814,3.564,
89,989.554,1761.32,5774.27,0.561823,23.512,0,61.4936,44.2976,2.92342,977.342,143.39,61.9157,446.451,10.917,0,216.02,129.385,2.33799,427.245,260.049,215.213,5158.64,7.03475,0,0.610586,0.431993,0.00813906,865.007,25.2804,1.50814,3.564,
90,989.554,1318.97,1039.18,0.750248,22.8855,0,45.2926,36.1895,3.02639,943.443,124.952,45.4781,97.7027,11.2434,0,149.627,95.5689,2.58227,403.752,218.287,152.271,476.36,7.7703,0,0.610586,0.431993,0.00813906,865.007,25.2804,1.50814,3.564,
