Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.p_rod_length_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.p_rod_length_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,
28,1026.14,1843.4,1880.53,0.556656,0,15.7236,215.075,102.461,106.249,4.03955,1087.01,210.031,102.806,0,19.5591,996.74,172.117,133.878,3.30117,695.725,313.824,175.427,0,2.76793,6.70653,0.306583,4.43254,0.0758936,867.385,19.4874,0.530429,
29,1026.14,2422.12,5323.03,0.423652,0,17.1125,623.481,142.855,124.454,4.20451,1135.02,230.372,144.624,0,20.9648,4614.25,274.988,238.907,3.32934,758.491,351.433,290.771,0,2.76793,6.70653,0.306583,4.43254,0.0758936,867.385,19.4874,0.530429,
30,1026.14,1537.96,1113.21,0.667208,0,13.5419,131.321,78.6535,76.5929,3.81591,996.598,158.605,78.83,0,14.9806,173.013,179.818,106.379,2.99693,522.256,255.819,185.234,0,2.76908,6.70653,0.306583,4.43254,0.0758936,877.141,19.4874,0.530429,
31,1026.14,2120.5,3363.58,0.483912,0,15.3704,485.769,100.118,114.59,4.1313,1087.14,212.572,100.813,0,18.1953,2539.81,207.675,180.422,3.34875,688.643,359.82,209.821,0,2.76908,6.70653,0.306583,4.43254,0.0758936,877.141,23.8696,0.530429,
32,1026.14,1839.45,1661.29,0.557849,0,16.2605,101.349,136.572,109.885,4.00293,1097.75,236.5,137.135,0,18.874,79.1736,276.621,195.43,3.2412,682.25,399.779,276.934,0,2.76908,2.44371,0.306583,4.43254,0.0758936,877.141,23.8696,0.530429,
33,1026.14,1752.69,2106.53,0.585465,0,15.2227,203.532,107.308,83.7141,4.19739,1068.13,162.738,107.842,0,19.5018,881.003,278.144,202.043,3.6961,705.441,266.646,286.018,0,2.76908,2.44371,0.306583,4.43254,0.0758936,877.141,23.8696,0.530429,
34,1026.14,1828.88,1959.11,0.561073,0,15.6368,119.252,131.877,119.214,3.93293,1105.67,200.448,132.856,0,20.9668,167.545,331.838,302.923,3.49465,848.74,325.49,338.454,0,2.93337,2.44371,0.306583,4.43254,0.0703423,877.141,23.8696,0.530429,
35,1026.14,1512.02,1230.21,0.678653,0,13.5974,105.853,64.1481,77.7773,3.81482,1024.18,158.327,64.3261,0,16.7789,167.409,139.523,148.711,3.28808,609.241,264.775,143.791,0,2.73967,2.44371,0.306583,4.43254,0.0703423,877.141,23.8696,0.530429,
36,1014.58,1583.51,1437.45,0.640717,0,14.5395,88.0058,76.9999,81.8452,4.02302,1056.99,183.889,77.2159,0,20.0599,130.809,203.849,122.358,3.0695,722.962,314.046,202.05,0,3.10682,2.44371,0.306583,1.532,0.0703423,877.141,23.8696,0.530429,
37,1005.49,1411.05,1054,0.712585,0,13.125,78.1287,60.85,65.903,3.43134,998.765,129.835,61.0084,0,15.089,111.445,137.523,89.5455,2.66777,526.233,202.721,139.42,0,3.84643,1.59055,0.306583,1.532,0.0703423,877.141,23.8696,0.530429,
