Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_r.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_r.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_r.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
84,51.4425,67.3297,52.6972,0.764039,0.454238,4.09608,0.35346,34.6373,20.1025,0.213101,5.63244,0.16605,0.363559,1.3109,1.35028,19.8685,1.20551,22.3675,3.69712,0.68973,26.7091,0.230684,0.461948,0.0895327,0.109508,0.0797898,0.00101594,23.3815,8.86662,0.0144408,0.0567213,0.102436,0.222295,1.01322,
85,51.4422,78.8355,66.5175,0.652525,0.968468,3.50857,0.531443,35.0468,23.7039,0.579633,12.5056,0.177979,0.49308,1.32002,2.39361,14.4448,1.22107,20.5577,26.342,1.53273,38.1393,0.21782,0.729514,0.121908,0.109608,0.0797898,0.00101594,23.2095,4.01739,0.0144408,0.0567213,0.0579512,0.222479,1.0346,
86,51.4386,91.489,90.3598,0.562238,0.880029,4.82084,0.820935,35.2606,25.5915,0.582664,21.491,0.190127,0.540316,1.31103,2.05456,29.2138,1.72595,20.2258,46.0747,1.36806,50.4759,0.21814,0.709159,0.120978,0.0748014,0.0786706,0.00106015,17.803,8.60493,0.0144408,0.0567213,0.102436,0.222479,0.993164,
87,51.4386,114.979,303.36,0.447374,1.04578,42.3238,0.723834,36.3306,21.3405,0.406121,10.8159,0.188418,0.488895,1.31513,2.72632,284.413,1.69617,20.6971,11.8366,1.17184,34.6284,0.223644,0.664999,0.107023,0.109608,0.0771773,0.00114112,25.4453,3.75193,0.0145084,0.056075,0.102503,0.22243,1.07708,
88,51.4383,84.6013,106.49,0.608008,0.585979,3.2772,0.483076,32.734,34.1584,0.499183,10.9514,0.154057,0.431342,1.32668,1.78272,40.878,1.42649,14.4872,83.9328,1.53113,37.8044,0.162913,0.630417,0.0995757,0.109574,0.0771773,0.00114112,23.7536,8.09403,0.0145084,0.0526315,0.102521,0.22243,1.04759,
89,51.4383,74.4616,68.3924,0.690804,0.704959,2.6392,0.406529,36.6688,26.1043,0.400725,5.65349,0.187736,0.387319,1.30852,2.01955,10.0609,1.20256,25.9091,45.1088,1.16977,28.4693,0.264184,0.508576,0.076802,0.109569,0.0771773,0.00114112,14.2548,8.11255,0.0145084,0.0526315,0.102532,0.22158,1.06568,
90,51.4378,76.1023,80.2776,0.675904,0.770759,2.75148,0.503933,32.2434,28.2226,0.283611,9.37622,0.145327,0.49903,1.30593,2.24856,15.167,1.32161,13.6812,50.6139,0.832608,30.4392,0.148564,0.753444,0.0780175,0.109608,0.0771773,0.00114112,14.2166,8.30655,0.0148768,0.0567213,0.102467,0.22243,1.05356,
91,51.4374,114.785,247.053,0.448121,0.955589,15.1245,0.515604,34.8355,55.2647,0.618137,5.5056,0.17331,0.433871,1.35793,2.38704,82.0413,1.3132,16.6284,174.168,1.5917,20.645,0.19862,0.589448,0.1472,0.109645,0.0638983,0.00114112,28.9862,8.73624,0.0148768,0.0567213,0.102369,0.221987,1.20745,
92,51.4334,126.948,326.761,0.405153,0.696888,5.4939,0.807902,37.8707,74.4046,0.573678,5.00639,0.20882,0.56256,1.32272,1.50398,19.5819,1.68783,22.9087,316.807,1.35221,16.7428,0.274969,0.74961,0.128218,0.109647,0.0546355,0.00143501,27.1082,8.89182,0.0149098,0.0596555,0.0443356,0.22243,1.00116,
93,51.4312,78.1843,84.3895,0.65782,0.529584,3.94888,0.583489,31.3177,32.121,0.120613,7.73455,0.138717,0.3971,1.29261,1.26041,22.7403,1.62833,10.6102,71.0152,0.459837,31.6388,0.125951,0.557054,0.0634194,0.109648,0.0771773,0.00100212,16.426,1.98209,0.0145525,0.0596555,0.102369,0.221646,1.02217,
