Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
75,1229.58,2694.23,2608.83,0.456375,5.01631,240.545,21.057,1798.54,88.1673,272.67,268.23,1.90093,446.935,29.5116,1191.55,155.062,508.253,500.63,2.22027,8.46928,6.77768,1202.44,1.21242,0.262847,0.0293795,
76,1229.58,2088.77,1969.64,0.58866,4.27035,125.553,17.2415,1618.37,46.4635,139.384,137.49,1.35965,308.981,27.0789,1077.27,122.642,410.219,389.1,2.74785,7.33909,6.77768,1202.44,1.19659,0.299299,0.0293795,
77,1229.42,1883.72,1644.23,0.652656,4.40092,104.815,15.8733,1527.69,41.4155,95.1671,94.3614,1.32266,254.37,23.3586,883.862,108.068,276.473,271.795,2.39328,11.6173,6.77768,1202.46,1.21242,0.299299,0.0293795,
78,1229.42,2076.31,1781.01,0.59212,4.41569,122.794,16.3882,1554.95,35.9561,174.004,167.795,1.73068,268.085,19.6443,803.224,87.9747,366.74,377.532,2.40263,8.00165,6.77768,1202.46,1.2471,0.241936,0.0293795,
79,1229.42,1969.28,1999.64,0.624301,4.51382,129.331,15.0456,1559.93,41.2561,112.483,106.715,1.8773,344.55,23.1717,1059.25,109.401,325.812,316.133,3.4418,9.63784,6.77955,1202.46,1.20445,0.241936,0.0293795,
80,1229.42,1915.37,1677.57,0.641873,4.13644,115.249,16.1026,1573.53,26.6919,90.4963,89.1653,1.29315,278.735,25.5629,1018.74,71.3474,256.819,251.833,2.81126,6.05026,6.77955,1202.46,1.20445,0.241936,0.0293795,
81,1229.38,2227.76,1992.95,0.551848,4.31176,160.202,17.215,1614.78,51.2067,190.824,189.219,1.58023,332.862,24.9542,967.909,112.492,450.828,447.031,2.17821,9.14934,6.77955,1202.62,1.20445,0.241936,0.0681261,
82,1229.1,1980.19,1818.48,0.620697,4.0984,70.8258,17.7846,1611.72,33.1516,121.662,120.949,1.35492,225.577,27.56,1059.77,97.1384,332.909,337.369,3.43176,6.84139,6.77955,1202.47,1.20445,0.207297,0.0681261,
83,1229.1,2150.16,1951.51,0.571631,4.4351,174.343,14.559,1531.72,46.0493,191.097,187.961,1.63495,337.525,21.3797,858.877,120.406,414.795,425.312,2.64988,8.18965,6.77955,1202.56,1.20445,0.203383,0.0681261,
84,1229.1,2217.26,2062.98,0.554333,4.46862,92.435,23.4205,1872.98,30.8166,98.1154,95.0219,1.99611,265.581,36.9946,1362.34,88.7298,278.903,281.451,2.64845,5.25647,6.79154,1202.56,1.20445,0.203383,0.023848,
