Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
65,48.6983,79.8925,128.897,0.609548,18.2975,1.13353,7.14815,0.628185,2.09196,5.34286,0.507934,0.672854,21.4425,20.3995,0.681506,1.54597,41.3635,0.812322,7.58542,0.323044,1.25917,6.71137,0.0359652,0.73169,74.8586,51.5667,0.699385,0.474158,5.27975,0.0305215,0.0916775,0.256951,0.281916,0.120171,0.382207,0.0138503,0.259696,10.707,0.156844,0.80735,
66,48.6983,107.787,148.949,0.451803,26.7388,1.28233,7.13598,0.632018,2.36564,10.1637,0.482162,0.757874,34.5796,21.3666,0.645602,1.63616,52.1038,1.30129,6.24856,0.348439,1.77005,23.3309,0.101911,1.11153,77.4408,8.46328,0.700922,0.584022,5.27975,0.0305215,0.0916775,0.271315,0.0769021,0.170561,0.0101346,0.0138503,0.259696,0.833201,0.0974352,0.569746,
67,48.6983,106.341,143.971,0.457943,28.6045,1.17612,9.25637,0.673846,2.16984,7.80642,0.501583,0.703063,30.9624,22.1557,0.706061,1.62551,74.0388,1.14461,14.3176,0.512759,1.1841,10.8588,0.0747554,0.77033,70.2379,15.5423,0.729912,0.793787,5.27975,0.0305215,0.0916775,0.0518044,0.281916,0.170561,0.156931,0.0182918,0.259696,7.88472,0.13131,0.847639,
68,37.835,101.7,203.977,0.372024,31.2152,1.14351,9.05417,0.636862,2.31585,6.75168,0.512386,0.688175,27.5194,19.6347,0.561522,1.66691,96.9575,0.84375,14.4771,0.474606,1.69982,10.9846,0.0538837,0.725955,86.5978,5.47546,0.602394,1.27571,5.27975,0.0305215,0.0916775,0.225561,0.281916,0.170561,0.382207,0.0320534,0.259696,9.68536,0.156844,0.598588,
69,37.835,88.0008,154.011,0.429939,23.9337,1.04113,7.91077,0.551534,2.19057,6.90411,0.501333,0.574221,22.8006,19.4733,0.603423,1.51611,63.0098,0.747565,8.89342,0.417727,1.68869,14.3553,0.0613997,0.623587,79.993,3.93591,0.707259,0.52589,5.78062,0.0305215,0.0916775,0.244611,0.281916,0.170561,0.146534,0.0320534,0.259696,10.6973,0.156844,0.429054,
70,37.835,127.61,215.051,0.29649,42.1563,1.21778,9.8963,0.751218,2.5316,8.12841,0.518992,0.677152,36.9144,22.6225,0.637,1.55806,109.877,1.12971,13.8949,0.655381,2.74901,17.6025,0.094529,0.831581,88.6615,15.7167,0.709181,0.681908,5.78062,0.0305215,0.0916775,0.208913,0.48303,0.170561,0.24478,0.015147,0.259696,6.50784,0.156844,0.422648,
71,37.835,79.2103,150.176,0.477652,17.5103,1.0284,6.67149,0.688501,1.9341,5.45466,0.515264,0.639239,23.0742,19.5115,0.592549,1.59016,54.1265,0.985631,6.38727,0.583971,0.908259,13.6174,0.0337102,0.849152,87.7484,5.53946,0.564893,0.494028,5.78062,0.0305215,0.0916775,0.266918,0.48303,0.129187,0.382207,0.0320534,0.259696,5.11019,0.143464,0.607455,
72,37.835,157.789,321.517,0.239782,48.9792,0.945903,15.11,0.933953,2.77016,10.1999,0.532705,0.619529,51.4902,23.534,0.623101,2.04999,133.405,0.735981,31.3688,0.854187,2.83337,23.1252,0.1432,0.742723,143.785,34.0634,0.623476,2.08683,5.78062,0.0305215,0.0916775,0.266918,0.324491,0.170561,0.0892178,0.0320534,0.259696,5.08528,0.167257,0.729729,
73,37.835,94.714,125.943,0.399465,20.4424,1.04325,9.44204,0.746373,1.90723,6.01501,0.494762,0.546927,32.6856,19.2942,0.587057,1.5092,45.1839,0.730822,18.0937,0.475666,1.21844,11.7063,0.0940287,0.489379,70.8169,6.85998,0.47998,0.559514,5.78062,0.0305215,0.0916775,0.175703,0.324491,0.170561,0.110672,0.0328161,0.259696,9.06704,0.170247,0.729729,
74,37.835,124.511,210.163,0.303868,28.221,1.15364,14.181,1.09907,2.28993,13.3879,0.464742,0.673715,41.5501,18.6892,0.751046,2.05015,50.9575,1.19525,23.4766,2.40901,1.49796,28.2187,0.144809,0.796187,111.634,6.80785,0.680634,2.16473,5.19536,0.0322605,3.40767,0.266918,0.324491,0.12087,0.0175653,0.00992352,0.765171,9.47466,0.170247,0.729729,
