Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
157,59.8629,128.809,193.695,0.464743,0.160602,16.5455,65.61,7.05709,3.36377,0.554069,0.432326,0.802431,0.366101,10.2767,21.3811,0.565365,1.69357,0.507294,53.6386,122.022,5.27654,9.44524,1.41954,1.06874,2.20871,0.148592,28.0413,5.72589,0.837583,0.254738,0.00912667,0.0034744,29.3782,2.1155,0.320298,0.0215661,0.0503427,0.0820162,0.162791,0.0163371,10.6331,0.232177,1.17342,
158,59.8629,108.363,176.917,0.552429,0.251725,11.0479,56.5324,6.63872,2.65078,0.305078,0.33066,0.521479,0.360047,6.3753,21.2964,0.409044,1.64347,0.970441,40.6481,101.508,4.48092,8.29183,1.05448,0.973397,1.83429,0.104977,23.0408,2.19312,0.577604,0.185595,0.0133322,0.0034744,29.3782,2.58025,0.324599,0.0215661,0.0479238,0.0825766,0.203261,0.0165905,9.70593,0.23046,0.662459,
159,59.8629,131.065,240.957,0.456743,0.163761,16.1915,69.1501,6.66924,4.19089,0.456453,0.548189,1.01771,0.376178,8.30603,21.8227,0.411561,1.76042,0.629261,59.151,146.261,4.58117,11.8781,1.35943,2.38115,3.36659,0.172541,26.5788,3.68776,0.524536,0.745313,0.0133346,0.0034744,29.2923,2.8131,0.322891,0.0215661,0.0495474,0.0825766,0.228777,0.0159283,11.5361,0.23561,0.497602,
160,59.8629,99.9204,143.455,0.599106,0.194152,13.2338,47.1918,6.15604,3.35468,0.259658,0.189203,0.760191,0.336554,5.176,21.1053,0.377347,1.58573,0.69688,55.6734,66.7092,3.44521,10.4943,0.977787,0.56047,2.79576,0.045957,19.1892,2.69708,0.464205,0.229157,0.0133872,0.0034744,29.3698,2.4517,0.333384,0.0219312,0.0495474,0.0825766,0.216932,0.0139058,6.26352,0.23561,0.377617,
161,59.837,107.275,159.457,0.557792,0.2035,4.4911,54.5308,7.8924,2.86088,0.284974,0.316392,0.373145,0.380758,10.4324,23.3657,0.426015,1.71681,0.692134,19.5045,104.641,6.21713,9.61716,0.830708,0.884497,1.41008,0.178181,31.2896,12.8884,0.544525,0.46267,0.0133562,0.0034744,29.3384,5.79666,0.33425,0.0219312,0.0495474,0.0827781,0.147321,0.0174591,7.8988,0.230513,0.88848,
162,59.837,96.0537,158.127,0.622954,0.252347,5.31088,51.573,6.6654,2.19904,0.19986,0.196583,0.631259,0.34695,5.53712,21.1023,0.343493,1.69539,1.12908,25.9506,99.8625,4.37436,7.84203,0.718732,0.644991,2.66509,0.0749247,23.5198,3.30526,0.420187,0.273365,0.0133603,0.0034744,29.3384,4.51418,0.318675,0.0219312,0.0495474,0.0828496,0.287334,0.0152033,10.826,0.239338,1.63874,
163,59.8349,112.788,197.23,0.530506,0.186253,13.9221,56.3295,6.7156,3.95992,0.271612,0.344425,0.497653,0.363542,6.84403,21.2963,0.365427,1.6921,0.763751,62.6145,126.598,4.01202,13.0765,0.888891,1.22611,2.12144,0.211733,24.094,1.88653,0.436653,0.379329,0.0133603,0.0034744,29.3384,3.43683,0.333194,0.0219312,0.0495474,0.0823068,0.133212,0.0168898,11.8254,0.239338,0.652809,
164,59.8349,137.544,215.949,0.435024,0.31021,23.175,68.1908,6.73508,4.03963,0.417706,0.359372,1.18771,0.359308,9.08898,21.6233,0.425289,1.6315,1.01477,74.1416,119.529,4.9091,10.2778,1.16147,0.885261,3.54585,0.127267,27.5464,4.87457,0.544269,0.473469,0.0133507,0.0101032,29.3384,2.57157,0.324275,0.0219312,0.0495474,0.0830007,0.0780871,0.0168898,10.8828,0.239338,0.338446,
165,59.8322,103.966,175.226,0.575498,0.119037,8.00696,58.4358,6.34544,2.71159,0.348423,0.146782,0.420617,0.369427,4.03359,21.0391,0.357633,1.63149,0.514751,45.8379,116.942,3.47526,9.74854,1.30193,0.5023,1.65605,0.133539,17.8497,2.78483,0.428923,0.126761,0.0133571,0.0101032,29.3384,5.65995,0.320591,0.0219312,0.0495474,0.0830007,0.337701,0.0148628,6.51007,0.236806,1.0204,
166,59.8322,106.191,184.778,0.563441,0.126521,16.433,50.9094,6.3503,3.39857,0.331544,0.173583,0.646218,0.356274,4.39431,20.9803,0.373525,1.71697,0.455119,65.2371,87.1765,3.37323,12.4965,1.2313,0.53846,2.54772,0.0724732,19.5173,2.97167,0.486221,0.328782,0.0133603,0.0139843,29.3698,5.79891,0.327842,0.0221422,0.0521561,0.0826139,0.337758,0.0138261,7.53161,0.236806,1.64081,
