Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center_gnd.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center_gnd.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
128,35.8686,199.238,481.251,0.180029,0.953222,2.52088,28.3966,0.574069,133.59,6.991,19.078,1.00716,2.62509,3.5023,2.47982,5.02001,7.65983,1.56834,419.284,17.2159,49.7343,0.0278142,8.04011,1.39541,0.000339531,0.927645,11.7771,0.0486144,0.00391343,0.470549,2.07487,0.955347,1.5603e-05,3.05295,
129,35.8686,140.086,385.489,0.256047,0.629954,2.12663,30.5075,0.422567,86.7981,5.23787,8.32138,1.00718,1.70643,3.32816,2.01776,4.36821,18.0032,1.2504,356.777,14.5026,25.1095,0.0237537,6.89532,0.912857,0.000339531,0.927645,9.43162,0.0357875,0.00391343,0.471341,2.07487,0.99369,1.5603e-05,3.05086,
130,35.8686,102.655,299.572,0.349407,0.509363,1.7339,31.2923,0.235691,53.6119,3.87613,5.98002,1.00404,1.05906,3.35306,2.06869,3.74012,26.0531,0.755572,271.787,13.4874,16.5683,0.0139279,5.28394,1.20443,0.000333225,0.927643,9.69066,0.0486144,0.00391343,0.471341,2.07487,1.0018,1.5603e-05,3.05295,
131,35.8686,128.296,373.726,0.279577,0.580019,1.58117,27.5437,0.331932,73.8566,3.99451,14.8695,1.00115,1.4555,3.08183,2.29453,3.23562,4.87787,1.20855,302.184,13.9631,50.4507,0.0114431,5.92193,0.332788,0.000333225,0.647564,11.8497,0.048055,0.00391343,0.471559,2.07487,0.959751,1.5603e-05,3.01001,
132,35.8686,109.192,279.78,0.32849,0.602756,2.27644,40.7343,0.428865,46.4019,4.86396,8.57025,1.00443,0.925017,3.38433,2.08483,5.45919,95.4059,1.30428,194.284,14.9242,27.6784,0.0160019,3.86842,1.29833,0.000322965,0.927645,10.6138,0.0486144,0.00391343,0.471559,2.07487,0.966756,1.5603e-05,3.05295,
133,35.8675,84.4144,232.066,0.424898,0.576243,1.53255,47.7239,0.336108,21.1163,2.90315,5.60281,1.0054,0.422742,3.19514,2.3071,2.80683,122.274,1.24678,105.278,10.6406,15.0869,0.0190312,2.10377,0.659795,0.000322965,0.927645,18.4954,0.0486144,0.00391343,0.471429,2.07487,0.989718,1.5603e-05,3.05295,
134,35.8663,67.2056,183.209,0.53368,0.408281,1.85433,27.6016,0.169574,20.5764,2.54057,9.45402,1.00144,0.408895,3.19047,2.05021,4.72712,20.1728,0.635487,139.991,10.1982,36.3793,0.00739852,2.78186,0.656362,0.000322965,0.927625,11.5403,0.037567,0.00327543,0.471429,2.06848,0.962715,1.5603e-05,3.05098,
135,35.8663,63.8784,122.695,0.561477,0.372219,1.67477,33.347,0.231665,14.3122,2.78535,6.56534,1.00536,0.286368,3.2981,1.86792,3.04119,27.262,0.827853,96.4637,10.1319,18.7679,0.0202224,1.93064,0.963477,0.000322965,0.927639,14.0116,0.0421823,0.00327543,0.471429,2.07333,0.980358,7.99957e-06,3.0518,
136,35.8663,71.5015,175.193,0.501615,0.338176,1.40897,27.7181,0.31588,26.4817,2.70582,7.84816,1.00171,0.528052,3.15487,1.65402,3.12117,6.12176,1.27826,135.53,10.9521,34.022,0.0054014,2.69693,0.531616,0.000322965,0.927656,15.1313,0.053524,0.00327543,0.471429,2.0794,0.979768,2.6296e-05,3.05385,
137,35.8663,65.2094,120.632,0.550016,0.399297,2.26515,34.8919,0.257618,4.1054,3.92762,14.9501,1.00373,0.0816452,3.32696,1.57744,5.57544,51.5741,0.719954,28.8137,13.667,51.1744,0.011213,0.535925,1.31207,0.000329564,0.927658,13.0435,0.053524,0.00327543,0.47143,2.07977,1.0018,2.6296e-05,3.05385,
138,35.8657,75.9804,225.118,0.472039,0.4037,2.17752,27.3131,0.165266,29.901,4.23853,6.97892,1.00344,0.590971,3.20794,1.80638,6.12492,8.35602,0.374566,204.873,14.8922,25.3362,0.00694609,4.04742,0.782121,0.000329564,0.927658,12.3248,0.053524,0.00327543,0.471051,2.07977,1.0018,2.6296e-05,2.94128,
139,35.8657,137.985,325.305,0.259924,0.907522,3.7058,33.8346,0.596713,68.843,7.84678,16.51,1.00715,1.36215,3.37161,2.50143,7.92749,36.0016,1.49291,279.104,18.3229,44.5188,0.0205215,5.49925,1.00735,0.000329564,0.927658,9.39245,0.053524,0.00327543,0.471336,2.07977,0.997437,2.36368e-05,2.61323,
140,35.8657,99.6879,279.761,0.35978,0.502513,2.03074,31.2434,0.307769,46.2676,4.41663,9.66502,1.0064,0.911557,3.33628,1.8144,4.41068,20.2419,1.01525,246.547,14.5199,33.0033,0.0228811,4.81929,1.03953,0.000329564,0.927658,15.5016,0.053524,0.00327543,0.47143,2.07977,0.990934,1.17411e-05,3.05385,
141,35.8657,76.0028,197.506,0.471899,0.667626,2.43091,27.2357,0.134566,29.5993,4.06752,7.03327,1.00189,0.589704,3.24235,2.67526,6.18138,5.60931,0.336277,154.909,14.3127,28.5428,0.0092491,3.06046,0.758097,0.000323501,0.927656,10.6961,0.0633606,0.00327543,0.471416,2.07912,0.962305,1.17411e-05,3.05507,
142,35.8656,71.0103,171.081,0.505076,0.44072,2.06698,31.2554,0.283556,21.1851,3.71796,7.31196,1.00678,0.422564,3.31922,1.79316,4.59638,23.3112,0.884944,143.324,12.8954,22.6929,0.0250533,2.86467,1.12923,0.000323501,0.927656,8.94875,0.0605859,0.00327543,0.471148,2.07912,1.0018,1.17411e-05,3.05483,
143,35.8656,77.3422,251.582,0.463726,0.306767,1.33489,30.7155,0.119221,32.9693,1.97181,5.00203,1.00358,0.646507,3.27268,1.68698,2.30188,19.2688,0.287278,229.127,7.66591,14.4348,0.0146102,4.49195,1.15214,0.000328302,0.927653,15.6681,0.0638366,0.00327543,0.471046,2.07717,0.989781,1.17411e-05,3.05553,
144,35.8652,89.7818,213.975,0.399471,0.543553,2.08406,32.8378,0.460029,34.3695,3.89007,10.4981,1.00562,0.685645,3.40751,1.8638,4.43968,33.8486,1.39478,168.115,12.4496,37.4847,0.0234693,3.35387,1.24566,0.000325457,0.927656,9.79533,0.0630791,0.00327543,0.470685,2.07977,0.968201,1.17411e-05,3.05526,
145,35.8651,129.091,363.924,0.277827,0.53493,1.92827,27.2876,0.241451,80.773,3.95772,8.32634,1.00186,1.58837,3.45167,1.88308,4.45842,6.46623,0.597862,337.925,12.3177,27.2807,0.00577323,6.62972,1.48775,0.000328302,0.927654,12.492,0.0676212,0.00324646,0.470681,2.07791,0.980665,1.17411e-05,3.05577,
146,35.8645,118.547,295.747,0.302535,0.433607,2.29735,32.1847,0.398663,60.9852,3.70636,13.1346,1.00189,1.21335,3.19086,1.66787,4.69051,35.877,1.21306,242.301,12.7573,41.8631,0.0155011,4.77757,0.944059,0.000328302,0.927658,9.27395,0.0650698,0.00324646,0.470425,2.07995,0.957447,1.17411e-05,0.985472,
